Episode,SurvivalMonths,Reward
0,56.0,-3088.3958
2,57.5,-6860.1909
4,54.0,-3292.0902
6,53.5,-2023.3806
8,60.0,-4550.3152
10,56.25,-2043.0183
12,59.25,-1075.9451
14,57.25,-2468.0013
16,60.0,32.9501
18,60.25,909.4227
20,62.5,313.4913
22,59.75,671.8868
24,60.0,850.9087
26,61.5,1582.3533
28,60.5,857.3581
30,58.5,202.8279
32,61.0,1616.0444
34,57.75,1857.4989
36,62.25,1550.5974
38,62.5,1631.7905
40,61.0,1513.282
42,60.5,1641.5564
44,65.25,2045.0146
46,51.75,1347.7216
48,50.5,1282.2499
50,58.5,1785.4163
52,48.0,1168.0439
54,58.0,1345.9195
56,61.0,1097.651
58,51.25,822.1362
60,52.75,895.6967
62,63.0,1912.4814
64,57.75,1616.2936
66,55.75,1612.9066
68,61.0,1863.5877
70,61.25,1699.3473
72,58.5,1632.5326
74,60.25,1749.9695
76,57.75,1818.7079
78,63.75,1981.1863
80,62.5,1826.8758
82,53.25,1045.0329
84,62.75,1969.7822
86,58.5,1809.3917
88,63.0,2129.1477
90,62.0,1776.2374
92,60.75,1665.2959
94,64.5,1889.9792
96,59.0,1891.5163
98,65.0,2028.5232
100,60.75,1780.4058
102,57.75,1787.2676
104,60.25,1908.7149
106,58.0,1466.4027
108,56.75,1728.2676
110,59.0,1602.4421
112,57.5,951.1487
114,59.5,1730.6551
116,60.0,1417.9492
118,64.0,1845.8011
120,60.5,1895.4628
122,44.0,1138.9753
124,60.25,1985.5057
126,58.0,1342.0701
128,61.5,1903.1214
130,56.75,1112.4978
132,61.25,1619.0752
134,64.0,1864.4007
136,62.0,1947.1702
138,54.75,1550.83
140,59.75,1628.7789
142,57.25,1145.4563
144,58.25,1443.7333
146,58.25,1836.2946
148,61.75,2004.9969
150,56.5,1286.9775
152,56.5,1680.7496
154,63.0,1937.0544
156,61.5,1900.6845
158,59.0,1691.7432
160,61.75,1891.2723
162,64.5,2096.7617
164,57.0,1771.1755
166,49.5,1230.8852
168,52.5,1366.1632
170,57.25,1813.1292
172,61.5,1751.0145
174,58.5,1399.8624
176,56.5,1829.0027
178,64.0,2040.6458
180,60.25,1793.9502
182,64.25,2120.844
184,63.5,2184.0527
186,60.5,1519.7528
188,58.75,1595.5556
190,59.25,1972.1192
192,55.5,1632.8474
194,59.75,1919.5628
196,60.5,1563.0106
198,62.75,1946.9135
200,61.0,1329.4122
202,60.75,981.3592
204,61.0,1774.1879
206,65.75,2200.7437
208,63.25,2084.8599
210,64.5,2183.0316
212,63.25,1762.6718
214,64.25,2110.6138
216,59.25,1231.9028
218,60.0,1344.2921
220,62.0,1908.5276
222,61.25,1672.0623
224,64.0,1951.5837
226,54.5,1643.7843
228,62.0,1457.4393
230,64.5,2190.1286
232,60.5,1983.6898
234,63.5,2007.3212
236,64.25,2095.4329
238,58.5,1571.4133
240,58.25,1561.0554
242,62.0,1819.5134
244,61.25,1478.6642
246,52.0,1482.2687
248,60.5,1773.0974
250,65.25,2113.609
252,63.0,2079.2893
254,60.25,1606.8598
256,65.0,2277.9109
258,65.75,2274.4868
260,63.5,2198.0719
262,63.75,2318.8321
264,62.25,1935.4042
266,62.25,1969.4832
268,62.5,1951.6229
270,53.25,1661.6843
272,61.25,1828.0077
274,62.0,1775.5018
276,61.0,1944.6051
278,62.5,1900.7988
280,64.25,2171.8303
282,63.25,1911.706
284,62.75,2122.5455
286,63.75,2175.6286
288,55.25,1109.9568
290,61.5,1919.8098
292,59.5,1817.3882
294,59.25,1958.7569
296,66.25,2345.7439
298,62.75,2166.7445
300,63.25,2035.0024
302,65.25,2167.1499
304,62.75,1852.6712
306,64.0,2212.697
308,65.25,2090.2324
310,57.25,1541.2014
312,63.25,2051.3044
314,60.5,1675.4646
316,56.75,1728.1959
318,63.25,1567.664
320,60.5,1500.1385
322,61.25,1763.538
324,65.75,2322.5896
326,64.75,2127.0904
328,59.0,1656.5174
330,63.5,2161.1471
332,56.75,1504.3889
334,59.5,1628.0682
336,50.25,1289.0473
338,55.0,1460.0955
340,62.75,1926.3568
342,60.25,2046.7472
344,64.0,1809.0978
346,57.25,1673.799
348,62.0,1798.181
350,59.0,1907.3531
352,63.75,2146.1336
354,63.5,1920.0255
356,62.25,1374.6259
358,60.0,2007.8437
360,54.0,1648.9998
362,52.25,1339.6195
364,64.75,2300.311
366,61.25,1854.6405
368,58.0,1720.8598
370,60.75,1889.5373
372,63.75,2225.2125
374,67.75,2530.2848
376,59.25,1962.1345
378,61.5,1808.6823
380,68.5,2332.5305
382,64.75,2155.1504
384,66.0,2333.3953
386,61.0,1573.9317
388,67.5,2410.7197
390,65.25,2272.5856
392,60.25,1976.2063
394,62.5,2204.9517
396,62.0,2023.1463
398,66.25,2213.447
400,63.0,2144.3641
402,60.0,1781.514
404,61.75,2210.5812
406,65.25,2308.3412
408,62.5,2142.8809
410,64.25,2049.5627
412,65.5,1907.8387
414,59.5,1821.9926
416,64.25,2081.665
418,63.5,2138.885
420,60.5,2032.4764
422,63.75,2156.1108
424,64.5,1781.1804
426,66.25,2007.9533
428,64.0,1636.8767
430,65.5,1683.6606
432,57.0,1787.8506
434,65.5,2292.5796
436,62.0,1839.6379
438,55.5,1464.5879
440,67.5,2338.9463
442,61.25,1733.9237
444,61.0,1580.6243
446,63.0,2009.4377
448,64.25,2208.3781
450,63.75,2110.8432
452,62.25,2056.1472
454,64.75,2148.213
456,64.5,1951.7696
458,62.75,1908.7494
460,66.0,2325.4447
462,64.5,2040.38
464,64.5,271.2479
466,56.5,1678.8019
468,64.75,1927.9246
470,67.5,2397.709
472,63.25,2133.6239
474,62.5,2081.2355
476,64.5,2261.7404
478,65.75,2273.4355
480,62.75,1847.4765
482,62.75,2060.2084
484,66.5,2204.7747
486,68.75,2420.0826
488,63.5,1663.1461
490,63.25,1795.7979
492,55.75,1621.0871
494,64.75,2133.1475
496,63.75,1876.1867
498,61.5,1953.6624
500,64.75,1610.3498
502,61.5,1394.3495
504,65.0,2129.6756
506,67.25,2504.6091
508,62.0,1807.1251
510,67.5,2494.4135
512,65.5,2116.3832
514,64.0,2128.0082
516,65.25,2328.8537
518,66.0,2408.3322
520,66.25,2348.1069
522,64.0,1551.6346
524,67.25,2480.1803
526,56.75,1739.0991
528,60.25,1844.0525
530,63.5,1976.6955
532,61.75,1814.0554
534,67.5,2459.7064
536,67.0,2501.6196
538,60.5,2093.0119
540,58.0,1745.2638
542,64.75,2240.6975
544,65.5,2147.047
546,62.75,1958.0597
548,61.25,996.4304
550,66.0,2236.2791
552,63.5,2109.8095
554,62.75,1818.5526
556,64.75,1911.1882
558,64.5,1767.4632
560,65.25,2166.054
562,66.0,2360.8786
564,67.25,2353.2518
566,61.75,1967.0922
568,60.75,1589.6833
570,58.5,1900.8937
572,63.75,2067.5519
574,64.75,2048.2247
576,59.0,1684.0541
578,62.0,1929.2585
580,64.75,2254.3278
582,64.75,2279.9602
584,57.0,1920.4869
586,67.5,2346.0845
588,66.0,2330.0041
590,64.5,2243.9823
592,62.5,1998.3023
594,62.25,1859.4031
596,70.0,2543.0364
598,66.5,2318.7853
600,65.5,2097.5224
602,59.0,1813.1802
604,63.5,1999.8973
606,60.75,1906.1714
608,65.0,2056.3848
610,60.25,1576.4385
612,63.25,1439.4268
614,64.25,2042.3457
616,63.5,2000.086
618,65.75,2025.9941
620,62.75,1900.1059
622,65.5,1419.4314
624,65.5,2138.6013
626,62.75,2001.1188
628,58.75,1910.094
630,65.5,1262.1009
632,61.75,1934.1161
634,57.0,1267.4693
636,64.5,2128.8825
638,68.25,2554.7707
640,68.0,2274.4778
642,64.75,2193.0121
644,68.0,2391.1627
646,53.0,1615.3178
648,66.5,2446.1777
650,66.75,1558.468
652,65.75,2266.4584
654,62.25,1734.9431
656,54.0,1661.2652
658,62.25,2246.4478
660,56.5,1342.1806
662,63.0,1809.5345
664,62.75,2273.5218
666,61.25,1992.5933
668,63.0,2054.9125
670,61.5,2103.0079
672,59.0,1798.9603
674,65.5,2125.5546
676,63.75,2073.0032
678,63.5,1958.5438
680,64.0,2087.8029
682,62.75,1898.2703
684,64.0,2204.0378
686,62.75,1814.4443
688,62.25,1868.3949
690,47.75,1364.7747
692,64.75,2230.9534
694,65.75,2295.0029
696,64.75,2103.9891
698,64.0,2042.8016
700,66.75,2453.2816
702,62.25,2022.9376
704,63.0,1442.0959
706,64.5,2214.6192
708,63.75,2279.1462
710,60.75,2002.1291
712,57.25,1855.5062
714,62.5,1861.4934
716,60.5,1837.7043
718,65.5,2249.9113
720,52.5,1635.5218
722,64.75,2257.2698
724,65.25,2292.2159
726,64.5,2119.9519
728,64.5,2286.0721
730,64.0,2346.3117
732,63.5,2214.6198
734,58.25,1875.2631
736,63.25,1873.7568
738,61.25,1522.842
740,59.75,1467.1475
742,60.75,1799.3542
744,59.75,1913.405
746,66.0,1969.3137
748,63.0,2084.7871
750,59.0,1786.7123
752,65.75,2394.6795
754,60.0,1880.0886
756,63.25,1999.3984
758,57.25,1871.2876
760,55.5,1759.7291
762,61.25,1857.3138
764,63.75,2185.4674
766,62.25,2028.0488
768,62.25,1611.0614
770,66.25,1889.4333
772,65.5,2033.9569
774,66.25,2405.8752
776,59.0,1850.2186
778,57.25,1842.3449
780,64.75,2145.3267
782,58.5,1970.7501
784,63.75,1691.7976
786,62.25,1701.3701
788,61.25,2113.2526
790,69.0,2428.0125
792,66.25,2465.0453
794,66.75,2262.2646
796,49.0,1329.2843
798,63.75,1938.6086
800,65.25,2295.5068
802,61.5,1971.5352
804,63.75,2045.456
806,63.5,2181.8576
808,61.0,1857.8674
810,62.25,2030.1347
812,61.0,2145.674
814,65.75,2326.2699
816,65.25,1638.4129
818,60.75,1751.1376
820,59.0,1826.7364
822,63.25,2173.9551
824,61.75,1972.819
826,65.75,2365.1136
828,64.75,2192.673
830,63.25,2095.6044
832,63.25,2077.0529
834,60.25,1958.8406
836,65.25,2257.1902
838,67.0,2101.4345
840,65.5,2157.3807
842,62.5,1987.0518
844,66.25,2050.6408
846,63.25,2038.6445
848,63.5,2211.2652
850,59.25,1857.2249
852,65.25,2334.4041
854,64.0,2166.486
856,62.75,2068.1833
858,63.75,2002.6357
860,64.5,2144.6188
862,57.75,1893.3447
864,61.5,1479.8468
866,55.5,1766.2444
868,63.25,2096.3793
870,64.5,2118.5435
872,59.0,1893.723
874,63.5,2056.4639
876,64.25,2200.6742
878,61.5,1711.8828
880,61.75,2019.6027
882,52.5,1606.5143
884,64.5,1841.4083
886,64.0,2017.6867
888,65.5,2324.23
890,63.25,2117.7397
892,60.5,1686.0136
894,65.75,2129.5074
896,61.25,1928.1213
898,62.5,1932.9784
900,62.5,1854.6065
902,65.5,2337.695
904,65.25,2370.033
906,66.0,2346.0086
908,64.75,1943.1836
910,62.75,1994.0281
912,65.0,2357.1777
914,62.0,1720.9762
916,65.75,2332.7698
918,57.25,1902.1862
