Episode,SurvivalMonths,Reward
294,122.0,7233.5922
296,122.0,7324.3532
298,122.0,7187.7258
300,122.0,7100.8163
302,122.0,4638.8481
304,122.0,7066.8172
306,122.0,7304.0354
308,122.0,6320.2765
310,122.0,6629.0258
312,122.0,5528.9273
314,122.0,6451.0461
316,122.0,6916.159
318,122.0,6419.6445
320,122.0,7191.008
322,122.0,6411.4284
324,122.0,7166.5094
326,122.0,6873.6572
328,122.0,6486.6966
330,122.0,6406.5887
332,122.0,7047.1401
334,122.0,6786.8981
336,122.0,7073.2186
338,122.0,7016.766
340,122.0,7189.9257
342,122.0,6698.2163
344,122.0,6570.9103
346,122.0,6903.7349
348,122.0,6339.1633
350,122.0,7056.5835
352,122.0,7006.9168
354,122.0,6204.5282
356,122.0,6923.9213
358,122.0,7248.5882
360,122.0,6743.4042
362,122.0,7182.656
364,122.0,6747.3014
366,122.0,7357.4675
368,122.0,7176.9928
370,122.0,6986.2677
372,122.0,6980.5978
374,122.0,6954.9058
376,122.0,6242.8868
378,122.0,7346.8056
380,122.0,6314.8771
382,122.0,7317.3464
384,122.0,7451.0837
386,122.0,6780.3866
388,122.0,5832.5223
390,122.0,6893.0809
392,122.0,7373.2631
394,122.0,7282.7967
396,122.0,7305.6701
398,122.0,6520.3045
400,122.0,7257.3044
402,122.0,6624.0441
404,122.0,6894.8965
406,122.0,7337.2307
408,122.0,5730.0436
410,122.0,7461.1133
412,122.0,7194.2504
414,122.0,6769.8745
416,122.0,7281.3072
418,122.0,7182.9
420,122.0,7246.6787
422,122.0,7210.4881
424,122.0,7411.0887
426,122.0,6867.9121
428,122.0,6953.9415
430,122.0,7227.7489
432,122.0,7312.8152
434,122.0,6904.4688
436,122.0,5977.8571
438,122.0,7277.8382
440,122.0,7271.566
442,122.0,7146.3125
444,122.0,6057.6555
446,122.0,6778.121
448,122.0,6721.2295
450,122.0,7071.6568
452,122.0,6637.288
454,122.0,6121.9197
456,122.0,7029.0654
458,122.0,6844.8941
460,122.0,7158.8613
462,122.0,6951.9373
464,122.0,6981.421
466,122.0,7256.7972
468,122.0,6759.6389
470,122.0,6928.878
472,122.0,5801.2611
474,122.0,6776.5792
476,122.0,7189.5539
478,122.0,7017.6108
480,122.0,6895.1489
482,122.0,7042.2862
484,122.0,7333.0361
486,122.0,6799.2392
488,122.0,7251.1071
490,122.0,6954.0655
492,122.0,7055.6026
494,122.0,7072.3512
496,122.0,6985.3576
498,122.0,6862.9714
500,122.0,6672.405
502,122.0,6879.9226
504,122.0,6912.4293
506,122.0,7385.3998
508,122.0,7056.4538
510,122.0,7159.1822
512,122.0,7236.0357
514,122.0,7198.0661
516,122.0,7152.1294
518,122.0,6989.7756
520,122.0,6575.2723
522,122.0,5872.4423
524,122.0,7211.0004
526,122.0,7341.856
528,122.0,7110.8991
530,122.0,7055.6309
532,122.0,6825.2105
534,122.0,6735.1009
536,122.0,6196.8027
538,122.0,5728.2021
540,122.0,2775.9638
542,122.0,6980.7539
544,122.0,7390.4036
546,122.0,7074.0449
548,122.0,7183.5715
550,122.0,6926.2725
552,122.0,7335.8227
554,122.0,7111.5963
556,122.0,7167.1844
558,122.0,6314.0788
560,122.0,6867.2987
562,122.0,7293.0719
564,122.0,6115.7763
566,122.0,6974.4283
568,122.0,7383.7574
570,122.0,6936.971
572,122.0,7214.7849
574,122.0,7100.1472
576,122.0,7153.4238
578,122.0,7031.4881
580,122.0,7200.4015
582,122.0,7042.0751
584,122.0,7370.2231
586,122.0,7263.7703
588,122.0,7052.2714
590,122.0,7257.777
592,122.0,7099.312
594,122.0,4297.9707
596,122.0,7071.8969
598,122.0,6786.0504
600,122.0,7186.1091
602,122.0,7074.8601
604,122.0,6672.0025
606,122.0,7116.6942
608,122.0,6589.9373
610,122.0,6958.8406
612,122.0,6766.3007
614,122.0,5743.1534
616,122.0,7000.3244
618,122.0,6636.643
620,122.0,6975.3895
622,122.0,6195.3047
624,122.0,6076.5858
626,122.0,7075.7416
628,122.0,7315.7276
630,122.0,7165.629
632,122.0,7337.6111
634,122.0,7190.601
636,122.0,7138.3239
638,122.0,6605.8138
640,122.0,7355.0081
642,122.0,4964.0806
644,122.0,7110.2184
646,122.0,7273.3675
648,122.0,6586.0077
650,122.0,6956.5219
652,122.0,7099.3244
654,122.0,7327.072
656,122.0,7033.3072
658,122.0,7065.246
660,122.0,7018.2782
662,122.0,7030.3079
664,122.0,7312.8466
666,122.0,6603.0049
668,122.0,7283.3079
670,122.0,6656.1133
672,122.0,6406.4321
674,122.0,7364.4994
676,122.0,6931.4663
678,122.0,7208.7952
680,122.0,6995.5802
682,122.0,6792.0533
684,122.0,6171.8711
686,122.0,7174.1093
688,122.0,7069.0586
690,122.0,6935.2722
692,122.0,7050.2483
694,122.0,7365.7879
696,122.0,4948.9222
698,122.0,6058.2621
700,122.0,6966.6553
702,122.0,6554.1903
704,122.0,5753.8898
706,122.0,7061.7233
708,122.0,7209.4567
710,122.0,6678.7008
712,122.0,7146.7235
714,122.0,6453.5028
716,122.0,6877.3921
718,122.0,7057.7091
720,122.0,7313.7959
722,122.0,6859.6729
724,122.0,6867.0623
726,122.0,6686.4341
728,122.0,6867.7657
730,122.0,7316.6562
732,122.0,7109.0543
734,122.0,7291.4143
736,122.0,6949.0395
738,122.0,6227.796
740,122.0,7325.9409
742,122.0,6536.6588
744,122.0,6657.3046
746,122.0,7398.1854
748,122.0,6811.1731
750,122.0,7156.9407
752,122.0,7092.5013
754,122.0,6794.7572
756,122.0,7165.7812
758,122.0,7004.8559
760,122.0,6770.1326
762,122.0,6873.7875
764,122.0,6708.8092
766,122.0,6446.7547
768,122.0,6908.8066
770,122.0,6880.3606
772,122.0,6751.2517
774,122.0,7345.5483
776,122.0,7095.9815
778,122.0,6863.6547
780,122.0,6937.1994
782,122.0,6315.2382
784,122.0,7102.3846
786,122.0,7011.1531
788,122.0,6449.7796
790,122.0,6966.8194
792,122.0,6859.5747
794,122.0,7064.0714
796,122.0,6880.849
798,122.0,7172.7721
800,122.0,7352.6419
802,122.0,7267.7026
804,122.0,7219.9942
806,122.0,7344.3764
808,122.0,7341.1437
810,122.0,7319.512
812,122.0,6959.6433
814,122.0,7355.9203
816,122.0,7252.6873
818,122.0,7289.0063
820,122.0,6603.9516
822,122.0,6366.565
824,122.0,7084.8187
826,122.0,5268.417
828,122.0,7452.0062
830,122.0,7471.8056
832,122.0,7278.555
834,122.0,5660.9415
836,122.0,7454.0574
838,122.0,7240.4377
840,122.0,7430.0851
842,122.0,7420.6016
844,122.0,7177.1247
846,122.0,6918.5904
848,122.0,7320.7505
850,122.0,7140.2186
852,122.0,7240.352
854,122.0,5967.1077
856,122.0,7440.3064
858,122.0,7070.4913
860,122.0,7182.517
862,122.0,7094.2293
864,122.0,6935.0375
866,122.0,7026.0459
868,122.0,5825.3542
870,122.0,7019.9832
872,122.0,7044.3449
874,122.0,7350.3051
876,122.0,7219.0918
878,122.0,7324.1562
880,122.0,7258.0769
882,122.0,7031.3376
884,122.0,6177.6084
886,122.0,6622.5418
888,122.0,6819.5902
890,122.0,6854.8486
892,122.0,7155.3274
894,122.0,6523.6054
896,122.0,6668.0944
898,122.0,6495.1456
900,122.0,7083.3183
902,122.0,7076.6977
904,122.0,7254.7836
906,122.0,6754.9978
908,122.0,7275.6671
910,122.0,7008.5259
912,122.0,6692.9946
914,122.0,7047.3037
916,122.0,6193.9966
918,122.0,5457.271
920,122.0,6363.6341
922,122.0,7404.1826
924,122.0,6550.1756
926,122.0,7013.1974
928,122.0,7291.9073
930,122.0,7075.1645
932,122.0,7374.3139
934,122.0,6617.2089
936,122.0,7225.9943
938,122.0,7197.92
940,122.0,6969.0584
942,122.0,6758.2159
944,122.0,6797.9369
946,122.0,5444.5131
948,122.0,7005.4155
950,122.0,7094.8148
952,122.0,7021.8199
954,122.0,7219.1475
956,122.0,6665.4256
958,122.0,6353.1629
960,122.0,6956.1878
962,122.0,4483.8242
964,122.0,7095.4886
966,122.0,7029.1055
968,122.0,5417.1985
970,122.0,6191.639
972,122.0,7034.6361
974,122.0,6871.2767
976,122.0,7287.4523
978,122.0,7067.679
980,122.0,6168.1263
982,122.0,6982.2699
984,122.0,7236.4711
986,122.0,7176.5996
988,122.0,6335.7057
990,122.0,6948.8237
992,122.0,6673.7168
994,122.0,6654.4175
996,122.0,7050.2025
998,122.0,7290.1305
1000,122.0,6812.5047
1002,122.0,7320.9588
1004,122.0,6317.2544
1006,122.0,6557.3739
1008,122.0,6982.0923
1010,122.0,6374.7795
1012,122.0,7213.0174
1014,122.0,7027.5196
1016,122.0,6964.7525
1018,122.0,6027.2088
1020,122.0,4669.068
1022,122.0,7045.8653
1024,122.0,7163.3507
1026,122.0,7039.3086
1028,122.0,6933.761
1030,122.0,7220.2798
1032,122.0,7300.3363
1034,122.0,7280.9582
1036,122.0,6365.9878
1038,122.0,7167.3545
1040,122.0,7263.8584
1042,122.0,7145.6277
1044,122.0,6957.3151
1046,122.0,6283.9393
1048,122.0,7229.3644
1050,122.0,6965.7568
1052,122.0,6985.4826
1054,122.0,7202.8085
1056,122.0,7391.448
1058,122.0,6252.4723
1060,122.0,6410.6841
1062,122.0,6822.5667
1064,122.0,7127.4563
1066,122.0,7164.4187
1068,122.0,7043.3938
1070,122.0,7229.7013
1072,122.0,7183.0424
1074,122.0,7225.1412
1076,122.0,6834.6705
1078,122.0,7290.9323
1080,122.0,5695.0044
1082,122.0,6308.8218
1084,122.0,7090.6123
1086,122.0,7055.1989
1088,122.0,6450.2065
1090,122.0,7037.3776
1092,122.0,6890.5534
1094,122.0,7162.069
1096,122.0,5769.5656
1098,122.0,7183.5124
1100,122.0,7205.3616
1102,122.0,6164.0321
1104,122.0,6853.0378
1106,122.0,6264.1513
1108,122.0,6717.894
1110,122.0,6081.675
1112,122.0,7222.3615
1114,122.0,7344.9885
1116,122.0,6954.6109
1118,122.0,6577.94
1120,122.0,7145.9327
1122,122.0,6809.2717
1124,122.0,7345.8404
1126,122.0,6961.9247
1128,122.0,7067.3367
1130,122.0,7041.548
1132,122.0,5933.6372
1134,122.0,7158.9516
1136,122.0,6147.3753
1138,122.0,7088.3491
1140,122.0,7237.8341
1142,122.0,6635.4505
1144,122.0,7130.4604
1146,122.0,6639.7965
1148,122.0,6829.4074
1150,122.0,7242.5368
1152,122.0,7376.291
1154,122.0,6138.6834
1156,122.0,6937.0918
1158,122.0,7330.6445
1160,122.0,6929.5222
1162,122.0,7186.7898
1164,122.0,7192.3321
1166,122.0,7152.3244
1168,122.0,7003.268
1170,122.0,7266.2874
1172,122.0,7150.3485
1174,122.0,6637.0808
1176,122.0,7046.3783
1178,122.0,6602.8526
1180,122.0,7332.9984
1182,122.0,6899.0081
1184,122.0,6998.425
1186,122.0,6620.2274
1188,122.0,6701.5763
1190,122.0,7391.5961
1192,122.0,6898.3058
1194,122.0,7044.6594
1196,122.0,6662.2194
1198,122.0,4872.3121
1200,122.0,7206.4387
1202,122.0,7275.0399
1204,122.0,6806.4947
1206,122.0,6556.8199
1208,122.0,7393.6628
1210,122.0,7090.963
1212,122.0,7255.7593
1214,122.0,7287.6542
1216,122.0,6777.1557
1218,122.0,6990.7922
1220,122.0,6094.6308
1222,122.0,6446.4421
1224,122.0,6498.6177
1226,122.0,7236.683
1228,122.0,5525.3873
1230,122.0,6242.3104
1232,122.0,7268.7886
1234,122.0,6460.3373
1236,122.0,6286.6404
1238,122.0,6980.2102
1240,122.0,4408.8102
1242,122.0,6699.8455
1244,122.0,7081.5791
1246,122.0,5741.2886
1248,122.0,7019.8853
1250,122.0,6995.8248
1252,122.0,7367.9369
1254,122.0,6504.7646
1256,122.0,6498.6857
1258,122.0,6920.6849
1260,122.0,7237.4175
1262,122.0,6367.2832
1264,122.0,7274.3385
1266,122.0,6786.9845
1268,122.0,7016.6807
1270,122.0,7136.6919
1272,122.0,7118.0631
1274,122.0,6873.0727
1276,122.0,7069.1645
1278,122.0,6973.8495
1280,122.0,7143.6838
1282,122.0,7199.9968
1284,122.0,6551.0114
1286,122.0,7089.0838
1288,122.0,7352.0781
1290,122.0,6592.7266
1292,122.0,7208.2295
1294,122.0,7039.4327
1296,122.0,6314.6891
1298,122.0,6222.5706
1300,122.0,4187.3118
1302,122.0,6294.8844
1304,122.0,6676.646
1306,122.0,6969.4812
1308,122.0,7077.248
1310,122.0,6613.769
1312,122.0,6797.3773
1314,122.0,6795.7867
1316,122.0,6826.1038
1318,122.0,7212.2914
1320,122.0,7092.0654
1322,122.0,7256.1339
1324,122.0,7379.609
1326,122.0,7339.8082
1328,122.0,6682.64
1330,122.0,6741.3928
1332,122.0,6830.8662
1334,122.0,6767.0878
1336,122.0,6703.6084
1338,122.0,7293.0515
1340,122.0,7128.5498
1342,122.0,6395.4028
1344,122.0,6658.76
1346,122.0,7196.5633
1348,122.0,6064.624
1350,122.0,6830.4321
1352,122.0,7132.1024
1354,122.0,7121.133
1356,122.0,6870.2381
1358,122.0,7252.7253
1360,122.0,6742.443
1362,122.0,7026.8394
1364,122.0,6374.3376
1366,122.0,7028.4708
1368,122.0,6919.0224
1370,122.0,7299.803
1372,122.0,7361.2952
