nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient108
2021-12-06 11:25:26.394947: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  0
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient108/PPO_ActionList_gym_cancer:CancerControl-v0_patient108_log_0.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient108/
save checkpoint format : patient108_20211206-1125_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-06 11:25:32
============================================================================================
Updates : 0 		 SurvivalMonths : 122.0 		 Average Reward : -974468.26
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient108/final/patient108_20211206-1125_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:10
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 122.0 		 Average Reward : -6420159.15
Updates : 4 		 SurvivalMonths : 122.0 		 Average Reward : -5087860.74
Updates : 6 		 SurvivalMonths : 122.0 		 Average Reward : -2805560.61
Updates : 8 		 SurvivalMonths : 122.0 		 Average Reward : -8450600.5
Updates : 10 		 SurvivalMonths : 122.0 		 Average Reward : -2946449.18
Updates : 12 		 SurvivalMonths : 122.0 		 Average Reward : -2327420.4
Updates : 14 		 SurvivalMonths : 122.0 		 Average Reward : -20626289.1
Updates : 16 		 SurvivalMonths : 122.0 		 Average Reward : -1132446.44
Updates : 18 		 SurvivalMonths : 122.0 		 Average Reward : -3720795.44
Updates : 20 		 SurvivalMonths : 122.0 		 Average Reward : -1878146.3
Updates : 22 		 SurvivalMonths : 122.0 		 Average Reward : -5480727.03
Updates : 24 		 SurvivalMonths : 122.0 		 Average Reward : -3575661.53
Updates : 26 		 SurvivalMonths : 122.0 		 Average Reward : -10231021.06
Updates : 28 		 SurvivalMonths : 122.0 		 Average Reward : -2631308.65
Updates : 30 		 SurvivalMonths : 122.0 		 Average Reward : -7942508.18
Updates : 32 		 SurvivalMonths : 122.0 		 Average Reward : -3829729.71
Updates : 34 		 SurvivalMonths : 122.0 		 Average Reward : -2060161.87
Updates : 36 		 SurvivalMonths : 122.0 		 Average Reward : -3132579.8
Updates : 38 		 SurvivalMonths : 122.0 		 Average Reward : -1043616.75
Updates : 40 		 SurvivalMonths : 122.0 		 Average Reward : -2640870.9
Updates : 42 		 SurvivalMonths : 122.0 		 Average Reward : -2898766.3
Updates : 44 		 SurvivalMonths : 122.0 		 Average Reward : -6128716.96
Updates : 46 		 SurvivalMonths : 122.0 		 Average Reward : -17397898.0
Updates : 48 		 SurvivalMonths : 122.0 		 Average Reward : -2691125.75
Updates : 50 		 SurvivalMonths : 122.0 		 Average Reward : -17637779.59
Updates : 52 		 SurvivalMonths : 122.0 		 Average Reward : -11900089.03
Updates : 54 		 SurvivalMonths : 122.0 		 Average Reward : -2473008.7
Updates : 56 		 SurvivalMonths : 122.0 		 Average Reward : -2299084.85
Updates : 58 		 SurvivalMonths : 122.0 		 Average Reward : -2215387.5
Updates : 60 		 SurvivalMonths : 122.0 		 Average Reward : -21856130.55
Updates : 62 		 SurvivalMonths : 122.0 		 Average Reward : -7957724.46
Updates : 64 		 SurvivalMonths : 122.0 		 Average Reward : -2228225.07
Updates : 66 		 SurvivalMonths : 122.0 		 Average Reward : -1299524.59
Updates : 68 		 SurvivalMonths : 122.0 		 Average Reward : -15488572.76
Updates : 70 		 SurvivalMonths : 122.0 		 Average Reward : -2172371.69
Updates : 72 		 SurvivalMonths : 122.0 		 Average Reward : -1708745.87
Updates : 74 		 SurvivalMonths : 122.0 		 Average Reward : -3386383.73
