nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient092
2021-12-04 17:14:09.362922: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  0
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient092/PPO_ActionList_gym_cancer:CancerControl-v0_patient092_log_0.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient092/
save checkpoint format : patient092_20211204-1714_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-04 17:14:21
============================================================================================
Updates : 0 		 SurvivalMonths : 38.0 		 Average Reward : -32.74
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient092/final/patient092_20211204-1714_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:05
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 37.5 		 Average Reward : -1928.49
Updates : 4 		 SurvivalMonths : 39.0 		 Average Reward : -308.47
Updates : 6 		 SurvivalMonths : 37.5 		 Average Reward : -293.36
Updates : 8 		 SurvivalMonths : 35.5 		 Average Reward : -765.63
Updates : 10 		 SurvivalMonths : 39.0 		 Average Reward : -103.21
Updates : 12 		 SurvivalMonths : 39.0 		 Average Reward : -193.99
Updates : 14 		 SurvivalMonths : 38.0 		 Average Reward : -874.51
Updates : 16 		 SurvivalMonths : 37.0 		 Average Reward : -652.98
Updates : 18 		 SurvivalMonths : 37.0 		 Average Reward : -152.72
Updates : 20 		 SurvivalMonths : 38.5 		 Average Reward : -225.1
Updates : 22 		 SurvivalMonths : 38.0 		 Average Reward : -51.7
Updates : 24 		 SurvivalMonths : 37.5 		 Average Reward : -218.44
Updates : 26 		 SurvivalMonths : 37.0 		 Average Reward : -281.16
Updates : 28 		 SurvivalMonths : 39.5 		 Average Reward : -93.16
Updates : 30 		 SurvivalMonths : 37.0 		 Average Reward : -487.78
Updates : 32 		 SurvivalMonths : 38.5 		 Average Reward : -582.83
Updates : 34 		 SurvivalMonths : 37.5 		 Average Reward : -430.57
Updates : 36 		 SurvivalMonths : 36.0 		 Average Reward : -126.5
Updates : 38 		 SurvivalMonths : 36.0 		 Average Reward : -604.71
Updates : 40 		 SurvivalMonths : 40.5 		 Average Reward : -530.56
Updates : 42 		 SurvivalMonths : 37.0 		 Average Reward : -563.2
Updates : 44 		 SurvivalMonths : 38.0 		 Average Reward : -518.59
Updates : 46 		 SurvivalMonths : 38.0 		 Average Reward : -370.09
Updates : 48 		 SurvivalMonths : 38.5 		 Average Reward : -323.95
Updates : 50 		 SurvivalMonths : 38.0 		 Average Reward : 87.06
Updates : 52 		 SurvivalMonths : 37.0 		 Average Reward : -781.63
Updates : 54 		 SurvivalMonths : 39.0 		 Average Reward : -630.99
Updates : 56 		 SurvivalMonths : 38.5 		 Average Reward : -892.6
Updates : 58 		 SurvivalMonths : 36.0 		 Average Reward : 171.35
Updates : 60 		 SurvivalMonths : 38.0 		 Average Reward : -260.47
Updates : 62 		 SurvivalMonths : 37.0 		 Average Reward : -187.93
Updates : 64 		 SurvivalMonths : 39.0 		 Average Reward : -556.95
Updates : 66 		 SurvivalMonths : 37.0 		 Average Reward : -608.06
Updates : 68 		 SurvivalMonths : 36.5 		 Average Reward : -744.93
Updates : 70 		 SurvivalMonths : 37.0 		 Average Reward : -455.18
Updates : 72 		 SurvivalMonths : 38.5 		 Average Reward : -747.05
Updates : 74 		 SurvivalMonths : 36.5 		 Average Reward : -151.09
Updates : 76 		 SurvivalMonths : 37.5 		 Average Reward : -654.97
Updates : 78 		 SurvivalMonths : 39.0 		 Average Reward : -249.93
Updates : 80 		 SurvivalMonths : 39.5 		 Average Reward : -213.06
Updates : 82 		 SurvivalMonths : 37.0 		 Average Reward : -29.24
Updates : 84 		 SurvivalMonths : 39.5 		 Average Reward : -313.43
Updates : 86 		 SurvivalMonths : 37.0 		 Average Reward : -380.94
Updates : 88 		 SurvivalMonths : 38.0 		 Average Reward : -52.41
Updates : 90 		 SurvivalMonths : 37.5 		 Average Reward : -331.39
Updates : 92 		 SurvivalMonths : 38.0 		 Average Reward : -139.04
Updates : 94 		 SurvivalMonths : 38.0 		 Average Reward : -154.76
Updates : 96 		 SurvivalMonths : 38.5 		 Average Reward : -186.23
Updates : 98 		 SurvivalMonths : 40.0 		 Average Reward : 3.63
Updates : 100 		 SurvivalMonths : 38.0 		 Average Reward : -255.89
Updates : 102 		 SurvivalMonths : 38.5 		 Average Reward : 215.28
Updates : 104 		 SurvivalMonths : 38.5 		 Average Reward : -125.08
Updates : 106 		 SurvivalMonths : 39.0 		 Average Reward : -285.2
Updates : 108 		 SurvivalMonths : 39.5 		 Average Reward : 56.2
Updates : 110 		 SurvivalMonths : 38.0 		 Average Reward : -83.21
Updates : 112 		 SurvivalMonths : 37.5 		 Average Reward : 168.91
Updates : 114 		 SurvivalMonths : 38.0 		 Average Reward : -157.83
Updates : 116 		 SurvivalMonths : 37.5 		 Average Reward : -262.44
Updates : 118 		 SurvivalMonths : 37.5 		 Average Reward : 102.15
Updates : 120 		 SurvivalMonths : 36.0 		 Average Reward : -113.69
Updates : 122 		 SurvivalMonths : 38.5 		 Average Reward : -174.7
Updates : 124 		 SurvivalMonths : 38.5 		 Average Reward : -231.07
Updates : 126 		 SurvivalMonths : 40.5 		 Average Reward : -198.47
Updates : 128 		 SurvivalMonths : 37.5 		 Average Reward : 74.14
Updates : 130 		 SurvivalMonths : 37.0 		 Average Reward : -62.59
Updates : 132 		 SurvivalMonths : 78.5 		 Average Reward : 3547.05
Updates : 134 		 SurvivalMonths : 39.0 		 Average Reward : -177.84
Updates : 136 		 SurvivalMonths : 39.5 		 Average Reward : 52.5
Updates : 138 		 SurvivalMonths : 36.5 		 Average Reward : -63.06
Updates : 140 		 SurvivalMonths : 36.0 		 Average Reward : -116.91
Updates : 142 		 SurvivalMonths : 81.0 		 Average Reward : 3689.36
Updates : 144 		 SurvivalMonths : 78.5 		 Average Reward : 3617.51
Updates : 146 		 SurvivalMonths : 82.5 		 Average Reward : 3563.06
Updates : 148 		 SurvivalMonths : 37.5 		 Average Reward : -130.26
Updates : 150 		 SurvivalMonths : 37.5 		 Average Reward : 58.0
Updates : 152 		 SurvivalMonths : 37.5 		 Average Reward : -52.59
Updates : 154 		 SurvivalMonths : 32.5 		 Average Reward : 317.83
Updates : 156 		 SurvivalMonths : 35.0 		 Average Reward : -196.08
Updates : 158 		 SurvivalMonths : 40.0 		 Average Reward : -91.82
Updates : 160 		 SurvivalMonths : 32.5 		 Average Reward : 183.26
Updates : 162 		 SurvivalMonths : 36.0 		 Average Reward : -119.14
Updates : 164 		 SurvivalMonths : 33.5 		 Average Reward : 25.86
Updates : 166 		 SurvivalMonths : 36.5 		 Average Reward : 153.47
Updates : 168 		 SurvivalMonths : 38.5 		 Average Reward : 133.23
Updates : 170 		 SurvivalMonths : 39.5 		 Average Reward : -134.47
Updates : 172 		 SurvivalMonths : 42.0 		 Average Reward : -156.54
Updates : 174 		 SurvivalMonths : 33.0 		 Average Reward : 336.56
Updates : 176 		 SurvivalMonths : 38.0 		 Average Reward : -5.2
Updates : 178 		 SurvivalMonths : 39.5 		 Average Reward : -229.73
Updates : 180 		 SurvivalMonths : 37.0 		 Average Reward : -106.7
Updates : 182 		 SurvivalMonths : 37.5 		 Average Reward : 458.33
Updates : 184 		 SurvivalMonths : 36.0 		 Average Reward : -1.89
Updates : 186 		 SurvivalMonths : 38.5 		 Average Reward : 209.32
Updates : 188 		 SurvivalMonths : 39.0 		 Average Reward : -769.41
Updates : 190 		 SurvivalMonths : 39.5 		 Average Reward : 631.34
Updates : 192 		 SurvivalMonths : 30.0 		 Average Reward : 552.49
Updates : 194 		 SurvivalMonths : 38.0 		 Average Reward : 102.99
Updates : 196 		 SurvivalMonths : 38.0 		 Average Reward : -127.41
Updates : 198 		 SurvivalMonths : 41.0 		 Average Reward : -6.14
Updates : 200 		 SurvivalMonths : 41.0 		 Average Reward : 508.34
Updates : 202 		 SurvivalMonths : 38.5 		 Average Reward : -832.47
Updates : 204 		 SurvivalMonths : 37.5 		 Average Reward : 80.17
Updates : 206 		 SurvivalMonths : 38.5 		 Average Reward : -151.86
Updates : 208 		 SurvivalMonths : 78.0 		 Average Reward : 1899.9
Updates : 210 		 SurvivalMonths : 39.0 		 Average Reward : 168.13
Updates : 212 		 SurvivalMonths : 35.0 		 Average Reward : 279.55
Updates : 214 		 SurvivalMonths : 79.0 		 Average Reward : 1818.66
Updates : 216 		 SurvivalMonths : 36.5 		 Average Reward : 54.21
Updates : 218 		 SurvivalMonths : 37.5 		 Average Reward : -86.57
Updates : 220 		 SurvivalMonths : 77.5 		 Average Reward : 2365.98
Updates : 222 		 SurvivalMonths : 28.0 		 Average Reward : 177.76
Updates : 224 		 SurvivalMonths : 38.0 		 Average Reward : 355.05
Updates : 226 		 SurvivalMonths : 41.5 		 Average Reward : 564.26
Updates : 228 		 SurvivalMonths : 38.0 		 Average Reward : -342.99
Updates : 230 		 SurvivalMonths : 39.0 		 Average Reward : -106.57
Updates : 232 		 SurvivalMonths : 37.0 		 Average Reward : 612.4
Updates : 234 		 SurvivalMonths : 34.0 		 Average Reward : 311.14
Updates : 236 		 SurvivalMonths : 37.0 		 Average Reward : -169.8
Updates : 238 		 SurvivalMonths : 38.0 		 Average Reward : 498.9
Updates : 240 		 SurvivalMonths : 35.0 		 Average Reward : 420.82
Updates : 242 		 SurvivalMonths : 41.5 		 Average Reward : 134.09
Updates : 244 		 SurvivalMonths : 37.0 		 Average Reward : 267.04
Updates : 246 		 SurvivalMonths : 36.0 		 Average Reward : 115.2
Updates : 248 		 SurvivalMonths : 34.5 		 Average Reward : 272.48
Updates : 250 		 SurvivalMonths : 38.5 		 Average Reward : -142.88
Updates : 252 		 SurvivalMonths : 39.0 		 Average Reward : -223.33
Updates : 254 		 SurvivalMonths : 39.5 		 Average Reward : 61.28
Updates : 256 		 SurvivalMonths : 39.0 		 Average Reward : 182.95
Updates : 258 		 SurvivalMonths : 37.0 		 Average Reward : 13.84
Updates : 260 		 SurvivalMonths : 34.5 		 Average Reward : 199.11
Updates : 262 		 SurvivalMonths : 36.5 		 Average Reward : -14.24
Updates : 264 		 SurvivalMonths : 39.0 		 Average Reward : -133.69
Updates : 266 		 SurvivalMonths : 35.5 		 Average Reward : 8.11
Updates : 268 		 SurvivalMonths : 37.5 		 Average Reward : -254.58
Updates : 270 		 SurvivalMonths : 30.0 		 Average Reward : 595.68
Updates : 272 		 SurvivalMonths : 40.5 		 Average Reward : 222.04
Updates : 274 		 SurvivalMonths : 30.0 		 Average Reward : -19.25
Updates : 276 		 SurvivalMonths : 40.0 		 Average Reward : 64.75
Updates : 278 		 SurvivalMonths : 37.5 		 Average Reward : 222.81
Updates : 280 		 SurvivalMonths : 34.0 		 Average Reward : 490.61
Updates : 282 		 SurvivalMonths : 35.0 		 Average Reward : 365.64
Updates : 284 		 SurvivalMonths : 38.0 		 Average Reward : -315.45
Updates : 286 		 SurvivalMonths : 37.5 		 Average Reward : 352.82
Updates : 288 		 SurvivalMonths : 36.0 		 Average Reward : 302.48
Updates : 290 		 SurvivalMonths : 37.0 		 Average Reward : 574.45
Updates : 292 		 SurvivalMonths : 33.5 		 Average Reward : 714.41
Updates : 294 		 SurvivalMonths : 40.5 		 Average Reward : 84.58
Updates : 296 		 SurvivalMonths : 37.5 		 Average Reward : 325.33
Updates : 298 		 SurvivalMonths : 37.0 		 Average Reward : 353.79
Updates : 300 		 SurvivalMonths : 38.0 		 Average Reward : 168.0
Updates : 302 		 SurvivalMonths : 38.5 		 Average Reward : 236.64
Updates : 304 		 SurvivalMonths : 37.0 		 Average Reward : 44.96
Updates : 306 		 SurvivalMonths : 38.0 		 Average Reward : 43.86
Updates : 308 		 SurvivalMonths : 35.0 		 Average Reward : 316.06
Updates : 310 		 SurvivalMonths : 36.5 		 Average Reward : 248.49
Updates : 312 		 SurvivalMonths : 37.0 		 Average Reward : -28.06
Updates : 314 		 SurvivalMonths : 39.5 		 Average Reward : 138.95
Updates : 316 		 SurvivalMonths : 41.0 		 Average Reward : 436.35
Updates : 318 		 SurvivalMonths : 36.5 		 Average Reward : -45.33
Updates : 320 		 SurvivalMonths : 36.5 		 Average Reward : -234.95
Updates : 322 		 SurvivalMonths : 34.0 		 Average Reward : 757.61
Updates : 324 		 SurvivalMonths : 37.5 		 Average Reward : 122.22
Updates : 326 		 SurvivalMonths : 37.0 		 Average Reward : 252.83
Updates : 328 		 SurvivalMonths : 38.5 		 Average Reward : 191.63
Updates : 330 		 SurvivalMonths : 40.5 		 Average Reward : 188.84
Updates : 332 		 SurvivalMonths : 38.0 		 Average Reward : 244.35
Updates : 334 		 SurvivalMonths : 38.5 		 Average Reward : 298.78
Updates : 336 		 SurvivalMonths : 38.0 		 Average Reward : 155.77
Updates : 338 		 SurvivalMonths : 40.0 		 Average Reward : 486.3
Updates : 340 		 SurvivalMonths : 37.0 		 Average Reward : 261.82
