nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient029
2021-12-03 20:27:49.851179: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  0
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient029/PPO_ActionList_gym_cancer:CancerControl-v0_patient029_log_0.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient029/
save checkpoint format : patient029_20211203-2027_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-03 20:27:57
============================================================================================
Updates : 0 		 SurvivalMonths : 50.5 		 Average Reward : -2823.89
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient029/final/patient029_20211203-2027_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:03
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 32.0 		 Average Reward : -1191.68
Updates : 4 		 SurvivalMonths : 15.0 		 Average Reward : 137.72
Updates : 6 		 SurvivalMonths : 51.5 		 Average Reward : -1705.37
Updates : 8 		 SurvivalMonths : 14.5 		 Average Reward : 124.05
Updates : 10 		 SurvivalMonths : 32.5 		 Average Reward : 187.82
Updates : 12 		 SurvivalMonths : 51.5 		 Average Reward : -1801.87
Updates : 14 		 SurvivalMonths : 55.0 		 Average Reward : -2101.76
Updates : 16 		 SurvivalMonths : 54.0 		 Average Reward : -1249.43
Updates : 18 		 SurvivalMonths : 51.5 		 Average Reward : -1462.09
Updates : 20 		 SurvivalMonths : 33.0 		 Average Reward : -508.1
Updates : 22 		 SurvivalMonths : 49.0 		 Average Reward : -719.98
Updates : 24 		 SurvivalMonths : 55.5 		 Average Reward : -1793.19
Updates : 26 		 SurvivalMonths : 50.0 		 Average Reward : -1681.16
Updates : 28 		 SurvivalMonths : 51.0 		 Average Reward : -1091.71
Updates : 30 		 SurvivalMonths : 34.5 		 Average Reward : 31.24
Updates : 32 		 SurvivalMonths : 32.5 		 Average Reward : -530.21
Updates : 34 		 SurvivalMonths : 35.5 		 Average Reward : -390.98
