nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient044
2021-12-04 17:14:09.290645: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  0
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient044/PPO_ActionList_gym_cancer:CancerControl-v0_patient044_log_0.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient044/
save checkpoint format : patient044_20211204-1714_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-04 17:14:20
============================================================================================
Updates : 0 		 SurvivalMonths : 122.0 		 Average Reward : -2690165.2
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient044/final/patient044_20211204-1714_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:06
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 68.0 		 Average Reward : -233530.31
Updates : 4 		 SurvivalMonths : 68.0 		 Average Reward : -201883.42
Updates : 6 		 SurvivalMonths : 122.0 		 Average Reward : -771925.68
Updates : 8 		 SurvivalMonths : 68.5 		 Average Reward : -1396017.55
Updates : 10 		 SurvivalMonths : 67.0 		 Average Reward : -188117.86
Updates : 12 		 SurvivalMonths : 67.5 		 Average Reward : -407954.89
Updates : 14 		 SurvivalMonths : 67.5 		 Average Reward : -308999.71
Updates : 16 		 SurvivalMonths : 122.0 		 Average Reward : -1793907.65
Updates : 18 		 SurvivalMonths : 122.0 		 Average Reward : -2779888.01
Updates : 20 		 SurvivalMonths : 68.0 		 Average Reward : -76936.95
Updates : 22 		 SurvivalMonths : 67.5 		 Average Reward : -742352.88
Updates : 24 		 SurvivalMonths : 122.0 		 Average Reward : -1660825.19
Updates : 26 		 SurvivalMonths : 67.5 		 Average Reward : -215137.91
Updates : 28 		 SurvivalMonths : 122.0 		 Average Reward : -1554231.25
Updates : 30 		 SurvivalMonths : 67.5 		 Average Reward : -1054281.05
Updates : 32 		 SurvivalMonths : 122.0 		 Average Reward : -1253387.9
Updates : 34 		 SurvivalMonths : 68.0 		 Average Reward : -525308.36
Updates : 36 		 SurvivalMonths : 122.0 		 Average Reward : -1200970.4
Updates : 38 		 SurvivalMonths : 68.0 		 Average Reward : -402967.0
Updates : 40 		 SurvivalMonths : 122.0 		 Average Reward : -875374.27
Updates : 42 		 SurvivalMonths : 68.5 		 Average Reward : -328126.73
Updates : 44 		 SurvivalMonths : 68.0 		 Average Reward : -194771.54
Updates : 46 		 SurvivalMonths : 122.0 		 Average Reward : -4673700.72
Updates : 48 		 SurvivalMonths : 14.5 		 Average Reward : 159.21
Updates : 50 		 SurvivalMonths : 67.5 		 Average Reward : -1074326.2
Updates : 52 		 SurvivalMonths : 67.5 		 Average Reward : -236104.86
Updates : 54 		 SurvivalMonths : 122.0 		 Average Reward : -2233124.36
Updates : 56 		 SurvivalMonths : 122.0 		 Average Reward : -320226.26
Updates : 58 		 SurvivalMonths : 68.0 		 Average Reward : -289921.91
Updates : 60 		 SurvivalMonths : 122.0 		 Average Reward : -827980.61
Updates : 62 		 SurvivalMonths : 122.0 		 Average Reward : -1581513.14
Updates : 64 		 SurvivalMonths : 68.5 		 Average Reward : -1943409.89
Updates : 66 		 SurvivalMonths : 68.0 		 Average Reward : -181690.1
Updates : 68 		 SurvivalMonths : 68.0 		 Average Reward : -186421.1
Updates : 70 		 SurvivalMonths : 13.5 		 Average Reward : 129.73
Updates : 72 		 SurvivalMonths : 122.0 		 Average Reward : -387746.67
Updates : 74 		 SurvivalMonths : 122.0 		 Average Reward : -481160.35
Updates : 76 		 SurvivalMonths : 67.5 		 Average Reward : -509943.61
Updates : 78 		 SurvivalMonths : 122.0 		 Average Reward : -1425905.52
Updates : 80 		 SurvivalMonths : 122.0 		 Average Reward : -1349791.57
Updates : 82 		 SurvivalMonths : 122.0 		 Average Reward : -1365116.69
Updates : 84 		 SurvivalMonths : 122.0 		 Average Reward : -1236521.13
Updates : 86 		 SurvivalMonths : 122.0 		 Average Reward : -1463572.88
Updates : 88 		 SurvivalMonths : 122.0 		 Average Reward : -899081.02
Updates : 90 		 SurvivalMonths : 67.5 		 Average Reward : -760924.55
Updates : 92 		 SurvivalMonths : 122.0 		 Average Reward : -336792.1
Updates : 94 		 SurvivalMonths : 122.0 		 Average Reward : -518649.26
Updates : 96 		 SurvivalMonths : 68.0 		 Average Reward : -132409.27
Updates : 98 		 SurvivalMonths : 68.0 		 Average Reward : -453492.91
Updates : 100 		 SurvivalMonths : 13.0 		 Average Reward : 116.52
Updates : 102 		 SurvivalMonths : 67.5 		 Average Reward : -394172.75
Updates : 104 		 SurvivalMonths : 122.0 		 Average Reward : -2150290.39
Updates : 106 		 SurvivalMonths : 67.5 		 Average Reward : -598974.77
Updates : 108 		 SurvivalMonths : 122.0 		 Average Reward : -984925.17
Updates : 110 		 SurvivalMonths : 122.0 		 Average Reward : -169647.14
Updates : 112 		 SurvivalMonths : 122.0 		 Average Reward : -569461.98
Updates : 114 		 SurvivalMonths : 68.5 		 Average Reward : -793778.19
Updates : 116 		 SurvivalMonths : 122.0 		 Average Reward : -240741.39
Updates : 118 		 SurvivalMonths : 122.0 		 Average Reward : -588196.28
Updates : 120 		 SurvivalMonths : 122.0 		 Average Reward : -954402.68
Updates : 122 		 SurvivalMonths : 67.5 		 Average Reward : -440774.14
Updates : 124 		 SurvivalMonths : 67.5 		 Average Reward : -507608.46
Updates : 126 		 SurvivalMonths : 68.0 		 Average Reward : -30726.28
Updates : 128 		 SurvivalMonths : 67.5 		 Average Reward : -201391.59
Updates : 130 		 SurvivalMonths : 122.0 		 Average Reward : -220431.69
Updates : 132 		 SurvivalMonths : 122.0 		 Average Reward : -845863.47
Updates : 134 		 SurvivalMonths : 122.0 		 Average Reward : -1088176.13
Updates : 136 		 SurvivalMonths : 122.0 		 Average Reward : -308335.81
Updates : 138 		 SurvivalMonths : 68.0 		 Average Reward : -718117.14
Updates : 140 		 SurvivalMonths : 122.0 		 Average Reward : -1140030.04
Updates : 142 		 SurvivalMonths : 122.0 		 Average Reward : -308186.84
Updates : 144 		 SurvivalMonths : 68.0 		 Average Reward : -38844.57
Updates : 146 		 SurvivalMonths : 67.5 		 Average Reward : -190639.22
Updates : 148 		 SurvivalMonths : 122.0 		 Average Reward : -1016668.65
Updates : 150 		 SurvivalMonths : 67.0 		 Average Reward : -23824.98
Updates : 152 		 SurvivalMonths : 68.0 		 Average Reward : -251476.35
Updates : 154 		 SurvivalMonths : 122.0 		 Average Reward : -429335.72
Updates : 156 		 SurvivalMonths : 68.5 		 Average Reward : -14616.76
Updates : 158 		 SurvivalMonths : 67.0 		 Average Reward : -1132672.81
