nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient015
2021-12-03 20:27:49.758694: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  2
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient015/PPO_ActionList_gym_cancer:CancerControl-v0_patient015_log_2.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient015/
save checkpoint format : patient015_20211203-2027_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-03 20:27:57
============================================================================================
Updates : 0 		 SurvivalMonths : 122.0 		 Average Reward : -2541207.24
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient015/final/patient015_20211203-2027_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:06
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 39.0 		 Average Reward : -324.98
Updates : 4 		 SurvivalMonths : 122.0 		 Average Reward : -4364706.99
Updates : 6 		 SurvivalMonths : 88.0 		 Average Reward : -3447114.76
Updates : 8 		 SurvivalMonths : 122.0 		 Average Reward : -3839100.81
Updates : 10 		 SurvivalMonths : 122.0 		 Average Reward : -1834120.54
Updates : 12 		 SurvivalMonths : 122.0 		 Average Reward : -2023474.01
Updates : 14 		 SurvivalMonths : 122.0 		 Average Reward : -2851498.22
Updates : 16 		 SurvivalMonths : 122.0 		 Average Reward : -1936418.13
Updates : 18 		 SurvivalMonths : 122.0 		 Average Reward : -2024427.25
Updates : 20 		 SurvivalMonths : 122.0 		 Average Reward : -1432614.81
Updates : 22 		 SurvivalMonths : 122.0 		 Average Reward : -1060969.59
Updates : 24 		 SurvivalMonths : 122.0 		 Average Reward : -1928308.01
Updates : 26 		 SurvivalMonths : 84.5 		 Average Reward : -542669.44
Updates : 28 		 SurvivalMonths : 122.0 		 Average Reward : -639399.33
Updates : 30 		 SurvivalMonths : 81.5 		 Average Reward : -5289289.71
Updates : 32 		 SurvivalMonths : 122.0 		 Average Reward : -2706849.6
Updates : 34 		 SurvivalMonths : 122.0 		 Average Reward : -1165340.92
Updates : 36 		 SurvivalMonths : 80.5 		 Average Reward : -1224263.06
Updates : 38 		 SurvivalMonths : 122.0 		 Average Reward : -2637924.39
Updates : 40 		 SurvivalMonths : 81.0 		 Average Reward : -782740.47
Updates : 42 		 SurvivalMonths : 81.0 		 Average Reward : -1710506.11
Updates : 44 		 SurvivalMonths : 122.0 		 Average Reward : -3973137.74
Updates : 46 		 SurvivalMonths : 122.0 		 Average Reward : -4756637.88
Updates : 48 		 SurvivalMonths : 122.0 		 Average Reward : -4197076.64
Updates : 50 		 SurvivalMonths : 122.0 		 Average Reward : -1387997.91
Updates : 52 		 SurvivalMonths : 122.0 		 Average Reward : -3643214.87
Updates : 54 		 SurvivalMonths : 122.0 		 Average Reward : -1937448.68
Updates : 56 		 SurvivalMonths : 122.0 		 Average Reward : -2301619.74
Updates : 58 		 SurvivalMonths : 122.0 		 Average Reward : -1439169.6
Updates : 60 		 SurvivalMonths : 122.0 		 Average Reward : -1703010.83
Updates : 62 		 SurvivalMonths : 85.0 		 Average Reward : -1271835.7
Updates : 64 		 SurvivalMonths : 122.0 		 Average Reward : -906288.43
Updates : 66 		 SurvivalMonths : 122.0 		 Average Reward : -1971274.16
Updates : 68 		 SurvivalMonths : 122.0 		 Average Reward : -733702.67
Updates : 70 		 SurvivalMonths : 122.0 		 Average Reward : -1100158.08
Updates : 72 		 SurvivalMonths : 122.0 		 Average Reward : -4006996.85
Updates : 74 		 SurvivalMonths : 122.0 		 Average Reward : -4225609.4
Updates : 76 		 SurvivalMonths : 83.5 		 Average Reward : -1678097.21
Updates : 78 		 SurvivalMonths : 122.0 		 Average Reward : -584944.33
Updates : 80 		 SurvivalMonths : 89.5 		 Average Reward : -705336.44
Updates : 82 		 SurvivalMonths : 122.0 		 Average Reward : -2819835.0
Updates : 84 		 SurvivalMonths : 122.0 		 Average Reward : -2971432.59
Updates : 86 		 SurvivalMonths : 91.5 		 Average Reward : -621648.06
Updates : 88 		 SurvivalMonths : 89.0 		 Average Reward : -644438.96
Updates : 90 		 SurvivalMonths : 91.5 		 Average Reward : -1079428.64
Updates : 92 		 SurvivalMonths : 90.5 		 Average Reward : -673950.91
Updates : 94 		 SurvivalMonths : 91.0 		 Average Reward : -1066931.4
Updates : 96 		 SurvivalMonths : 122.0 		 Average Reward : -1706062.05
Updates : 98 		 SurvivalMonths : 122.0 		 Average Reward : -3618287.49
Updates : 100 		 SurvivalMonths : 89.0 		 Average Reward : -664208.32
Updates : 102 		 SurvivalMonths : 122.0 		 Average Reward : -1268131.89
