nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient012
2021-12-03 20:27:49.797105: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  1
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient012/PPO_ActionList_gym_cancer:CancerControl-v0_patient012_log_1.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient012/
save checkpoint format : patient012_20211203-2027_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-03 20:27:57
============================================================================================
Updates : 0 		 SurvivalMonths : 42.5 		 Average Reward : -51.5
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient012/final/patient012_20211203-2027_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:04
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 41.0 		 Average Reward : -316.02
Updates : 4 		 SurvivalMonths : 41.5 		 Average Reward : -51.82
Updates : 6 		 SurvivalMonths : 39.0 		 Average Reward : -623.2
Updates : 8 		 SurvivalMonths : 43.5 		 Average Reward : -1138.82
Updates : 10 		 SurvivalMonths : 48.0 		 Average Reward : 625.24
Updates : 12 		 SurvivalMonths : 39.0 		 Average Reward : -373.14
Updates : 14 		 SurvivalMonths : 41.0 		 Average Reward : -543.21
Updates : 16 		 SurvivalMonths : 43.5 		 Average Reward : -537.46
Updates : 18 		 SurvivalMonths : 39.0 		 Average Reward : -572.99
Updates : 20 		 SurvivalMonths : 45.0 		 Average Reward : -681.0
Updates : 22 		 SurvivalMonths : 48.5 		 Average Reward : -1378.79
Updates : 24 		 SurvivalMonths : 42.0 		 Average Reward : -417.22
Updates : 26 		 SurvivalMonths : 39.0 		 Average Reward : -453.57
Updates : 28 		 SurvivalMonths : 39.5 		 Average Reward : -314.55
Updates : 30 		 SurvivalMonths : 41.0 		 Average Reward : -585.84
Updates : 32 		 SurvivalMonths : 39.0 		 Average Reward : -173.82
Updates : 34 		 SurvivalMonths : 44.0 		 Average Reward : -204.45
Updates : 36 		 SurvivalMonths : 45.5 		 Average Reward : -98.49
Updates : 38 		 SurvivalMonths : 42.5 		 Average Reward : -491.46
Updates : 40 		 SurvivalMonths : 45.5 		 Average Reward : -788.22
Updates : 42 		 SurvivalMonths : 42.5 		 Average Reward : -969.23
Updates : 44 		 SurvivalMonths : 39.0 		 Average Reward : -124.68
Updates : 46 		 SurvivalMonths : 42.0 		 Average Reward : -956.82
Updates : 48 		 SurvivalMonths : 41.5 		 Average Reward : -37.64
Updates : 50 		 SurvivalMonths : 44.0 		 Average Reward : -180.95
Updates : 52 		 SurvivalMonths : 39.0 		 Average Reward : -604.19
Updates : 54 		 SurvivalMonths : 44.0 		 Average Reward : -367.38
Updates : 56 		 SurvivalMonths : 41.5 		 Average Reward : -292.77
Updates : 58 		 SurvivalMonths : 39.5 		 Average Reward : -194.46
Updates : 60 		 SurvivalMonths : 40.0 		 Average Reward : -296.03
Updates : 62 		 SurvivalMonths : 44.5 		 Average Reward : -236.74
Updates : 64 		 SurvivalMonths : 47.0 		 Average Reward : 70.46
Updates : 66 		 SurvivalMonths : 42.0 		 Average Reward : -644.32
Updates : 68 		 SurvivalMonths : 45.5 		 Average Reward : 169.93
Updates : 70 		 SurvivalMonths : 43.5 		 Average Reward : -477.52
Updates : 72 		 SurvivalMonths : 41.0 		 Average Reward : -241.47
Updates : 74 		 SurvivalMonths : 40.5 		 Average Reward : -326.46
Updates : 76 		 SurvivalMonths : 45.0 		 Average Reward : 168.74
Updates : 78 		 SurvivalMonths : 39.5 		 Average Reward : -437.39
Updates : 80 		 SurvivalMonths : 41.0 		 Average Reward : 320.87
Updates : 82 		 SurvivalMonths : 43.0 		 Average Reward : 622.5
Updates : 84 		 SurvivalMonths : 47.0 		 Average Reward : 267.52
Updates : 86 		 SurvivalMonths : 46.5 		 Average Reward : 316.21
Updates : 88 		 SurvivalMonths : 43.5 		 Average Reward : -830.36
Updates : 90 		 SurvivalMonths : 37.5 		 Average Reward : 404.69
Updates : 92 		 SurvivalMonths : 42.0 		 Average Reward : 91.41
Updates : 94 		 SurvivalMonths : 45.5 		 Average Reward : -215.42
Updates : 96 		 SurvivalMonths : 45.5 		 Average Reward : -69.53
Updates : 98 		 SurvivalMonths : 44.5 		 Average Reward : 78.36
Updates : 100 		 SurvivalMonths : 39.5 		 Average Reward : 343.79
Updates : 102 		 SurvivalMonths : 42.5 		 Average Reward : -418.2
Updates : 104 		 SurvivalMonths : 46.0 		 Average Reward : -689.72
Updates : 106 		 SurvivalMonths : 27.5 		 Average Reward : 72.45
Updates : 108 		 SurvivalMonths : 47.0 		 Average Reward : -6.51
Updates : 110 		 SurvivalMonths : 37.0 		 Average Reward : 376.46
Updates : 112 		 SurvivalMonths : 45.0 		 Average Reward : -488.63
Updates : 114 		 SurvivalMonths : 42.0 		 Average Reward : -121.74
Updates : 116 		 SurvivalMonths : 48.0 		 Average Reward : -476.45
Updates : 118 		 SurvivalMonths : 35.5 		 Average Reward : 392.42
Updates : 120 		 SurvivalMonths : 26.5 		 Average Reward : 113.07
Updates : 122 		 SurvivalMonths : 26.5 		 Average Reward : 6.18
Updates : 124 		 SurvivalMonths : 46.5 		 Average Reward : 23.55
Updates : 126 		 SurvivalMonths : 42.0 		 Average Reward : 358.48
Updates : 128 		 SurvivalMonths : 42.0 		 Average Reward : 261.66
Updates : 130 		 SurvivalMonths : 27.5 		 Average Reward : -334.67
Updates : 132 		 SurvivalMonths : 12.0 		 Average Reward : 184.88
Updates : 134 		 SurvivalMonths : 49.5 		 Average Reward : 473.22
Updates : 136 		 SurvivalMonths : 45.5 		 Average Reward : -10.92
Updates : 138 		 SurvivalMonths : 42.5 		 Average Reward : 141.59
Updates : 140 		 SurvivalMonths : 30.0 		 Average Reward : -49.26
Updates : 142 		 SurvivalMonths : 47.0 		 Average Reward : 381.6
Updates : 144 		 SurvivalMonths : 42.5 		 Average Reward : -22.54
Updates : 146 		 SurvivalMonths : 30.5 		 Average Reward : 325.85
Updates : 148 		 SurvivalMonths : 46.0 		 Average Reward : 631.64
Updates : 150 		 SurvivalMonths : 41.0 		 Average Reward : -332.39
Updates : 152 		 SurvivalMonths : 30.5 		 Average Reward : -166.65
Updates : 154 		 SurvivalMonths : 46.5 		 Average Reward : -19.95
Updates : 156 		 SurvivalMonths : 45.5 		 Average Reward : 174.7
Updates : 158 		 SurvivalMonths : 41.5 		 Average Reward : -141.76
Updates : 160 		 SurvivalMonths : 31.5 		 Average Reward : 243.17
Updates : 162 		 SurvivalMonths : 46.5 		 Average Reward : 668.69
Updates : 164 		 SurvivalMonths : 32.5 		 Average Reward : 392.15
Updates : 166 		 SurvivalMonths : 47.0 		 Average Reward : -698.18
Updates : 168 		 SurvivalMonths : 29.5 		 Average Reward : 64.12
Updates : 170 		 SurvivalMonths : 29.5 		 Average Reward : 487.06
Updates : 172 		 SurvivalMonths : 44.5 		 Average Reward : 12.48
Updates : 174 		 SurvivalMonths : 31.5 		 Average Reward : -9.69
Updates : 176 		 SurvivalMonths : 42.5 		 Average Reward : -340.58
Updates : 178 		 SurvivalMonths : 40.0 		 Average Reward : 165.31
Updates : 180 		 SurvivalMonths : 26.5 		 Average Reward : -303.75
Updates : 182 		 SurvivalMonths : 44.5 		 Average Reward : -87.04
Updates : 184 		 SurvivalMonths : 29.0 		 Average Reward : 164.93
Updates : 186 		 SurvivalMonths : 12.0 		 Average Reward : 184.88
Updates : 188 		 SurvivalMonths : 41.5 		 Average Reward : -332.7
Updates : 190 		 SurvivalMonths : 51.0 		 Average Reward : -1303.36
Updates : 192 		 SurvivalMonths : 31.0 		 Average Reward : 450.35
Updates : 194 		 SurvivalMonths : 42.5 		 Average Reward : 168.03
Updates : 196 		 SurvivalMonths : 48.0 		 Average Reward : -158.75
Updates : 198 		 SurvivalMonths : 43.0 		 Average Reward : -119.51
Updates : 200 		 SurvivalMonths : 46.5 		 Average Reward : 440.41
Updates : 202 		 SurvivalMonths : 47.0 		 Average Reward : -214.66
Updates : 204 		 SurvivalMonths : 46.5 		 Average Reward : 265.09
Updates : 206 		 SurvivalMonths : 45.5 		 Average Reward : 209.65
Updates : 208 		 SurvivalMonths : 27.0 		 Average Reward : -102.83
Updates : 210 		 SurvivalMonths : 43.0 		 Average Reward : 135.35
Updates : 212 		 SurvivalMonths : 29.0 		 Average Reward : 248.49
Updates : 214 		 SurvivalMonths : 29.5 		 Average Reward : 127.46
Updates : 216 		 SurvivalMonths : 46.0 		 Average Reward : 525.96
Updates : 218 		 SurvivalMonths : 28.0 		 Average Reward : 379.93
Updates : 220 		 SurvivalMonths : 46.5 		 Average Reward : 681.97
Updates : 222 		 SurvivalMonths : 12.0 		 Average Reward : 184.88
Updates : 224 		 SurvivalMonths : 27.5 		 Average Reward : 381.93
Updates : 226 		 SurvivalMonths : 32.0 		 Average Reward : -556.28
Updates : 228 		 SurvivalMonths : 49.0 		 Average Reward : -144.99
Updates : 230 		 SurvivalMonths : 30.0 		 Average Reward : -561.18
Updates : 232 		 SurvivalMonths : 48.5 		 Average Reward : 135.01
Updates : 234 		 SurvivalMonths : 12.5 		 Average Reward : 203.64
Updates : 236 		 SurvivalMonths : 47.0 		 Average Reward : 480.69
Updates : 238 		 SurvivalMonths : 27.5 		 Average Reward : 236.94
Updates : 240 		 SurvivalMonths : 29.5 		 Average Reward : 448.38
Updates : 242 		 SurvivalMonths : 25.5 		 Average Reward : 98.74
Updates : 244 		 SurvivalMonths : 44.5 		 Average Reward : 698.89
Updates : 246 		 SurvivalMonths : 48.5 		 Average Reward : -194.73
Updates : 248 		 SurvivalMonths : 40.5 		 Average Reward : 93.61
Updates : 250 		 SurvivalMonths : 48.5 		 Average Reward : -87.7
Updates : 252 		 SurvivalMonths : 43.0 		 Average Reward : -89.96
Updates : 254 		 SurvivalMonths : 45.5 		 Average Reward : -169.37
Updates : 256 		 SurvivalMonths : 45.0 		 Average Reward : -275.37
Updates : 258 		 SurvivalMonths : 47.0 		 Average Reward : -3.22
Updates : 260 		 SurvivalMonths : 29.0 		 Average Reward : -64.01
Updates : 262 		 SurvivalMonths : 28.5 		 Average Reward : 331.47
Updates : 264 		 SurvivalMonths : 28.0 		 Average Reward : 417.86
Updates : 266 		 SurvivalMonths : 29.5 		 Average Reward : 219.3
Updates : 268 		 SurvivalMonths : 47.5 		 Average Reward : -244.1
Updates : 270 		 SurvivalMonths : 46.0 		 Average Reward : 88.83
Updates : 272 		 SurvivalMonths : 28.0 		 Average Reward : 315.2
Updates : 274 		 SurvivalMonths : 47.5 		 Average Reward : 600.29
Updates : 276 		 SurvivalMonths : 44.0 		 Average Reward : -114.65
Updates : 278 		 SurvivalMonths : 52.0 		 Average Reward : 72.09
Updates : 280 		 SurvivalMonths : 43.5 		 Average Reward : -309.73
Updates : 282 		 SurvivalMonths : 47.5 		 Average Reward : -348.69
Updates : 284 		 SurvivalMonths : 47.5 		 Average Reward : 224.04
