nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient083
2021-12-04 17:14:09.157405: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  0
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient083/PPO_ActionList_gym_cancer:CancerControl-v0_patient083_log_0.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient083/
save checkpoint format : patient083_20211204-1714_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-04 17:14:21
============================================================================================
Updates : 0 		 SurvivalMonths : 33.5 		 Average Reward : -14.94
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient083/final/patient083_20211204-1714_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:07
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 31.5 		 Average Reward : -205.83
Updates : 4 		 SurvivalMonths : 42.0 		 Average Reward : 211.11
Updates : 6 		 SurvivalMonths : 31.0 		 Average Reward : 103.08
Updates : 8 		 SurvivalMonths : 36.0 		 Average Reward : 190.01
Updates : 10 		 SurvivalMonths : 31.5 		 Average Reward : -270.4
Updates : 12 		 SurvivalMonths : 28.5 		 Average Reward : -43.29
Updates : 14 		 SurvivalMonths : 29.0 		 Average Reward : 10.02
Updates : 16 		 SurvivalMonths : 29.5 		 Average Reward : 42.93
Updates : 18 		 SurvivalMonths : 36.0 		 Average Reward : 55.06
Updates : 20 		 SurvivalMonths : 38.5 		 Average Reward : -52.66
Updates : 22 		 SurvivalMonths : 34.5 		 Average Reward : 49.83
Updates : 24 		 SurvivalMonths : 35.0 		 Average Reward : 208.34
Updates : 26 		 SurvivalMonths : 30.5 		 Average Reward : 68.91
Updates : 28 		 SurvivalMonths : 29.5 		 Average Reward : 97.06
Updates : 30 		 SurvivalMonths : 29.5 		 Average Reward : 13.17
Updates : 32 		 SurvivalMonths : 35.0 		 Average Reward : 220.35
Updates : 34 		 SurvivalMonths : 37.0 		 Average Reward : 181.06
Updates : 36 		 SurvivalMonths : 28.5 		 Average Reward : 63.47
Updates : 38 		 SurvivalMonths : 29.0 		 Average Reward : -77.19
Updates : 40 		 SurvivalMonths : 31.0 		 Average Reward : -35.1
Updates : 42 		 SurvivalMonths : 32.0 		 Average Reward : -75.69
Updates : 44 		 SurvivalMonths : 31.5 		 Average Reward : 137.42
Updates : 46 		 SurvivalMonths : 29.5 		 Average Reward : 5.86
Updates : 48 		 SurvivalMonths : 35.5 		 Average Reward : 171.93
Updates : 50 		 SurvivalMonths : 36.0 		 Average Reward : 108.31
Updates : 52 		 SurvivalMonths : 36.0 		 Average Reward : 125.81
Updates : 54 		 SurvivalMonths : 33.0 		 Average Reward : 176.48
Updates : 56 		 SurvivalMonths : 29.5 		 Average Reward : 44.92
Updates : 58 		 SurvivalMonths : 30.0 		 Average Reward : -23.77
Updates : 60 		 SurvivalMonths : 35.5 		 Average Reward : 27.15
Updates : 62 		 SurvivalMonths : 33.5 		 Average Reward : 127.26
Updates : 64 		 SurvivalMonths : 30.0 		 Average Reward : -28.94
Updates : 66 		 SurvivalMonths : 36.0 		 Average Reward : 118.45
Updates : 68 		 SurvivalMonths : 38.0 		 Average Reward : 299.62
Updates : 70 		 SurvivalMonths : 31.5 		 Average Reward : 49.87
Updates : 72 		 SurvivalMonths : 34.5 		 Average Reward : 265.11
Updates : 74 		 SurvivalMonths : 37.0 		 Average Reward : 106.49
Updates : 76 		 SurvivalMonths : 30.0 		 Average Reward : 0.7
Updates : 78 		 SurvivalMonths : 37.5 		 Average Reward : 203.79
Updates : 80 		 SurvivalMonths : 36.0 		 Average Reward : 22.04
Updates : 82 		 SurvivalMonths : 29.5 		 Average Reward : 76.98
Updates : 84 		 SurvivalMonths : 29.5 		 Average Reward : 179.57
Updates : 86 		 SurvivalMonths : 29.0 		 Average Reward : -1.03
Updates : 88 		 SurvivalMonths : 30.5 		 Average Reward : 102.81
Updates : 90 		 SurvivalMonths : 31.0 		 Average Reward : 148.86
Updates : 92 		 SurvivalMonths : 30.0 		 Average Reward : 132.58
Updates : 94 		 SurvivalMonths : 29.5 		 Average Reward : 40.07
Updates : 96 		 SurvivalMonths : 36.0 		 Average Reward : 87.99
Updates : 98 		 SurvivalMonths : 30.0 		 Average Reward : -9.11
Updates : 100 		 SurvivalMonths : 31.5 		 Average Reward : 7.2
Updates : 102 		 SurvivalMonths : 30.5 		 Average Reward : 17.64
Updates : 104 		 SurvivalMonths : 28.5 		 Average Reward : 71.13
Updates : 106 		 SurvivalMonths : 29.0 		 Average Reward : 26.81
Updates : 108 		 SurvivalMonths : 29.0 		 Average Reward : 65.97
Updates : 110 		 SurvivalMonths : 30.0 		 Average Reward : 140.62
Updates : 112 		 SurvivalMonths : 29.0 		 Average Reward : 62.6
Updates : 114 		 SurvivalMonths : 34.0 		 Average Reward : 358.64
Updates : 116 		 SurvivalMonths : 29.0 		 Average Reward : 69.51
Updates : 118 		 SurvivalMonths : 32.0 		 Average Reward : 186.98
Updates : 120 		 SurvivalMonths : 28.5 		 Average Reward : 91.93
Updates : 122 		 SurvivalMonths : 34.5 		 Average Reward : 33.85
Updates : 124 		 SurvivalMonths : 29.0 		 Average Reward : -63.22
Updates : 126 		 SurvivalMonths : 36.0 		 Average Reward : 40.71
Updates : 128 		 SurvivalMonths : 28.0 		 Average Reward : 53.52
Updates : 130 		 SurvivalMonths : 29.0 		 Average Reward : -60.69
Updates : 132 		 SurvivalMonths : 28.0 		 Average Reward : 49.14
Updates : 134 		 SurvivalMonths : 31.5 		 Average Reward : 69.83
Updates : 136 		 SurvivalMonths : 32.5 		 Average Reward : 225.73
Updates : 138 		 SurvivalMonths : 31.0 		 Average Reward : 94.96
Updates : 140 		 SurvivalMonths : 35.0 		 Average Reward : 204.77
Updates : 142 		 SurvivalMonths : 30.0 		 Average Reward : 109.4
Updates : 144 		 SurvivalMonths : 34.0 		 Average Reward : 190.0
Updates : 146 		 SurvivalMonths : 29.5 		 Average Reward : 162.37
Updates : 148 		 SurvivalMonths : 33.0 		 Average Reward : 280.44
Updates : 150 		 SurvivalMonths : 30.5 		 Average Reward : -76.1
Updates : 152 		 SurvivalMonths : 33.0 		 Average Reward : 205.97
Updates : 154 		 SurvivalMonths : 29.5 		 Average Reward : 70.44
Updates : 156 		 SurvivalMonths : 35.0 		 Average Reward : 191.09
Updates : 158 		 SurvivalMonths : 30.5 		 Average Reward : 36.28
Updates : 160 		 SurvivalMonths : 34.0 		 Average Reward : 294.83
Updates : 162 		 SurvivalMonths : 36.5 		 Average Reward : 25.47
Updates : 164 		 SurvivalMonths : 39.5 		 Average Reward : 34.35
Updates : 166 		 SurvivalMonths : 28.0 		 Average Reward : 21.15
Updates : 168 		 SurvivalMonths : 29.5 		 Average Reward : 116.33
Updates : 170 		 SurvivalMonths : 30.5 		 Average Reward : 57.66
Updates : 172 		 SurvivalMonths : 35.0 		 Average Reward : 253.64
Updates : 174 		 SurvivalMonths : 32.0 		 Average Reward : 120.09
Updates : 176 		 SurvivalMonths : 31.5 		 Average Reward : 282.27
Updates : 178 		 SurvivalMonths : 36.0 		 Average Reward : 102.78
Updates : 180 		 SurvivalMonths : 30.0 		 Average Reward : 156.39
Updates : 182 		 SurvivalMonths : 37.5 		 Average Reward : 138.01
Updates : 184 		 SurvivalMonths : 33.0 		 Average Reward : 158.55
Updates : 186 		 SurvivalMonths : 29.0 		 Average Reward : 181.78
Updates : 188 		 SurvivalMonths : 30.0 		 Average Reward : 106.22
Updates : 190 		 SurvivalMonths : 31.5 		 Average Reward : 125.58
Updates : 192 		 SurvivalMonths : 36.5 		 Average Reward : -25.56
Updates : 194 		 SurvivalMonths : 28.5 		 Average Reward : 73.18
Updates : 196 		 SurvivalMonths : 31.0 		 Average Reward : 227.55
Updates : 198 		 SurvivalMonths : 39.0 		 Average Reward : 286.98
Updates : 200 		 SurvivalMonths : 35.5 		 Average Reward : 152.56
Updates : 202 		 SurvivalMonths : 33.0 		 Average Reward : 75.76
Updates : 204 		 SurvivalMonths : 30.5 		 Average Reward : 4.63
Updates : 206 		 SurvivalMonths : 30.0 		 Average Reward : 77.12
Updates : 208 		 SurvivalMonths : 36.5 		 Average Reward : 303.5
Updates : 210 		 SurvivalMonths : 31.0 		 Average Reward : 98.8
Updates : 212 		 SurvivalMonths : 30.0 		 Average Reward : -19.56
Updates : 214 		 SurvivalMonths : 29.0 		 Average Reward : 188.84
Updates : 216 		 SurvivalMonths : 28.0 		 Average Reward : 86.97
Updates : 218 		 SurvivalMonths : 29.5 		 Average Reward : 15.39
Updates : 220 		 SurvivalMonths : 30.0 		 Average Reward : 194.05
Updates : 222 		 SurvivalMonths : 42.0 		 Average Reward : 842.58
Updates : 224 		 SurvivalMonths : 36.0 		 Average Reward : 247.1
Updates : 226 		 SurvivalMonths : 29.5 		 Average Reward : 178.46
Updates : 228 		 SurvivalMonths : 30.5 		 Average Reward : 161.42
Updates : 230 		 SurvivalMonths : 41.5 		 Average Reward : 776.44
Updates : 232 		 SurvivalMonths : 29.5 		 Average Reward : 169.84
Updates : 234 		 SurvivalMonths : 30.0 		 Average Reward : 56.95
Updates : 236 		 SurvivalMonths : 33.5 		 Average Reward : 104.09
Updates : 238 		 SurvivalMonths : 29.0 		 Average Reward : 58.35
Updates : 240 		 SurvivalMonths : 44.0 		 Average Reward : 796.11
Updates : 242 		 SurvivalMonths : 29.0 		 Average Reward : 96.64
Updates : 244 		 SurvivalMonths : 47.0 		 Average Reward : 702.78
Updates : 246 		 SurvivalMonths : 30.0 		 Average Reward : 181.25
Updates : 248 		 SurvivalMonths : 52.0 		 Average Reward : 457.49
Updates : 250 		 SurvivalMonths : 29.0 		 Average Reward : 102.09
Updates : 252 		 SurvivalMonths : 65.0 		 Average Reward : 881.39
Updates : 254 		 SurvivalMonths : 62.5 		 Average Reward : 870.57
Updates : 256 		 SurvivalMonths : 29.5 		 Average Reward : 143.18
Updates : 258 		 SurvivalMonths : 30.5 		 Average Reward : 160.52
Updates : 260 		 SurvivalMonths : 33.0 		 Average Reward : 259.66
Updates : 262 		 SurvivalMonths : 31.5 		 Average Reward : 84.93
Updates : 264 		 SurvivalMonths : 33.0 		 Average Reward : 274.38
Updates : 266 		 SurvivalMonths : 31.5 		 Average Reward : 134.4
Updates : 268 		 SurvivalMonths : 30.0 		 Average Reward : 217.61
Updates : 270 		 SurvivalMonths : 33.5 		 Average Reward : 68.1
Updates : 272 		 SurvivalMonths : 20.5 		 Average Reward : 84.75
Updates : 274 		 SurvivalMonths : 28.0 		 Average Reward : 90.76
Updates : 276 		 SurvivalMonths : 21.0 		 Average Reward : 64.85
Updates : 278 		 SurvivalMonths : 22.5 		 Average Reward : 273.17
Updates : 280 		 SurvivalMonths : 20.0 		 Average Reward : 194.56
Updates : 282 		 SurvivalMonths : 30.0 		 Average Reward : 23.36
Updates : 284 		 SurvivalMonths : 38.0 		 Average Reward : 686.45
Updates : 286 		 SurvivalMonths : 28.5 		 Average Reward : 177.23
Updates : 288 		 SurvivalMonths : 21.5 		 Average Reward : 145.67
Updates : 290 		 SurvivalMonths : 23.5 		 Average Reward : 192.56
Updates : 292 		 SurvivalMonths : 36.0 		 Average Reward : 520.31
Updates : 294 		 SurvivalMonths : 32.5 		 Average Reward : 292.59
Updates : 296 		 SurvivalMonths : 20.0 		 Average Reward : 173.45
Updates : 298 		 SurvivalMonths : 32.0 		 Average Reward : 245.07
Updates : 300 		 SurvivalMonths : 23.5 		 Average Reward : 242.97
Updates : 302 		 SurvivalMonths : 36.5 		 Average Reward : 670.8
Updates : 304 		 SurvivalMonths : 20.5 		 Average Reward : 135.33
Updates : 306 		 SurvivalMonths : 22.0 		 Average Reward : 205.97
Updates : 308 		 SurvivalMonths : 20.5 		 Average Reward : 87.74
Updates : 310 		 SurvivalMonths : 29.0 		 Average Reward : 112.22
Updates : 312 		 SurvivalMonths : 22.5 		 Average Reward : 223.74
Updates : 314 		 SurvivalMonths : 32.5 		 Average Reward : 159.39
Updates : 316 		 SurvivalMonths : 29.5 		 Average Reward : 125.25
Updates : 318 		 SurvivalMonths : 23.5 		 Average Reward : 235.09
Updates : 320 		 SurvivalMonths : 30.5 		 Average Reward : 151.5
Updates : 322 		 SurvivalMonths : 21.0 		 Average Reward : 215.84
Updates : 324 		 SurvivalMonths : 31.0 		 Average Reward : 260.38
Updates : 326 		 SurvivalMonths : 31.5 		 Average Reward : 169.93
Updates : 328 		 SurvivalMonths : 34.5 		 Average Reward : 271.93
Updates : 330 		 SurvivalMonths : 32.5 		 Average Reward : 245.04
Updates : 332 		 SurvivalMonths : 31.0 		 Average Reward : 20.05
Updates : 334 		 SurvivalMonths : 22.5 		 Average Reward : 201.43
Updates : 336 		 SurvivalMonths : 20.0 		 Average Reward : 150.18
Updates : 338 		 SurvivalMonths : 21.5 		 Average Reward : 86.95
Updates : 340 		 SurvivalMonths : 31.5 		 Average Reward : 566.15
Updates : 342 		 SurvivalMonths : 31.5 		 Average Reward : 238.05
Updates : 344 		 SurvivalMonths : 30.0 		 Average Reward : 107.48
Updates : 346 		 SurvivalMonths : 21.0 		 Average Reward : 207.64
Updates : 348 		 SurvivalMonths : 22.5 		 Average Reward : 192.6
Updates : 350 		 SurvivalMonths : 20.0 		 Average Reward : 164.82
Updates : 352 		 SurvivalMonths : 20.0 		 Average Reward : 175.69
Updates : 354 		 SurvivalMonths : 22.5 		 Average Reward : 175.02
Updates : 356 		 SurvivalMonths : 31.0 		 Average Reward : 199.36
Updates : 358 		 SurvivalMonths : 33.0 		 Average Reward : 400.41
Updates : 360 		 SurvivalMonths : 21.5 		 Average Reward : 90.56
Updates : 362 		 SurvivalMonths : 33.5 		 Average Reward : 203.19
Updates : 364 		 SurvivalMonths : 33.0 		 Average Reward : 338.99
Updates : 366 		 SurvivalMonths : 21.0 		 Average Reward : 148.31
Updates : 368 		 SurvivalMonths : 23.0 		 Average Reward : 200.47
Updates : 370 		 SurvivalMonths : 30.5 		 Average Reward : 197.39
Updates : 372 		 SurvivalMonths : 21.5 		 Average Reward : 82.61
Updates : 374 		 SurvivalMonths : 34.5 		 Average Reward : 342.05
Updates : 376 		 SurvivalMonths : 22.5 		 Average Reward : 238.36
Updates : 378 		 SurvivalMonths : 31.0 		 Average Reward : 57.44
Updates : 380 		 SurvivalMonths : 30.0 		 Average Reward : 173.93
Updates : 382 		 SurvivalMonths : 22.5 		 Average Reward : 226.79
Updates : 384 		 SurvivalMonths : 30.0 		 Average Reward : 100.25
Updates : 386 		 SurvivalMonths : 22.0 		 Average Reward : 142.36
Updates : 388 		 SurvivalMonths : 24.0 		 Average Reward : 295.49
Updates : 390 		 SurvivalMonths : 29.0 		 Average Reward : 119.56
Updates : 392 		 SurvivalMonths : 35.5 		 Average Reward : 323.27
Updates : 394 		 SurvivalMonths : 30.0 		 Average Reward : 210.44
Updates : 396 		 SurvivalMonths : 38.0 		 Average Reward : 576.86
Updates : 398 		 SurvivalMonths : 20.0 		 Average Reward : 116.09
Updates : 400 		 SurvivalMonths : 23.0 		 Average Reward : 244.63
Updates : 402 		 SurvivalMonths : 22.0 		 Average Reward : 230.98
Updates : 404 		 SurvivalMonths : 21.5 		 Average Reward : 207.88
Updates : 406 		 SurvivalMonths : 29.5 		 Average Reward : 119.37
Updates : 408 		 SurvivalMonths : 29.5 		 Average Reward : 224.68
Updates : 410 		 SurvivalMonths : 23.5 		 Average Reward : 210.66
Updates : 412 		 SurvivalMonths : 20.5 		 Average Reward : 410.3
Updates : 414 		 SurvivalMonths : 23.0 		 Average Reward : 184.52
Updates : 416 		 SurvivalMonths : 30.5 		 Average Reward : 218.35
Updates : 418 		 SurvivalMonths : 29.0 		 Average Reward : 149.7
Updates : 420 		 SurvivalMonths : 28.0 		 Average Reward : 171.45
Updates : 422 		 SurvivalMonths : 36.5 		 Average Reward : 462.63
Updates : 424 		 SurvivalMonths : 21.5 		 Average Reward : 187.01
Updates : 426 		 SurvivalMonths : 29.5 		 Average Reward : 205.91
Updates : 428 		 SurvivalMonths : 30.0 		 Average Reward : 191.12
Updates : 430 		 SurvivalMonths : 31.5 		 Average Reward : 325.49
Updates : 432 		 SurvivalMonths : 34.0 		 Average Reward : 260.67
Updates : 434 		 SurvivalMonths : 21.5 		 Average Reward : 214.6
Updates : 436 		 SurvivalMonths : 22.0 		 Average Reward : 191.39
Updates : 438 		 SurvivalMonths : 21.5 		 Average Reward : 457.12
Updates : 440 		 SurvivalMonths : 31.0 		 Average Reward : 109.49
Updates : 442 		 SurvivalMonths : 30.5 		 Average Reward : 104.62
Updates : 444 		 SurvivalMonths : 32.0 		 Average Reward : 317.78
Updates : 446 		 SurvivalMonths : 29.5 		 Average Reward : 170.41
Updates : 448 		 SurvivalMonths : 35.5 		 Average Reward : 371.35
Updates : 450 		 SurvivalMonths : 22.0 		 Average Reward : 228.32
Updates : 452 		 SurvivalMonths : 31.5 		 Average Reward : 148.06
Updates : 454 		 SurvivalMonths : 29.0 		 Average Reward : 174.6
Updates : 456 		 SurvivalMonths : 23.5 		 Average Reward : 153.95
Updates : 458 		 SurvivalMonths : 32.0 		 Average Reward : 114.06
Updates : 460 		 SurvivalMonths : 30.0 		 Average Reward : 73.57
Updates : 462 		 SurvivalMonths : 31.5 		 Average Reward : 538.79
Updates : 464 		 SurvivalMonths : 31.5 		 Average Reward : 520.46
Updates : 466 		 SurvivalMonths : 29.5 		 Average Reward : 84.63
Updates : 468 		 SurvivalMonths : 20.5 		 Average Reward : 209.4
Updates : 470 		 SurvivalMonths : 33.5 		 Average Reward : 300.0
Updates : 472 		 SurvivalMonths : 22.0 		 Average Reward : 197.93
Updates : 474 		 SurvivalMonths : 29.5 		 Average Reward : 138.43
Updates : 476 		 SurvivalMonths : 22.0 		 Average Reward : 176.13
Updates : 478 		 SurvivalMonths : 22.0 		 Average Reward : 241.92
Updates : 480 		 SurvivalMonths : 27.5 		 Average Reward : 99.45
Updates : 482 		 SurvivalMonths : 29.5 		 Average Reward : 202.28
Updates : 484 		 SurvivalMonths : 22.0 		 Average Reward : 227.1
Updates : 486 		 SurvivalMonths : 30.5 		 Average Reward : 190.41
Updates : 488 		 SurvivalMonths : 32.5 		 Average Reward : 301.68
Updates : 490 		 SurvivalMonths : 12.5 		 Average Reward : 155.75
Updates : 492 		 SurvivalMonths : 30.5 		 Average Reward : 248.4
Updates : 494 		 SurvivalMonths : 23.0 		 Average Reward : 161.71
Updates : 496 		 SurvivalMonths : 31.0 		 Average Reward : 172.58
Updates : 498 		 SurvivalMonths : 29.0 		 Average Reward : 99.32
Updates : 500 		 SurvivalMonths : 27.0 		 Average Reward : 163.24
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient083/best/patient083_20211204-1714_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:07:03
--------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient083/final/patient083_20211204-1714_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:07:03
--------------------------------------------------------------------------------------------
Updates : 502 		 SurvivalMonths : 30.0 		 Average Reward : 245.26
Updates : 504 		 SurvivalMonths : 36.0 		 Average Reward : 474.34
Updates : 506 		 SurvivalMonths : 30.0 		 Average Reward : 223.12
Updates : 508 		 SurvivalMonths : 31.5 		 Average Reward : 289.74
Updates : 510 		 SurvivalMonths : 30.5 		 Average Reward : 464.2
Updates : 512 		 SurvivalMonths : 29.5 		 Average Reward : 253.25
Updates : 514 		 SurvivalMonths : 33.5 		 Average Reward : 380.47
Updates : 516 		 SurvivalMonths : 32.0 		 Average Reward : 226.92
Updates : 518 		 SurvivalMonths : 31.0 		 Average Reward : 298.76
Updates : 520 		 SurvivalMonths : 32.0 		 Average Reward : 185.63
Updates : 522 		 SurvivalMonths : 23.5 		 Average Reward : 314.12
