nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient106
2021-12-06 11:25:26.366089: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  0
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient106/PPO_ActionList_gym_cancer:CancerControl-v0_patient106_log_0.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient106/
save checkpoint format : patient106_20211206-1125_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-06 11:25:32
============================================================================================
Updates : 0 		 SurvivalMonths : 27.5 		 Average Reward : 143.53
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient106/final/patient106_20211206-1125_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:02
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 32.0 		 Average Reward : -807.41
Updates : 4 		 SurvivalMonths : 35.5 		 Average Reward : -399.89
Updates : 6 		 SurvivalMonths : 47.5 		 Average Reward : -614.66
Updates : 8 		 SurvivalMonths : 49.5 		 Average Reward : -1901.24
Updates : 10 		 SurvivalMonths : 45.5 		 Average Reward : -397.55
Updates : 12 		 SurvivalMonths : 50.0 		 Average Reward : -187.36
Updates : 14 		 SurvivalMonths : 44.5 		 Average Reward : -983.21
Updates : 16 		 SurvivalMonths : 31.5 		 Average Reward : -366.04
Updates : 18 		 SurvivalMonths : 48.0 		 Average Reward : -3391.23
Updates : 20 		 SurvivalMonths : 46.5 		 Average Reward : -538.7
Updates : 22 		 SurvivalMonths : 48.5 		 Average Reward : -33.42
Updates : 24 		 SurvivalMonths : 48.0 		 Average Reward : -108.41
Updates : 26 		 SurvivalMonths : 31.0 		 Average Reward : 83.7
Updates : 28 		 SurvivalMonths : 47.5 		 Average Reward : -366.15
Updates : 30 		 SurvivalMonths : 49.0 		 Average Reward : -658.33
Updates : 32 		 SurvivalMonths : 45.5 		 Average Reward : -1231.62
Updates : 34 		 SurvivalMonths : 47.0 		 Average Reward : -1810.2
