nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient016
2021-12-03 20:27:49.761175: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  2
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient016/PPO_ActionList_gym_cancer:CancerControl-v0_patient016_log_2.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient016/
save checkpoint format : patient016_20211203-2027_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-03 20:27:57
============================================================================================
Updates : 0 		 SurvivalMonths : 47.0 		 Average Reward : -5967.48
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient016/final/patient016_20211203-2027_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:05
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 51.5 		 Average Reward : -1891.83
Updates : 4 		 SurvivalMonths : 48.5 		 Average Reward : -2701.23
Updates : 6 		 SurvivalMonths : 50.5 		 Average Reward : -1642.61
Updates : 8 		 SurvivalMonths : 51.0 		 Average Reward : -2223.49
Updates : 10 		 SurvivalMonths : 54.5 		 Average Reward : -1451.12
Updates : 12 		 SurvivalMonths : 53.5 		 Average Reward : -9594.36
Updates : 14 		 SurvivalMonths : 50.0 		 Average Reward : -1552.02
Updates : 16 		 SurvivalMonths : 54.5 		 Average Reward : -11588.58
Updates : 18 		 SurvivalMonths : 52.5 		 Average Reward : -1170.35
Updates : 20 		 SurvivalMonths : 62.0 		 Average Reward : 918.11
Updates : 22 		 SurvivalMonths : 32.0 		 Average Reward : -121.99
Updates : 24 		 SurvivalMonths : 31.5 		 Average Reward : -1070.24
Updates : 26 		 SurvivalMonths : 50.0 		 Average Reward : -940.07
Updates : 28 		 SurvivalMonths : 50.0 		 Average Reward : -1326.7
Updates : 30 		 SurvivalMonths : 54.5 		 Average Reward : -1762.46
Updates : 32 		 SurvivalMonths : 52.5 		 Average Reward : -738.99
Updates : 34 		 SurvivalMonths : 31.5 		 Average Reward : 295.12
Updates : 36 		 SurvivalMonths : 51.5 		 Average Reward : -2140.78
Updates : 38 		 SurvivalMonths : 53.0 		 Average Reward : -2025.15
Updates : 40 		 SurvivalMonths : 52.0 		 Average Reward : -701.14
Updates : 42 		 SurvivalMonths : 53.0 		 Average Reward : -1077.82
Updates : 44 		 SurvivalMonths : 49.5 		 Average Reward : -735.67
Updates : 46 		 SurvivalMonths : 36.0 		 Average Reward : -413.09
Updates : 48 		 SurvivalMonths : 53.5 		 Average Reward : -1219.95
Updates : 50 		 SurvivalMonths : 12.5 		 Average Reward : 81.38
Updates : 52 		 SurvivalMonths : 49.0 		 Average Reward : -965.35
Updates : 54 		 SurvivalMonths : 52.5 		 Average Reward : -1047.36
Updates : 56 		 SurvivalMonths : 52.0 		 Average Reward : -946.99
Updates : 58 		 SurvivalMonths : 31.5 		 Average Reward : -983.16
Updates : 60 		 SurvivalMonths : 54.0 		 Average Reward : -309.41
Updates : 62 		 SurvivalMonths : 50.5 		 Average Reward : -817.14
Updates : 64 		 SurvivalMonths : 31.0 		 Average Reward : -274.92
Updates : 66 		 SurvivalMonths : 30.5 		 Average Reward : -483.72
Updates : 68 		 SurvivalMonths : 31.0 		 Average Reward : -606.3
Updates : 70 		 SurvivalMonths : 51.5 		 Average Reward : -1540.12
Updates : 72 		 SurvivalMonths : 33.0 		 Average Reward : 360.1
Updates : 74 		 SurvivalMonths : 51.5 		 Average Reward : -2696.72
Updates : 76 		 SurvivalMonths : 52.0 		 Average Reward : -47.5
Updates : 78 		 SurvivalMonths : 51.0 		 Average Reward : -248.88
Updates : 80 		 SurvivalMonths : 54.0 		 Average Reward : -676.47
Updates : 82 		 SurvivalMonths : 31.0 		 Average Reward : -186.91
Updates : 84 		 SurvivalMonths : 50.0 		 Average Reward : -611.93
Updates : 86 		 SurvivalMonths : 31.5 		 Average Reward : -1156.67
Updates : 88 		 SurvivalMonths : 51.5 		 Average Reward : -407.6
Updates : 90 		 SurvivalMonths : 50.0 		 Average Reward : -343.35
Updates : 92 		 SurvivalMonths : 52.0 		 Average Reward : 96.77
Updates : 94 		 SurvivalMonths : 55.5 		 Average Reward : -1460.91
Updates : 96 		 SurvivalMonths : 34.0 		 Average Reward : 318.24
Updates : 98 		 SurvivalMonths : 50.5 		 Average Reward : -412.11
Updates : 100 		 SurvivalMonths : 32.0 		 Average Reward : -105.42
Updates : 102 		 SurvivalMonths : 50.5 		 Average Reward : -820.79
Updates : 104 		 SurvivalMonths : 53.5 		 Average Reward : -1511.41
Updates : 106 		 SurvivalMonths : 51.5 		 Average Reward : -1212.16
Updates : 108 		 SurvivalMonths : 53.0 		 Average Reward : -900.76
Updates : 110 		 SurvivalMonths : 31.5 		 Average Reward : -1199.18
Updates : 112 		 SurvivalMonths : 50.5 		 Average Reward : -363.34
Updates : 114 		 SurvivalMonths : 52.0 		 Average Reward : -1240.87
Updates : 116 		 SurvivalMonths : 14.0 		 Average Reward : 118.27
Updates : 118 		 SurvivalMonths : 49.0 		 Average Reward : -148.38
Updates : 120 		 SurvivalMonths : 49.5 		 Average Reward : -347.23
Updates : 122 		 SurvivalMonths : 12.5 		 Average Reward : 81.38
Updates : 124 		 SurvivalMonths : 35.5 		 Average Reward : -1334.64
Updates : 126 		 SurvivalMonths : 51.5 		 Average Reward : -1296.26
Updates : 128 		 SurvivalMonths : 29.5 		 Average Reward : -748.04
Updates : 130 		 SurvivalMonths : 31.5 		 Average Reward : -1270.79
Updates : 132 		 SurvivalMonths : 55.0 		 Average Reward : 264.56
Updates : 134 		 SurvivalMonths : 32.0 		 Average Reward : -1034.08
Updates : 136 		 SurvivalMonths : 49.5 		 Average Reward : -557.58
Updates : 138 		 SurvivalMonths : 28.5 		 Average Reward : -336.13
Updates : 140 		 SurvivalMonths : 32.0 		 Average Reward : -1858.88
Updates : 142 		 SurvivalMonths : 54.5 		 Average Reward : 262.32
Updates : 144 		 SurvivalMonths : 49.5 		 Average Reward : -685.45
Updates : 146 		 SurvivalMonths : 55.5 		 Average Reward : -512.98
Updates : 148 		 SurvivalMonths : 53.5 		 Average Reward : 193.91
Updates : 150 		 SurvivalMonths : 56.0 		 Average Reward : -113.28
Updates : 152 		 SurvivalMonths : 51.0 		 Average Reward : 27.19
Updates : 154 		 SurvivalMonths : 34.0 		 Average Reward : -77.66
Updates : 156 		 SurvivalMonths : 53.0 		 Average Reward : -864.38
Updates : 158 		 SurvivalMonths : 52.0 		 Average Reward : -4.41
Updates : 160 		 SurvivalMonths : 54.0 		 Average Reward : -231.27
Updates : 162 		 SurvivalMonths : 53.0 		 Average Reward : 316.18
Updates : 164 		 SurvivalMonths : 32.0 		 Average Reward : 44.24
Updates : 166 		 SurvivalMonths : 50.0 		 Average Reward : -234.54
Updates : 168 		 SurvivalMonths : 49.5 		 Average Reward : 247.71
Updates : 170 		 SurvivalMonths : 48.0 		 Average Reward : -38.29
Updates : 172 		 SurvivalMonths : 12.5 		 Average Reward : 81.38
Updates : 174 		 SurvivalMonths : 49.5 		 Average Reward : 181.86
Updates : 176 		 SurvivalMonths : 54.0 		 Average Reward : -1701.66
