nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient060
2021-12-04 17:14:09.327443: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  0
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient060/PPO_ActionList_gym_cancer:CancerControl-v0_patient060_log_0.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient060/
save checkpoint format : patient060_20211204-1714_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-04 17:14:21
============================================================================================
Updates : 0 		 SurvivalMonths : 122.0 		 Average Reward : -1727308.66
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient060/final/patient060_20211204-1714_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:18
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 122.0 		 Average Reward : -12143069.89
Updates : 4 		 SurvivalMonths : 122.0 		 Average Reward : -2418213.6
Updates : 6 		 SurvivalMonths : 122.0 		 Average Reward : -3132434.26
Updates : 8 		 SurvivalMonths : 122.0 		 Average Reward : -1181807.54
Updates : 10 		 SurvivalMonths : 122.0 		 Average Reward : -5199301.36
Updates : 12 		 SurvivalMonths : 122.0 		 Average Reward : -12621962.16
Updates : 14 		 SurvivalMonths : 122.0 		 Average Reward : -2481085.23
Updates : 16 		 SurvivalMonths : 122.0 		 Average Reward : -3033763.53
Updates : 18 		 SurvivalMonths : 122.0 		 Average Reward : -3516081.48
Updates : 20 		 SurvivalMonths : 122.0 		 Average Reward : -768148.24
Updates : 22 		 SurvivalMonths : 122.0 		 Average Reward : -11167696.51
Updates : 24 		 SurvivalMonths : 122.0 		 Average Reward : -1925771.83
Updates : 26 		 SurvivalMonths : 122.0 		 Average Reward : -25215698.19
Updates : 28 		 SurvivalMonths : 122.0 		 Average Reward : -1573730.62
Updates : 30 		 SurvivalMonths : 122.0 		 Average Reward : -2179176.97
Updates : 32 		 SurvivalMonths : 122.0 		 Average Reward : -3079409.99
Updates : 34 		 SurvivalMonths : 122.0 		 Average Reward : -3083922.31
Updates : 36 		 SurvivalMonths : 122.0 		 Average Reward : -493008.53
Updates : 38 		 SurvivalMonths : 122.0 		 Average Reward : -14807056.9
Updates : 40 		 SurvivalMonths : 122.0 		 Average Reward : -1790654.02
Updates : 42 		 SurvivalMonths : 122.0 		 Average Reward : -3216771.91
Updates : 44 		 SurvivalMonths : 122.0 		 Average Reward : -2330857.35
Updates : 46 		 SurvivalMonths : 122.0 		 Average Reward : -17392113.57
Updates : 48 		 SurvivalMonths : 122.0 		 Average Reward : -775690.81
Updates : 50 		 SurvivalMonths : 122.0 		 Average Reward : -9180950.27
Updates : 52 		 SurvivalMonths : 122.0 		 Average Reward : -1715664.91
Updates : 54 		 SurvivalMonths : 122.0 		 Average Reward : -3485171.14
Updates : 56 		 SurvivalMonths : 122.0 		 Average Reward : -10020370.76
Updates : 58 		 SurvivalMonths : 122.0 		 Average Reward : -1327147.07
Updates : 60 		 SurvivalMonths : 122.0 		 Average Reward : -15166886.4
Updates : 62 		 SurvivalMonths : 122.0 		 Average Reward : -12815018.18
Updates : 64 		 SurvivalMonths : 122.0 		 Average Reward : -2645296.06
Updates : 66 		 SurvivalMonths : 122.0 		 Average Reward : -3624755.39
Updates : 68 		 SurvivalMonths : 122.0 		 Average Reward : -1469923.26
Updates : 70 		 SurvivalMonths : 122.0 		 Average Reward : -17028766.51
Updates : 72 		 SurvivalMonths : 122.0 		 Average Reward : -13721453.64
Updates : 74 		 SurvivalMonths : 122.0 		 Average Reward : -4339125.04
Updates : 76 		 SurvivalMonths : 122.0 		 Average Reward : -16042849.16
Updates : 78 		 SurvivalMonths : 122.0 		 Average Reward : -947999.91
Updates : 80 		 SurvivalMonths : 122.0 		 Average Reward : -886105.96
Updates : 82 		 SurvivalMonths : 122.0 		 Average Reward : -1991249.93
Updates : 84 		 SurvivalMonths : 122.0 		 Average Reward : -5404394.19
Updates : 86 		 SurvivalMonths : 122.0 		 Average Reward : -2060049.5
Updates : 88 		 SurvivalMonths : 122.0 		 Average Reward : -1509157.93
Updates : 90 		 SurvivalMonths : 122.0 		 Average Reward : -4371366.0
Updates : 92 		 SurvivalMonths : 122.0 		 Average Reward : -6035874.21
Updates : 94 		 SurvivalMonths : 122.0 		 Average Reward : -4982891.22
Updates : 96 		 SurvivalMonths : 122.0 		 Average Reward : -852201.0
Updates : 98 		 SurvivalMonths : 122.0 		 Average Reward : -2455805.87
Updates : 100 		 SurvivalMonths : 122.0 		 Average Reward : -4821236.87
Updates : 102 		 SurvivalMonths : 122.0 		 Average Reward : -57694.45
Updates : 104 		 SurvivalMonths : 122.0 		 Average Reward : -708204.88
Updates : 106 		 SurvivalMonths : 122.0 		 Average Reward : -3493640.24
Updates : 108 		 SurvivalMonths : 122.0 		 Average Reward : -897007.69
Updates : 110 		 SurvivalMonths : 122.0 		 Average Reward : -552383.49
Updates : 112 		 SurvivalMonths : 122.0 		 Average Reward : -2460307.5
Updates : 114 		 SurvivalMonths : 122.0 		 Average Reward : -1446315.24
Updates : 116 		 SurvivalMonths : 122.0 		 Average Reward : -1543764.31
Updates : 118 		 SurvivalMonths : 122.0 		 Average Reward : -4197443.53
Updates : 120 		 SurvivalMonths : 122.0 		 Average Reward : -1279474.55
Updates : 122 		 SurvivalMonths : 122.0 		 Average Reward : -522768.1
Updates : 124 		 SurvivalMonths : 122.0 		 Average Reward : -2125403.0
Updates : 126 		 SurvivalMonths : 122.0 		 Average Reward : -1239905.99
Updates : 128 		 SurvivalMonths : 122.0 		 Average Reward : -2597149.54
Updates : 130 		 SurvivalMonths : 122.0 		 Average Reward : -1848999.53
Updates : 132 		 SurvivalMonths : 122.0 		 Average Reward : -949176.87
Updates : 134 		 SurvivalMonths : 122.0 		 Average Reward : -2499776.73
Updates : 136 		 SurvivalMonths : 122.0 		 Average Reward : -4437811.08
Updates : 138 		 SurvivalMonths : 122.0 		 Average Reward : -4532500.07
Updates : 140 		 SurvivalMonths : 122.0 		 Average Reward : -1096038.59
Updates : 142 		 SurvivalMonths : 122.0 		 Average Reward : 3057.46
Updates : 144 		 SurvivalMonths : 122.0 		 Average Reward : -241105.24
Updates : 146 		 SurvivalMonths : 122.0 		 Average Reward : -99900.2
Updates : 148 		 SurvivalMonths : 122.0 		 Average Reward : -3380297.08
Updates : 150 		 SurvivalMonths : 122.0 		 Average Reward : -1694495.61
Updates : 152 		 SurvivalMonths : 122.0 		 Average Reward : -1972809.18
Updates : 154 		 SurvivalMonths : 93.5 		 Average Reward : 2879.89
Updates : 156 		 SurvivalMonths : 122.0 		 Average Reward : -1406971.5
Updates : 158 		 SurvivalMonths : 110.0 		 Average Reward : -3060728.11
Updates : 160 		 SurvivalMonths : 122.0 		 Average Reward : -2886402.57
Updates : 162 		 SurvivalMonths : 115.0 		 Average Reward : -660347.07
Updates : 164 		 SurvivalMonths : 108.5 		 Average Reward : -2180282.57
Updates : 166 		 SurvivalMonths : 122.0 		 Average Reward : -759596.35
Updates : 168 		 SurvivalMonths : 122.0 		 Average Reward : -1120932.98
Updates : 170 		 SurvivalMonths : 99.5 		 Average Reward : -675250.94
Updates : 172 		 SurvivalMonths : 122.0 		 Average Reward : -3746576.5
Updates : 174 		 SurvivalMonths : 122.0 		 Average Reward : -831321.65
Updates : 176 		 SurvivalMonths : 122.0 		 Average Reward : -1897186.9
Updates : 178 		 SurvivalMonths : 50.5 		 Average Reward : 954.79
Updates : 180 		 SurvivalMonths : 50.0 		 Average Reward : 916.6
Updates : 182 		 SurvivalMonths : 122.0 		 Average Reward : -1072177.38
Updates : 184 		 SurvivalMonths : 67.0 		 Average Reward : -327402.48
Updates : 186 		 SurvivalMonths : 67.0 		 Average Reward : -1074749.29
Updates : 188 		 SurvivalMonths : 122.0 		 Average Reward : -1407012.28
Updates : 190 		 SurvivalMonths : 68.5 		 Average Reward : -192543.6
Updates : 192 		 SurvivalMonths : 122.0 		 Average Reward : -1120402.96
Updates : 194 		 SurvivalMonths : 67.0 		 Average Reward : -2809807.36
Updates : 196 		 SurvivalMonths : 13.5 		 Average Reward : 101.99
