nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient011
2021-12-14 15:44:50.291833: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  10
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient011/PPO_ActionList_gym_cancer:CancerControl-v0_patient011_log_10.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient011/
save checkpoint format : patient011-m1-0.5-m2-6_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.1
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-14 15:44:55
============================================================================================
Updates : 0 		 SurvivalMonths : 48.5 		 Average Reward : 472.83
Updates : 36 		 SurvivalMonths : 45.5 		 Average Reward : 797.6
Updates : 38 		 SurvivalMonths : 48.5 		 Average Reward : 930.29
Updates : 40 		 SurvivalMonths : 50.0 		 Average Reward : 1127.15
Updates : 42 		 SurvivalMonths : 45.5 		 Average Reward : 880.57
Updates : 44 		 SurvivalMonths : 48.0 		 Average Reward : 976.35
Updates : 46 		 SurvivalMonths : 47.5 		 Average Reward : 824.39
Updates : 48 		 SurvivalMonths : 41.5 		 Average Reward : 846.79
Updates : 50 		 SurvivalMonths : 45.5 		 Average Reward : 927.65
Updates : 52 		 SurvivalMonths : 52.5 		 Average Reward : 1314.12
Updates : 54 		 SurvivalMonths : 49.0 		 Average Reward : 951.83
Updates : 56 		 SurvivalMonths : 41.0 		 Average Reward : 726.11
Updates : 58 		 SurvivalMonths : 46.0 		 Average Reward : 1111.96
Updates : 60 		 SurvivalMonths : 53.0 		 Average Reward : 1513.61
Updates : 62 		 SurvivalMonths : 46.0 		 Average Reward : 1115.78
Updates : 64 		 SurvivalMonths : 40.5 		 Average Reward : 866.57
Updates : 66 		 SurvivalMonths : 50.0 		 Average Reward : 1195.37
Updates : 68 		 SurvivalMonths : 51.5 		 Average Reward : 1026.67
Updates : 70 		 SurvivalMonths : 42.0 		 Average Reward : 929.58
Updates : 72 		 SurvivalMonths : 44.0 		 Average Reward : 805.52
Updates : 74 		 SurvivalMonths : 50.0 		 Average Reward : 1228.29
Updates : 76 		 SurvivalMonths : 50.5 		 Average Reward : 918.35
Updates : 78 		 SurvivalMonths : 51.5 		 Average Reward : 949.92
Updates : 80 		 SurvivalMonths : 53.5 		 Average Reward : 1211.14
Updates : 82 		 SurvivalMonths : 52.0 		 Average Reward : 1306.61
Updates : 84 		 SurvivalMonths : 50.0 		 Average Reward : 1220.93
Updates : 86 		 SurvivalMonths : 49.5 		 Average Reward : 1162.44
Updates : 88 		 SurvivalMonths : 41.5 		 Average Reward : 829.53
Updates : 90 		 SurvivalMonths : 44.0 		 Average Reward : 896.02
Updates : 92 		 SurvivalMonths : 48.0 		 Average Reward : 1106.21
Updates : 94 		 SurvivalMonths : 43.0 		 Average Reward : 968.21
Updates : 96 		 SurvivalMonths : 54.0 		 Average Reward : 1243.54
Updates : 98 		 SurvivalMonths : 52.5 		 Average Reward : 1169.47
Updates : 100 		 SurvivalMonths : 45.0 		 Average Reward : 939.56
Updates : 102 		 SurvivalMonths : 48.5 		 Average Reward : 1140.43
Updates : 104 		 SurvivalMonths : 52.0 		 Average Reward : 1242.44
Updates : 106 		 SurvivalMonths : 40.5 		 Average Reward : 819.37
Updates : 108 		 SurvivalMonths : 49.5 		 Average Reward : 933.87
Updates : 110 		 SurvivalMonths : 53.0 		 Average Reward : 1298.15
Updates : 112 		 SurvivalMonths : 54.0 		 Average Reward : 1238.99
Updates : 114 		 SurvivalMonths : 47.5 		 Average Reward : 910.04
Updates : 116 		 SurvivalMonths : 51.0 		 Average Reward : 1248.42
Updates : 118 		 SurvivalMonths : 49.5 		 Average Reward : 878.62
Updates : 120 		 SurvivalMonths : 54.0 		 Average Reward : 1260.46
Updates : 122 		 SurvivalMonths : 50.5 		 Average Reward : 795.68
Updates : 124 		 SurvivalMonths : 49.0 		 Average Reward : 867.63
Updates : 126 		 SurvivalMonths : 54.5 		 Average Reward : 1059.84
