nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient094
2021-12-06 11:25:26.413950: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  0
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient094/PPO_ActionList_gym_cancer:CancerControl-v0_patient094_log_0.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient094/
save checkpoint format : patient094_20211206-1125_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-06 11:25:32
============================================================================================
Updates : 0 		 SurvivalMonths : 122.0 		 Average Reward : -2980278.15
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient094/final/patient094_20211206-1125_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:10
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 122.0 		 Average Reward : -20367156.89
Updates : 4 		 SurvivalMonths : 122.0 		 Average Reward : -2852538.75
Updates : 6 		 SurvivalMonths : 122.0 		 Average Reward : -1223761.18
Updates : 8 		 SurvivalMonths : 122.0 		 Average Reward : -2589622.39
Updates : 10 		 SurvivalMonths : 122.0 		 Average Reward : -2845341.16
Updates : 12 		 SurvivalMonths : 122.0 		 Average Reward : -21159110.67
Updates : 14 		 SurvivalMonths : 122.0 		 Average Reward : -1313986.68
Updates : 16 		 SurvivalMonths : 122.0 		 Average Reward : -1223409.42
Updates : 18 		 SurvivalMonths : 122.0 		 Average Reward : -603031.11
Updates : 20 		 SurvivalMonths : 122.0 		 Average Reward : -4296204.29
Updates : 22 		 SurvivalMonths : 122.0 		 Average Reward : -1433187.37
Updates : 24 		 SurvivalMonths : 122.0 		 Average Reward : -21036262.97
Updates : 26 		 SurvivalMonths : 122.0 		 Average Reward : -1989314.08
Updates : 28 		 SurvivalMonths : 122.0 		 Average Reward : -3706173.54
Updates : 30 		 SurvivalMonths : 122.0 		 Average Reward : -23234467.26
Updates : 32 		 SurvivalMonths : 122.0 		 Average Reward : -1307095.32
Updates : 34 		 SurvivalMonths : 122.0 		 Average Reward : -3643431.91
Updates : 36 		 SurvivalMonths : 122.0 		 Average Reward : -3956747.65
Updates : 38 		 SurvivalMonths : 122.0 		 Average Reward : -19934514.21
Updates : 40 		 SurvivalMonths : 122.0 		 Average Reward : -16179967.88
Updates : 42 		 SurvivalMonths : 122.0 		 Average Reward : -835706.18
Updates : 44 		 SurvivalMonths : 122.0 		 Average Reward : -15723462.14
Updates : 46 		 SurvivalMonths : 122.0 		 Average Reward : -7793226.85
Updates : 48 		 SurvivalMonths : 122.0 		 Average Reward : -2643191.01
