nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient099
2021-12-06 11:25:26.351272: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  0
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient099/PPO_ActionList_gym_cancer:CancerControl-v0_patient099_log_0.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient099/
save checkpoint format : patient099_20211206-1125_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-06 11:25:32
============================================================================================
Updates : 0 		 SurvivalMonths : 54.0 		 Average Reward : -1624.56
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient099/final/patient099_20211206-1125_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:05
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 49.5 		 Average Reward : -1374.81
Updates : 4 		 SurvivalMonths : 47.5 		 Average Reward : -843.5
Updates : 6 		 SurvivalMonths : 49.5 		 Average Reward : -1588.55
Updates : 8 		 SurvivalMonths : 49.5 		 Average Reward : -597.82
Updates : 10 		 SurvivalMonths : 51.5 		 Average Reward : -2769.22
Updates : 12 		 SurvivalMonths : 49.0 		 Average Reward : -1824.5
Updates : 14 		 SurvivalMonths : 49.5 		 Average Reward : -837.59
Updates : 16 		 SurvivalMonths : 49.5 		 Average Reward : -1044.53
Updates : 18 		 SurvivalMonths : 48.0 		 Average Reward : -176.18
Updates : 20 		 SurvivalMonths : 53.0 		 Average Reward : -5173.89
Updates : 22 		 SurvivalMonths : 51.5 		 Average Reward : -374.82
Updates : 24 		 SurvivalMonths : 50.5 		 Average Reward : -1335.4
Updates : 26 		 SurvivalMonths : 51.5 		 Average Reward : -3384.89
Updates : 28 		 SurvivalMonths : 50.0 		 Average Reward : -1150.24
Updates : 30 		 SurvivalMonths : 51.5 		 Average Reward : -559.75
Updates : 32 		 SurvivalMonths : 48.0 		 Average Reward : -1438.36
Updates : 34 		 SurvivalMonths : 51.5 		 Average Reward : -2465.74
