nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient020
2021-12-03 20:27:49.797119: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  0
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient020/PPO_ActionList_gym_cancer:CancerControl-v0_patient020_log_0.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient020/
save checkpoint format : patient020_20211203-2027_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-03 20:27:57
============================================================================================
Updates : 0 		 SurvivalMonths : 47.5 		 Average Reward : -149.73
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient020/final/patient020_20211203-2027_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:05
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 51.0 		 Average Reward : -1606.54
Updates : 4 		 SurvivalMonths : 51.0 		 Average Reward : -1384.29
Updates : 6 		 SurvivalMonths : 48.0 		 Average Reward : -3212.09
Updates : 8 		 SurvivalMonths : 48.5 		 Average Reward : -459.59
Updates : 10 		 SurvivalMonths : 46.5 		 Average Reward : -4370.48
Updates : 12 		 SurvivalMonths : 51.0 		 Average Reward : -1007.46
Updates : 14 		 SurvivalMonths : 49.5 		 Average Reward : -4368.43
Updates : 16 		 SurvivalMonths : 49.5 		 Average Reward : -1050.64
Updates : 18 		 SurvivalMonths : 49.0 		 Average Reward : -2041.93
Updates : 20 		 SurvivalMonths : 52.0 		 Average Reward : -4006.43
Updates : 22 		 SurvivalMonths : 51.0 		 Average Reward : -503.94
Updates : 24 		 SurvivalMonths : 47.5 		 Average Reward : -2575.85
Updates : 26 		 SurvivalMonths : 47.5 		 Average Reward : -393.66
Updates : 28 		 SurvivalMonths : 49.0 		 Average Reward : -1285.73
Updates : 30 		 SurvivalMonths : 50.5 		 Average Reward : -604.5
Updates : 32 		 SurvivalMonths : 48.0 		 Average Reward : -1891.14
Updates : 34 		 SurvivalMonths : 51.5 		 Average Reward : -1752.17
