nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient056
2021-12-04 17:14:09.212980: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  0
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient056/PPO_ActionList_gym_cancer:CancerControl-v0_patient056_log_0.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient056/
save checkpoint format : patient056_20211204-1714_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-04 17:14:19
============================================================================================
Updates : 0 		 SurvivalMonths : 37.0 		 Average Reward : -91.99
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient056/final/patient056_20211204-1714_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:05
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 36.0 		 Average Reward : -208.65
Updates : 4 		 SurvivalMonths : 36.5 		 Average Reward : -76.06
Updates : 6 		 SurvivalMonths : 37.0 		 Average Reward : 5.47
Updates : 8 		 SurvivalMonths : 38.5 		 Average Reward : 7.62
Updates : 10 		 SurvivalMonths : 40.5 		 Average Reward : -252.12
Updates : 12 		 SurvivalMonths : 38.5 		 Average Reward : 170.03
Updates : 14 		 SurvivalMonths : 36.5 		 Average Reward : 39.01
Updates : 16 		 SurvivalMonths : 40.0 		 Average Reward : -116.73
Updates : 18 		 SurvivalMonths : 38.0 		 Average Reward : -78.51
Updates : 20 		 SurvivalMonths : 39.0 		 Average Reward : 190.14
Updates : 22 		 SurvivalMonths : 36.0 		 Average Reward : 6.03
Updates : 24 		 SurvivalMonths : 38.0 		 Average Reward : -28.21
Updates : 26 		 SurvivalMonths : 41.5 		 Average Reward : -185.46
Updates : 28 		 SurvivalMonths : 38.5 		 Average Reward : 36.96
Updates : 30 		 SurvivalMonths : 38.0 		 Average Reward : -282.43
Updates : 32 		 SurvivalMonths : 41.5 		 Average Reward : 22.27
Updates : 34 		 SurvivalMonths : 37.5 		 Average Reward : -136.33
Updates : 36 		 SurvivalMonths : 39.0 		 Average Reward : -369.5
Updates : 38 		 SurvivalMonths : 39.5 		 Average Reward : -4.49
Updates : 40 		 SurvivalMonths : 41.0 		 Average Reward : 319.03
Updates : 42 		 SurvivalMonths : 37.5 		 Average Reward : -67.46
Updates : 44 		 SurvivalMonths : 36.5 		 Average Reward : -227.51
Updates : 46 		 SurvivalMonths : 40.0 		 Average Reward : -55.95
Updates : 48 		 SurvivalMonths : 39.5 		 Average Reward : -402.1
Updates : 50 		 SurvivalMonths : 38.5 		 Average Reward : 12.03
Updates : 52 		 SurvivalMonths : 37.0 		 Average Reward : -36.18
Updates : 54 		 SurvivalMonths : 40.5 		 Average Reward : -361.29
Updates : 56 		 SurvivalMonths : 38.0 		 Average Reward : -118.85
Updates : 58 		 SurvivalMonths : 37.0 		 Average Reward : -95.96
Updates : 60 		 SurvivalMonths : 37.0 		 Average Reward : 149.66
Updates : 62 		 SurvivalMonths : 39.5 		 Average Reward : 146.12
Updates : 64 		 SurvivalMonths : 37.5 		 Average Reward : 103.22
Updates : 66 		 SurvivalMonths : 37.0 		 Average Reward : -169.63
Updates : 68 		 SurvivalMonths : 38.0 		 Average Reward : -108.01
Updates : 70 		 SurvivalMonths : 43.0 		 Average Reward : -61.01
Updates : 72 		 SurvivalMonths : 37.5 		 Average Reward : -136.33
Updates : 74 		 SurvivalMonths : 39.5 		 Average Reward : -271.07
Updates : 76 		 SurvivalMonths : 40.0 		 Average Reward : 26.83
Updates : 78 		 SurvivalMonths : 38.5 		 Average Reward : -197.9
Updates : 80 		 SurvivalMonths : 38.5 		 Average Reward : 58.67
Updates : 82 		 SurvivalMonths : 41.0 		 Average Reward : -251.84
Updates : 84 		 SurvivalMonths : 42.0 		 Average Reward : 73.27
Updates : 86 		 SurvivalMonths : 37.5 		 Average Reward : -182.61
Updates : 88 		 SurvivalMonths : 37.5 		 Average Reward : -136.33
Updates : 90 		 SurvivalMonths : 40.5 		 Average Reward : -31.39
Updates : 92 		 SurvivalMonths : 37.0 		 Average Reward : -126.71
Updates : 94 		 SurvivalMonths : 37.5 		 Average Reward : -0.67
Updates : 96 		 SurvivalMonths : 36.0 		 Average Reward : -104.78
Updates : 98 		 SurvivalMonths : 37.5 		 Average Reward : -84.6
Updates : 100 		 SurvivalMonths : 37.5 		 Average Reward : 139.65
Updates : 102 		 SurvivalMonths : 39.5 		 Average Reward : 389.08
Updates : 104 		 SurvivalMonths : 41.5 		 Average Reward : 331.22
Updates : 106 		 SurvivalMonths : 40.0 		 Average Reward : 476.26
Updates : 108 		 SurvivalMonths : 36.0 		 Average Reward : 5.25
Updates : 110 		 SurvivalMonths : 43.5 		 Average Reward : 1534.66
Updates : 112 		 SurvivalMonths : 40.5 		 Average Reward : 320.14
Updates : 114 		 SurvivalMonths : 38.5 		 Average Reward : 34.3
Updates : 116 		 SurvivalMonths : 37.5 		 Average Reward : -49.69
Updates : 118 		 SurvivalMonths : 40.0 		 Average Reward : 716.2
Updates : 120 		 SurvivalMonths : 38.0 		 Average Reward : 823.27
Updates : 122 		 SurvivalMonths : 38.5 		 Average Reward : 732.03
Updates : 124 		 SurvivalMonths : 39.5 		 Average Reward : 285.11
Updates : 126 		 SurvivalMonths : 45.0 		 Average Reward : 147.79
Updates : 128 		 SurvivalMonths : 41.5 		 Average Reward : 297.94
Updates : 130 		 SurvivalMonths : 27.5 		 Average Reward : 412.94
Updates : 132 		 SurvivalMonths : 42.0 		 Average Reward : 192.69
Updates : 134 		 SurvivalMonths : 35.5 		 Average Reward : -268.59
Updates : 136 		 SurvivalMonths : 26.0 		 Average Reward : 273.69
Updates : 138 		 SurvivalMonths : 38.5 		 Average Reward : 218.74
Updates : 140 		 SurvivalMonths : 40.5 		 Average Reward : 275.79
Updates : 142 		 SurvivalMonths : 15.5 		 Average Reward : 591.6
Updates : 144 		 SurvivalMonths : 26.5 		 Average Reward : 406.82
Updates : 146 		 SurvivalMonths : 38.5 		 Average Reward : 197.79
Updates : 148 		 SurvivalMonths : 28.0 		 Average Reward : 202.0
Updates : 150 		 SurvivalMonths : 38.0 		 Average Reward : 117.43
Updates : 152 		 SurvivalMonths : 15.5 		 Average Reward : 594.06
Updates : 154 		 SurvivalMonths : 36.0 		 Average Reward : -109.61
Updates : 156 		 SurvivalMonths : 27.0 		 Average Reward : 385.14
Updates : 158 		 SurvivalMonths : 15.0 		 Average Reward : 553.95
Updates : 160 		 SurvivalMonths : 38.0 		 Average Reward : 55.07
Updates : 162 		 SurvivalMonths : 38.5 		 Average Reward : 309.5
Updates : 164 		 SurvivalMonths : 25.5 		 Average Reward : 270.54
Updates : 166 		 SurvivalMonths : 39.0 		 Average Reward : 149.5
Updates : 168 		 SurvivalMonths : 26.0 		 Average Reward : 398.18
Updates : 170 		 SurvivalMonths : 43.0 		 Average Reward : 248.81
Updates : 172 		 SurvivalMonths : 37.0 		 Average Reward : 106.64
Updates : 174 		 SurvivalMonths : 38.5 		 Average Reward : 83.17
Updates : 176 		 SurvivalMonths : 26.5 		 Average Reward : 347.66
Updates : 178 		 SurvivalMonths : 42.0 		 Average Reward : 128.22
Updates : 180 		 SurvivalMonths : 42.5 		 Average Reward : 54.48
Updates : 182 		 SurvivalMonths : 41.0 		 Average Reward : 516.69
Updates : 184 		 SurvivalMonths : 25.5 		 Average Reward : 314.84
Updates : 186 		 SurvivalMonths : 15.0 		 Average Reward : 553.95
Updates : 188 		 SurvivalMonths : 27.0 		 Average Reward : 170.47
Updates : 190 		 SurvivalMonths : 47.0 		 Average Reward : 446.07
Updates : 192 		 SurvivalMonths : 42.0 		 Average Reward : 259.21
Updates : 194 		 SurvivalMonths : 27.0 		 Average Reward : 472.01
Updates : 196 		 SurvivalMonths : 40.5 		 Average Reward : -253.52
Updates : 198 		 SurvivalMonths : 41.5 		 Average Reward : 210.28
Updates : 200 		 SurvivalMonths : 38.5 		 Average Reward : 250.56
Updates : 202 		 SurvivalMonths : 27.0 		 Average Reward : 454.63
Updates : 204 		 SurvivalMonths : 39.5 		 Average Reward : 185.13
Updates : 206 		 SurvivalMonths : 26.5 		 Average Reward : -64.45
Updates : 208 		 SurvivalMonths : 43.0 		 Average Reward : 489.21
Updates : 210 		 SurvivalMonths : 40.0 		 Average Reward : 99.81
Updates : 212 		 SurvivalMonths : 40.5 		 Average Reward : 391.02
Updates : 214 		 SurvivalMonths : 24.0 		 Average Reward : 167.05
Updates : 216 		 SurvivalMonths : 26.5 		 Average Reward : 377.69
Updates : 218 		 SurvivalMonths : 45.0 		 Average Reward : -17.6
Updates : 220 		 SurvivalMonths : 41.0 		 Average Reward : 175.28
Updates : 222 		 SurvivalMonths : 29.0 		 Average Reward : 321.31
Updates : 224 		 SurvivalMonths : 41.0 		 Average Reward : 408.94
Updates : 226 		 SurvivalMonths : 27.5 		 Average Reward : 59.4
Updates : 228 		 SurvivalMonths : 29.0 		 Average Reward : 557.07
Updates : 230 		 SurvivalMonths : 14.0 		 Average Reward : 478.79
Updates : 232 		 SurvivalMonths : 42.5 		 Average Reward : 434.7
Updates : 234 		 SurvivalMonths : 14.0 		 Average Reward : 477.38
Updates : 236 		 SurvivalMonths : 25.5 		 Average Reward : 252.23
Updates : 238 		 SurvivalMonths : 41.0 		 Average Reward : 492.15
Updates : 240 		 SurvivalMonths : 26.5 		 Average Reward : 387.58
Updates : 242 		 SurvivalMonths : 27.5 		 Average Reward : 415.63
Updates : 244 		 SurvivalMonths : 42.5 		 Average Reward : 288.29
Updates : 246 		 SurvivalMonths : 39.0 		 Average Reward : -87.02
Updates : 248 		 SurvivalMonths : 15.0 		 Average Reward : 552.67
Updates : 250 		 SurvivalMonths : 41.0 		 Average Reward : 257.99
Updates : 252 		 SurvivalMonths : 36.5 		 Average Reward : 254.59
Updates : 254 		 SurvivalMonths : 41.0 		 Average Reward : 275.18
Updates : 256 		 SurvivalMonths : 27.0 		 Average Reward : 433.67
Updates : 258 		 SurvivalMonths : 26.0 		 Average Reward : 379.14
Updates : 260 		 SurvivalMonths : 37.5 		 Average Reward : -6.76
Updates : 262 		 SurvivalMonths : 40.0 		 Average Reward : -349.71
Updates : 264 		 SurvivalMonths : 46.5 		 Average Reward : 786.08
Updates : 266 		 SurvivalMonths : 42.5 		 Average Reward : 435.94
Updates : 268 		 SurvivalMonths : 29.5 		 Average Reward : 554.23
Updates : 270 		 SurvivalMonths : 42.5 		 Average Reward : 255.55
Updates : 272 		 SurvivalMonths : 27.5 		 Average Reward : 351.95
Updates : 274 		 SurvivalMonths : 27.0 		 Average Reward : 387.22
Updates : 276 		 SurvivalMonths : 43.0 		 Average Reward : 122.57
Updates : 278 		 SurvivalMonths : 43.5 		 Average Reward : 373.26
Updates : 280 		 SurvivalMonths : 37.0 		 Average Reward : 179.99
Updates : 282 		 SurvivalMonths : 45.0 		 Average Reward : 178.76
Updates : 284 		 SurvivalMonths : 44.5 		 Average Reward : 522.05
Updates : 286 		 SurvivalMonths : 41.0 		 Average Reward : 466.28
Updates : 288 		 SurvivalMonths : 39.0 		 Average Reward : 308.08
Updates : 290 		 SurvivalMonths : 30.5 		 Average Reward : 786.55
Updates : 292 		 SurvivalMonths : 16.5 		 Average Reward : 677.45
Updates : 294 		 SurvivalMonths : 14.5 		 Average Reward : 515.03
Updates : 296 		 SurvivalMonths : 29.5 		 Average Reward : 307.76
Updates : 298 		 SurvivalMonths : 38.0 		 Average Reward : 130.33
Updates : 300 		 SurvivalMonths : 28.5 		 Average Reward : 595.53
Updates : 302 		 SurvivalMonths : 38.5 		 Average Reward : -89.64
Updates : 304 		 SurvivalMonths : 15.0 		 Average Reward : 557.82
Updates : 306 		 SurvivalMonths : 39.0 		 Average Reward : 190.7
Updates : 308 		 SurvivalMonths : 38.5 		 Average Reward : 236.36
Updates : 310 		 SurvivalMonths : 44.5 		 Average Reward : 547.26
Updates : 312 		 SurvivalMonths : 47.5 		 Average Reward : 155.49
Updates : 314 		 SurvivalMonths : 42.0 		 Average Reward : 113.7
Updates : 316 		 SurvivalMonths : 15.0 		 Average Reward : 552.67
Updates : 318 		 SurvivalMonths : 28.0 		 Average Reward : 524.7
Updates : 320 		 SurvivalMonths : 32.5 		 Average Reward : 502.32
Updates : 322 		 SurvivalMonths : 42.0 		 Average Reward : 419.18
Updates : 324 		 SurvivalMonths : 38.5 		 Average Reward : 171.99
Updates : 326 		 SurvivalMonths : 38.5 		 Average Reward : 407.39
Updates : 328 		 SurvivalMonths : 27.5 		 Average Reward : 447.47
Updates : 330 		 SurvivalMonths : 41.5 		 Average Reward : 433.78
Updates : 332 		 SurvivalMonths : 41.5 		 Average Reward : 483.77
Updates : 334 		 SurvivalMonths : 43.0 		 Average Reward : 377.61
Updates : 336 		 SurvivalMonths : 41.5 		 Average Reward : 547.03
Updates : 338 		 SurvivalMonths : 43.5 		 Average Reward : 690.53
Updates : 340 		 SurvivalMonths : 45.5 		 Average Reward : 580.01
Updates : 342 		 SurvivalMonths : 39.0 		 Average Reward : 278.79
Updates : 344 		 SurvivalMonths : 37.0 		 Average Reward : 1412.74
Updates : 346 		 SurvivalMonths : 38.0 		 Average Reward : 248.45
Updates : 348 		 SurvivalMonths : 44.0 		 Average Reward : 621.79
Updates : 350 		 SurvivalMonths : 38.0 		 Average Reward : 407.56
Updates : 352 		 SurvivalMonths : 30.0 		 Average Reward : 551.39
Updates : 354 		 SurvivalMonths : 26.5 		 Average Reward : 447.0
Updates : 356 		 SurvivalMonths : 43.5 		 Average Reward : 564.73
Updates : 358 		 SurvivalMonths : 44.5 		 Average Reward : 651.64
Updates : 360 		 SurvivalMonths : 40.0 		 Average Reward : 365.67
Updates : 362 		 SurvivalMonths : 26.5 		 Average Reward : 406.48
Updates : 364 		 SurvivalMonths : 30.5 		 Average Reward : 711.7
Updates : 366 		 SurvivalMonths : 27.0 		 Average Reward : 509.67
Updates : 368 		 SurvivalMonths : 36.5 		 Average Reward : 200.89
Updates : 370 		 SurvivalMonths : 38.5 		 Average Reward : 464.13
Updates : 372 		 SurvivalMonths : 42.0 		 Average Reward : 481.62
Updates : 374 		 SurvivalMonths : 40.0 		 Average Reward : 471.75
Updates : 376 		 SurvivalMonths : 38.0 		 Average Reward : 265.24
Updates : 378 		 SurvivalMonths : 32.0 		 Average Reward : 668.52
Updates : 380 		 SurvivalMonths : 27.5 		 Average Reward : 412.46
Updates : 382 		 SurvivalMonths : 26.5 		 Average Reward : 363.69
Updates : 384 		 SurvivalMonths : 40.5 		 Average Reward : 303.63
Updates : 386 		 SurvivalMonths : 39.0 		 Average Reward : 259.76
Updates : 388 		 SurvivalMonths : 44.0 		 Average Reward : 559.37
Updates : 390 		 SurvivalMonths : 39.0 		 Average Reward : 130.13
Updates : 392 		 SurvivalMonths : 43.0 		 Average Reward : 674.39
Updates : 394 		 SurvivalMonths : 34.5 		 Average Reward : 989.6
Updates : 396 		 SurvivalMonths : 26.0 		 Average Reward : 438.39
Updates : 398 		 SurvivalMonths : 49.0 		 Average Reward : 1045.01
