nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient011
2021-12-09 10:01:15.108585: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  4
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient011/PPO_ActionList_gym_cancer:CancerControl-v0_patient011_log_4.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient011/
save checkpoint format : patient011-m1-0.4-m2-12_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-09 10:01:22
============================================================================================
Updates : 0 		 SurvivalMonths : 55.0 		 Average Reward : -4413.79
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient011/final/patient011-m1-0.4-m2-12_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:06
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 47.0 		 Average Reward : -2168.23
Updates : 4 		 SurvivalMonths : 47.5 		 Average Reward : -2474.15
Updates : 6 		 SurvivalMonths : 49.5 		 Average Reward : -1540.96
Updates : 8 		 SurvivalMonths : 53.0 		 Average Reward : -3577.63
Updates : 10 		 SurvivalMonths : 44.5 		 Average Reward : -1519.11
Updates : 12 		 SurvivalMonths : 58.0 		 Average Reward : -764.96
Updates : 14 		 SurvivalMonths : 46.0 		 Average Reward : -2470.45
Updates : 16 		 SurvivalMonths : 49.0 		 Average Reward : -2239.76
Updates : 18 		 SurvivalMonths : 46.5 		 Average Reward : -4123.54
Updates : 20 		 SurvivalMonths : 50.5 		 Average Reward : -2980.08
Updates : 22 		 SurvivalMonths : 52.5 		 Average Reward : -1590.2
Updates : 24 		 SurvivalMonths : 46.0 		 Average Reward : -1235.41
Updates : 26 		 SurvivalMonths : 48.5 		 Average Reward : -3530.91
Updates : 28 		 SurvivalMonths : 51.0 		 Average Reward : -2461.78
Updates : 30 		 SurvivalMonths : 56.5 		 Average Reward : -1583.69
Updates : 32 		 SurvivalMonths : 47.5 		 Average Reward : -3121.52
Updates : 34 		 SurvivalMonths : 46.5 		 Average Reward : -2700.56
Updates : 36 		 SurvivalMonths : 49.0 		 Average Reward : -1935.52
Updates : 38 		 SurvivalMonths : 54.0 		 Average Reward : -1874.25
Updates : 40 		 SurvivalMonths : 41.5 		 Average Reward : -1750.91
Updates : 42 		 SurvivalMonths : 49.0 		 Average Reward : -1392.91
Updates : 44 		 SurvivalMonths : 56.0 		 Average Reward : -2540.59
Updates : 46 		 SurvivalMonths : 48.5 		 Average Reward : -4076.32
Updates : 48 		 SurvivalMonths : 55.5 		 Average Reward : -6114.71
Updates : 50 		 SurvivalMonths : 48.5 		 Average Reward : -3548.12
Updates : 52 		 SurvivalMonths : 44.5 		 Average Reward : -1223.09
Updates : 54 		 SurvivalMonths : 43.5 		 Average Reward : -1372.31
Updates : 56 		 SurvivalMonths : 53.5 		 Average Reward : -3165.61
Updates : 58 		 SurvivalMonths : 52.0 		 Average Reward : -1082.7
Updates : 60 		 SurvivalMonths : 45.0 		 Average Reward : -3122.08
Updates : 62 		 SurvivalMonths : 51.0 		 Average Reward : -1909.4
Updates : 64 		 SurvivalMonths : 47.0 		 Average Reward : -1600.62
Updates : 66 		 SurvivalMonths : 43.0 		 Average Reward : -1550.95
Updates : 68 		 SurvivalMonths : 50.0 		 Average Reward : -1831.89
Updates : 70 		 SurvivalMonths : 50.5 		 Average Reward : -3237.63
Updates : 72 		 SurvivalMonths : 52.5 		 Average Reward : -3782.04
Updates : 74 		 SurvivalMonths : 57.5 		 Average Reward : -3221.89
Updates : 76 		 SurvivalMonths : 49.0 		 Average Reward : -2412.72
Updates : 78 		 SurvivalMonths : 57.5 		 Average Reward : -2637.14
Updates : 80 		 SurvivalMonths : 53.0 		 Average Reward : -3247.92
Updates : 82 		 SurvivalMonths : 50.5 		 Average Reward : -896.47
Updates : 84 		 SurvivalMonths : 49.5 		 Average Reward : -2297.9
Updates : 86 		 SurvivalMonths : 47.0 		 Average Reward : -2055.62
Updates : 88 		 SurvivalMonths : 52.0 		 Average Reward : -2427.26
Updates : 90 		 SurvivalMonths : 59.0 		 Average Reward : -2368.98
Updates : 92 		 SurvivalMonths : 48.5 		 Average Reward : -2130.71
Updates : 94 		 SurvivalMonths : 56.5 		 Average Reward : -469.34
Updates : 96 		 SurvivalMonths : 53.5 		 Average Reward : -3876.84
Updates : 98 		 SurvivalMonths : 52.5 		 Average Reward : -2160.37
Updates : 100 		 SurvivalMonths : 46.5 		 Average Reward : -1206.35
Updates : 102 		 SurvivalMonths : 47.0 		 Average Reward : -1558.77
Updates : 104 		 SurvivalMonths : 57.5 		 Average Reward : -4135.9
Updates : 106 		 SurvivalMonths : 53.5 		 Average Reward : -3944.23
Updates : 108 		 SurvivalMonths : 51.0 		 Average Reward : -3916.34
Updates : 110 		 SurvivalMonths : 48.0 		 Average Reward : -2560.17
Updates : 112 		 SurvivalMonths : 53.5 		 Average Reward : -1254.28
Updates : 114 		 SurvivalMonths : 52.5 		 Average Reward : -1449.9
Updates : 116 		 SurvivalMonths : 49.5 		 Average Reward : -2272.93
Updates : 118 		 SurvivalMonths : 50.0 		 Average Reward : -2323.22
Updates : 120 		 SurvivalMonths : 53.0 		 Average Reward : -3189.83
Updates : 122 		 SurvivalMonths : 52.5 		 Average Reward : -553.09
Updates : 124 		 SurvivalMonths : 59.0 		 Average Reward : -1778.56
Updates : 126 		 SurvivalMonths : 41.5 		 Average Reward : -1759.32
Updates : 128 		 SurvivalMonths : 45.5 		 Average Reward : -2319.46
Updates : 130 		 SurvivalMonths : 46.5 		 Average Reward : -1047.65
Updates : 132 		 SurvivalMonths : 47.5 		 Average Reward : -1384.09
Updates : 134 		 SurvivalMonths : 40.5 		 Average Reward : -1514.18
Updates : 136 		 SurvivalMonths : 48.0 		 Average Reward : -742.97
Updates : 138 		 SurvivalMonths : 57.0 		 Average Reward : -1085.49
Updates : 140 		 SurvivalMonths : 50.0 		 Average Reward : -2298.43
Updates : 142 		 SurvivalMonths : 40.5 		 Average Reward : -1445.97
Updates : 144 		 SurvivalMonths : 51.5 		 Average Reward : -266.01
Updates : 146 		 SurvivalMonths : 51.0 		 Average Reward : -796.73
Updates : 148 		 SurvivalMonths : 48.0 		 Average Reward : -1068.57
Updates : 150 		 SurvivalMonths : 50.5 		 Average Reward : -3623.09
Updates : 152 		 SurvivalMonths : 40.5 		 Average Reward : -1607.3
Updates : 154 		 SurvivalMonths : 54.0 		 Average Reward : -2834.84
Updates : 156 		 SurvivalMonths : 58.0 		 Average Reward : -2331.49
Updates : 158 		 SurvivalMonths : 51.5 		 Average Reward : -2415.68
Updates : 160 		 SurvivalMonths : 47.0 		 Average Reward : -821.74
Updates : 162 		 SurvivalMonths : 46.0 		 Average Reward : -2614.59
Updates : 164 		 SurvivalMonths : 51.0 		 Average Reward : -1332.75
Updates : 166 		 SurvivalMonths : 49.5 		 Average Reward : -1362.41
Updates : 168 		 SurvivalMonths : 55.5 		 Average Reward : -2000.43
Updates : 170 		 SurvivalMonths : 55.0 		 Average Reward : -5981.57
Updates : 172 		 SurvivalMonths : 46.5 		 Average Reward : -2047.84
Updates : 174 		 SurvivalMonths : 52.5 		 Average Reward : -424.95
Updates : 176 		 SurvivalMonths : 54.5 		 Average Reward : -2638.49
Updates : 178 		 SurvivalMonths : 47.5 		 Average Reward : -2047.27
Updates : 180 		 SurvivalMonths : 48.5 		 Average Reward : -1678.61
Updates : 182 		 SurvivalMonths : 56.5 		 Average Reward : -1650.86
Updates : 184 		 SurvivalMonths : 50.5 		 Average Reward : -412.16
Updates : 186 		 SurvivalMonths : 48.5 		 Average Reward : -1687.01
Updates : 188 		 SurvivalMonths : 48.5 		 Average Reward : -1286.08
Updates : 190 		 SurvivalMonths : 47.5 		 Average Reward : -1775.08
Updates : 192 		 SurvivalMonths : 50.0 		 Average Reward : -2234.6
Updates : 194 		 SurvivalMonths : 40.5 		 Average Reward : -1514.18
Updates : 196 		 SurvivalMonths : 47.5 		 Average Reward : -2023.88
Updates : 198 		 SurvivalMonths : 48.5 		 Average Reward : -2594.13
Updates : 200 		 SurvivalMonths : 43.0 		 Average Reward : -2188.6
Updates : 202 		 SurvivalMonths : 40.0 		 Average Reward : -1458.04
Updates : 204 		 SurvivalMonths : 44.0 		 Average Reward : -1451.85
Updates : 206 		 SurvivalMonths : 48.5 		 Average Reward : -2723.06
Updates : 208 		 SurvivalMonths : 39.0 		 Average Reward : -1212.9
Updates : 210 		 SurvivalMonths : 53.5 		 Average Reward : -1663.28
Updates : 212 		 SurvivalMonths : 47.5 		 Average Reward : -1635.44
Updates : 214 		 SurvivalMonths : 48.0 		 Average Reward : -3071.08
Updates : 216 		 SurvivalMonths : 56.5 		 Average Reward : -4085.75
Updates : 218 		 SurvivalMonths : 55.0 		 Average Reward : -302.0
Updates : 220 		 SurvivalMonths : 48.0 		 Average Reward : -2269.4
Updates : 222 		 SurvivalMonths : 53.5 		 Average Reward : -2890.79
Updates : 224 		 SurvivalMonths : 54.0 		 Average Reward : -3043.11
Updates : 226 		 SurvivalMonths : 50.5 		 Average Reward : -1061.35
Updates : 228 		 SurvivalMonths : 46.0 		 Average Reward : -2177.42
Updates : 230 		 SurvivalMonths : 55.5 		 Average Reward : -841.13
Updates : 232 		 SurvivalMonths : 53.5 		 Average Reward : -3372.7
Updates : 234 		 SurvivalMonths : 47.5 		 Average Reward : -2213.52
Updates : 236 		 SurvivalMonths : 53.5 		 Average Reward : -1486.59
Updates : 238 		 SurvivalMonths : 43.5 		 Average Reward : -1328.29
Updates : 240 		 SurvivalMonths : 57.0 		 Average Reward : -1672.54
Updates : 242 		 SurvivalMonths : 45.0 		 Average Reward : -1085.39
Updates : 244 		 SurvivalMonths : 56.0 		 Average Reward : -228.75
Updates : 246 		 SurvivalMonths : 41.5 		 Average Reward : -1759.32
Updates : 248 		 SurvivalMonths : 50.0 		 Average Reward : -848.81
Updates : 250 		 SurvivalMonths : 53.0 		 Average Reward : -1129.4
Updates : 252 		 SurvivalMonths : 51.0 		 Average Reward : -2038.75
Updates : 254 		 SurvivalMonths : 54.5 		 Average Reward : -2549.79
Updates : 256 		 SurvivalMonths : 46.5 		 Average Reward : -1488.27
Updates : 258 		 SurvivalMonths : 58.0 		 Average Reward : -2038.85
Updates : 260 		 SurvivalMonths : 55.0 		 Average Reward : -1682.55
Updates : 262 		 SurvivalMonths : 51.0 		 Average Reward : -1773.85
Updates : 264 		 SurvivalMonths : 59.5 		 Average Reward : -2142.36
Updates : 266 		 SurvivalMonths : 50.0 		 Average Reward : -2724.44
Updates : 268 		 SurvivalMonths : 60.0 		 Average Reward : -1565.89
Updates : 270 		 SurvivalMonths : 53.5 		 Average Reward : -719.6
Updates : 272 		 SurvivalMonths : 54.5 		 Average Reward : -1880.39
Updates : 274 		 SurvivalMonths : 57.0 		 Average Reward : -1171.81
Updates : 276 		 SurvivalMonths : 50.5 		 Average Reward : -1787.32
Updates : 278 		 SurvivalMonths : 52.5 		 Average Reward : -954.6
Updates : 280 		 SurvivalMonths : 49.0 		 Average Reward : -2368.33
Updates : 282 		 SurvivalMonths : 44.5 		 Average Reward : -324.31
Updates : 284 		 SurvivalMonths : 55.5 		 Average Reward : -1425.24
Updates : 286 		 SurvivalMonths : 54.5 		 Average Reward : -21.7
Updates : 288 		 SurvivalMonths : 48.0 		 Average Reward : -1261.07
Updates : 290 		 SurvivalMonths : 53.5 		 Average Reward : -942.49
Updates : 292 		 SurvivalMonths : 49.0 		 Average Reward : -714.17
Updates : 294 		 SurvivalMonths : 52.0 		 Average Reward : -1198.5
Updates : 296 		 SurvivalMonths : 57.5 		 Average Reward : -585.35
Updates : 298 		 SurvivalMonths : 59.5 		 Average Reward : -1224.96
Updates : 300 		 SurvivalMonths : 60.0 		 Average Reward : -2120.67
Updates : 302 		 SurvivalMonths : 47.5 		 Average Reward : -3548.67
Updates : 304 		 SurvivalMonths : 57.0 		 Average Reward : -1417.73
Updates : 306 		 SurvivalMonths : 48.5 		 Average Reward : -4213.49
Updates : 308 		 SurvivalMonths : 44.5 		 Average Reward : -1115.62
Updates : 310 		 SurvivalMonths : 40.0 		 Average Reward : -1399.8
Updates : 312 		 SurvivalMonths : 56.0 		 Average Reward : -3438.54
Updates : 314 		 SurvivalMonths : 50.0 		 Average Reward : -1457.11
Updates : 316 		 SurvivalMonths : 49.5 		 Average Reward : -698.65
Updates : 318 		 SurvivalMonths : 54.0 		 Average Reward : -1252.55
Updates : 320 		 SurvivalMonths : 54.5 		 Average Reward : -4385.93
Updates : 322 		 SurvivalMonths : 50.0 		 Average Reward : -1964.24
Updates : 324 		 SurvivalMonths : 52.0 		 Average Reward : -484.53
Updates : 326 		 SurvivalMonths : 47.0 		 Average Reward : -1736.2
Updates : 328 		 SurvivalMonths : 55.0 		 Average Reward : -917.65
Updates : 330 		 SurvivalMonths : 58.5 		 Average Reward : -918.92
Updates : 332 		 SurvivalMonths : 56.0 		 Average Reward : -2685.87
Updates : 334 		 SurvivalMonths : 52.5 		 Average Reward : -2810.21
Updates : 336 		 SurvivalMonths : 57.0 		 Average Reward : -1087.8
Updates : 338 		 SurvivalMonths : 55.5 		 Average Reward : -1179.13
Updates : 340 		 SurvivalMonths : 57.0 		 Average Reward : -3302.77
Updates : 342 		 SurvivalMonths : 55.5 		 Average Reward : -1662.76
Updates : 344 		 SurvivalMonths : 35.0 		 Average Reward : -1234.47
Updates : 346 		 SurvivalMonths : 56.5 		 Average Reward : -1613.03
Updates : 348 		 SurvivalMonths : 54.0 		 Average Reward : -645.87
Updates : 350 		 SurvivalMonths : 59.5 		 Average Reward : -271.46
Updates : 352 		 SurvivalMonths : 31.0 		 Average Reward : -1171.28
Updates : 354 		 SurvivalMonths : 54.0 		 Average Reward : -401.77
Updates : 356 		 SurvivalMonths : 57.5 		 Average Reward : -2672.04
Updates : 358 		 SurvivalMonths : 59.5 		 Average Reward : -3487.52
Updates : 360 		 SurvivalMonths : 52.5 		 Average Reward : -1813.32
Updates : 362 		 SurvivalMonths : 56.5 		 Average Reward : -1298.31
Updates : 364 		 SurvivalMonths : 35.0 		 Average Reward : -43.26
Updates : 366 		 SurvivalMonths : 60.5 		 Average Reward : -731.08
Updates : 368 		 SurvivalMonths : 50.5 		 Average Reward : -864.78
Updates : 370 		 SurvivalMonths : 53.5 		 Average Reward : -107.18
Updates : 372 		 SurvivalMonths : 55.0 		 Average Reward : -188.83
Updates : 374 		 SurvivalMonths : 48.0 		 Average Reward : -48.16
Updates : 376 		 SurvivalMonths : 56.5 		 Average Reward : -3347.37
Updates : 378 		 SurvivalMonths : 12.0 		 Average Reward : 88.04
Updates : 380 		 SurvivalMonths : 33.0 		 Average Reward : -381.19
Updates : 382 		 SurvivalMonths : 55.5 		 Average Reward : -1377.16
Updates : 384 		 SurvivalMonths : 36.5 		 Average Reward : -733.68
Updates : 386 		 SurvivalMonths : 53.0 		 Average Reward : -1646.16
Updates : 388 		 SurvivalMonths : 55.5 		 Average Reward : -362.04
Updates : 390 		 SurvivalMonths : 34.0 		 Average Reward : 103.07
Updates : 392 		 SurvivalMonths : 35.0 		 Average Reward : 13.78
Updates : 394 		 SurvivalMonths : 34.5 		 Average Reward : -316.98
Updates : 396 		 SurvivalMonths : 32.0 		 Average Reward : 352.03
Updates : 398 		 SurvivalMonths : 33.5 		 Average Reward : -536.47
Updates : 400 		 SurvivalMonths : 54.5 		 Average Reward : -985.52
Updates : 402 		 SurvivalMonths : 61.0 		 Average Reward : -1457.34
Updates : 404 		 SurvivalMonths : 52.5 		 Average Reward : -635.11
Updates : 406 		 SurvivalMonths : 55.0 		 Average Reward : -1816.03
