nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient101
2021-12-20 10:45:46.431414: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  3
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient101/PPO_ActionList_gym_cancer:CancerControl-v0_patient101_log_3.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient101/
save checkpoint format : patient10120211220-1045-m1-0.5-m2-12_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  1e-05
============================================================================================
Updates : 52 		 SurvivalMonths : 45.0 		 Average Reward : -469.58
Updates : 54 		 SurvivalMonths : 46.0 		 Average Reward : -241.4
Updates : 56 		 SurvivalMonths : 44.5 		 Average Reward : -682.25
Updates : 58 		 SurvivalMonths : 59.5 		 Average Reward : 699.44
Updates : 60 		 SurvivalMonths : 52.5 		 Average Reward : 983.44
Updates : 62 		 SurvivalMonths : 46.5 		 Average Reward : 576.95
Updates : 64 		 SurvivalMonths : 49.0 		 Average Reward : 322.35
Updates : 66 		 SurvivalMonths : 60.0 		 Average Reward : 1292.52
Updates : 68 		 SurvivalMonths : 47.5 		 Average Reward : -820.66
Updates : 70 		 SurvivalMonths : 49.0 		 Average Reward : -135.88
Updates : 72 		 SurvivalMonths : 46.0 		 Average Reward : -275.72
Updates : 74 		 SurvivalMonths : 44.0 		 Average Reward : 38.99
Updates : 76 		 SurvivalMonths : 45.0 		 Average Reward : -251.16
Updates : 78 		 SurvivalMonths : 47.5 		 Average Reward : -76.11
Updates : 80 		 SurvivalMonths : 52.0 		 Average Reward : 617.98
Updates : 82 		 SurvivalMonths : 56.0 		 Average Reward : 1075.65
Updates : 84 		 SurvivalMonths : 46.0 		 Average Reward : -37.33
Updates : 86 		 SurvivalMonths : 51.5 		 Average Reward : 968.14
Updates : 88 		 SurvivalMonths : 45.0 		 Average Reward : 404.46
