Wall time,Step,Value
1639467902.4006982,0,483.6115417480469
1639467978.0594282,50,1348.03125
1639468056.3188002,100,1365.815673828125
1639468132.8868062,150,1271.173095703125
1639468210.043059,200,1370.5137939453125
1639468288.4876802,250,1510.8485107421875
1639468368.3857634,300,1234.4549560546875
1639468447.8524377,350,1444.53662109375
1639468526.4550872,400,1238.2548828125
1639468603.9312513,450,807.7134399414062
1639468680.3013177,500,1254.8341064453125
1639468758.809651,550,1374.9906005859375
1639468839.0906737,600,947.0270385742188
1639468917.522274,650,1108.4827880859375
1639468997.6424015,700,1283.7166748046875
1639469076.980589,750,1191.050537109375
1639469159.7126782,800,1222.508544921875
1639469243.3437004,850,1407.018798828125
1639469323.0424895,900,1089.328857421875
1639469405.2700424,950,1137.0098876953125
1639469485.6169026,1000,1133.08837890625
1639469567.2546525,1050,961.919677734375
1639469648.134013,1100,1251.9566650390625
1639469727.5770264,1150,877.0973510742188
1639469806.932793,1200,1171.9146728515625
1639469884.7922535,1250,1031.8372802734375
1639469963.6027992,1300,1036.4031982421875
1639470044.029123,1350,1027.4488525390625
1639470123.0698283,1400,1430.1357421875
1639470201.1940737,1450,1006.5296630859375
1639470280.3767781,1500,1000.932373046875
1639470356.2188537,1550,939.704833984375
1639470432.7547143,1600,980.6934204101562
1639470511.002011,1650,1060.2711181640625
1639470587.54866,1700,1028.334716796875
1639470663.21307,1750,1164.8992919921875
1639470739.9061117,1800,1172.449951171875
1639470816.012083,1850,969.011962890625
1639470889.1145005,1900,677.5299682617188
1639470960.8314037,1950,805.7510986328125
1639471035.1152651,2000,760.9617309570312
1639471108.6656942,2050,994.2401733398438
1639471181.8200104,2100,773.5848388671875
1639471254.7199047,2150,818.59423828125
1639471327.7446568,2200,999.3917236328125
1639471398.2124207,2250,646.2263793945312
1639471470.1796217,2300,739.7168579101562
1639471543.2716362,2350,975.4510498046875
1639471615.5202215,2400,750.7412719726562
1639471686.2045238,2450,1243.584228515625
1639471755.3513362,2500,783.34228515625
1639471825.3414161,2550,1291.6566162109375
1639471895.4325578,2600,1342.134521484375
1639471966.7175655,2650,1168.4124755859375
1639472040.128622,2700,1317.46826171875
1639472115.2438157,2750,1521.96826171875
1639472191.1346817,2800,1591.101806640625
1639472268.945852,2850,1568.562255859375
1639472348.2963226,2900,1537.58251953125
1639472426.4321554,2950,1399.2265625
1639472505.8996682,3000,1396.327880859375
1639472584.7091763,3050,1414.4273681640625
1639472665.8386836,3100,1430.49365234375
1639472748.138662,3150,1446.8209228515625
1639472826.5325816,3200,1429.2547607421875
1639472905.7842622,3250,1463.537353515625
1639472985.386876,3300,1441.356689453125
1639473065.7815995,3350,1447.5958251953125
1639473148.6902685,3400,1451.631103515625
1639473229.566522,3450,1391.020263671875
1639473311.4221847,3500,1442.2093505859375
1639473393.2347987,3550,1436.2431640625
1639473475.3308802,3600,1326.443603515625
1639473558.6883,3650,1388.513916015625
1639473638.1945386,3700,1453.933837890625
1639473720.910546,3750,1414.342041015625
1639473803.0229712,3800,1398.0140380859375
1639473884.493669,3850,1448.07275390625
1639473964.6407173,3900,1463.2578125
1639474044.5182316,3950,1380.52734375
