Wall time,Step,Value
1639467902.5578232,0,528.3661499023438
1639467982.7376008,50,1236.3095703125
1639468061.3901143,100,1209.534912109375
1639468143.1171982,150,1459.1617431640625
1639468224.6457708,200,1427.8858642578125
1639468304.79863,250,1507.1593017578125
1639468388.0120444,300,1353.244873046875
1639468469.1942818,350,1119.97705078125
1639468551.6648977,400,1263.526611328125
1639468633.1705854,450,1425.6900634765625
1639468713.2358608,500,1360.5201416015625
1639468792.3408122,550,1264.5780029296875
1639468875.812893,600,1264.531494140625
1639468956.834555,650,1274.52294921875
1639469038.5277653,700,1151.9912109375
1639469115.8871813,750,1376.95166015625
1639469194.7594488,800,1159.2177734375
1639469273.9485314,850,969.1961669921875
1639469352.4261317,900,1500.3614501953125
1639469432.1663854,950,1118.1497802734375
1639469512.703181,1000,1247.03564453125
1639469592.638516,1050,927.3973999023438
1639469670.438592,1100,1051.5068359375
1639469747.4102364,1150,1069.621337890625
1639469824.7340715,1200,1197.5848388671875
1639469900.2898,1250,930.0665283203125
1639469975.3020582,1300,904.0615234375
1639470048.972836,1350,840.8565673828125
1639470118.8305137,1400,727.3348388671875
1639470187.058966,1450,604.015869140625
1639470256.9142563,1500,657.34033203125
1639470325.5634387,1550,919.293701171875
1639470395.1521502,1600,761.4989013671875
1639470462.5827963,1650,805.847412109375
1639470529.323647,1700,787.1087036132812
1639470596.666926,1750,868.1142578125
1639470665.7204456,1800,733.9688110351562
1639470736.5992548,1850,678.8719482421875
1639470806.5573351,1900,622.1793212890625
1639470876.4539342,1950,848.7911987304688
1639470943.6684456,2000,826.7771606445312
1639471012.5714645,2050,899.1087036132812
1639471082.7947545,2100,910.3094482421875
1639471153.4972234,2150,822.0521850585938
1639471220.706382,2200,869.9063110351562
1639471290.0623906,2250,875.2488403320312
1639471359.3775656,2300,743.9761962890625
1639471427.9530673,2350,901.3477783203125
1639471498.1326346,2400,990.5076904296875
1639471567.3502557,2450,860.6162719726562
1639471636.1658041,2500,986.2431640625
1639471715.3219528,2550,1004.2422485351562
1639471794.3805027,2600,1266.6871337890625
1639471877.674022,2650,1010.96875
1639471959.934666,2700,1077.1826171875
1639472038.1327376,2750,1200.9766845703125
1639472109.8565898,2800,1057.9449462890625
1639472185.1056707,2850,1201.6697998046875
1639472259.64992,2900,1706.9749755859375
