Wall time,Step,Value
1639467901.8289914,0,506.709228515625
1639467970.8931496,50,1241.53564453125
1639468041.237738,100,1186.155029296875
1639468110.2760801,150,1081.8701171875
1639468182.7942822,200,1115.6990966796875
1639468256.9413798,250,1193.2506103515625
1639468330.7845454,300,1318.7740478515625
1639468405.2350495,350,1127.9893798828125
1639468478.8026302,400,988.3333129882812
1639468550.410577,450,1263.006591796875
1639468625.0255806,500,1073.4530029296875
1639468700.7578971,550,1241.0826416015625
1639468777.4769824,600,1297.30126953125
1639468854.6391096,650,1276.271728515625
1639468932.9083493,700,1272.74462890625
1639469009.3090787,750,1338.3355712890625
1639469086.7650924,800,1187.1048583984375
1639469160.5318494,850,1052.78125
1639469238.295931,900,1233.4979248046875
1639469315.4892616,950,1195.8499755859375
1639469392.9379296,1000,1256.6612548828125
1639469471.4471354,1050,1319.9517822265625
1639469549.6201816,1100,1297.29833984375
1639469629.3727899,1150,1365.252197265625
1639469708.975387,1200,1307.24853515625
1639469788.4368281,1250,1073.308837890625
1639469868.9081013,1300,1511.495849609375
1639469948.3651643,1350,1343.454345703125
1639470028.660287,1400,1355.74365234375
1639470107.5851674,1450,1219.7298583984375
1639470187.199282,1500,1308.9627685546875
1639470266.1082885,1550,1166.9417724609375
1639470345.290908,1600,1252.760498046875
1639470425.9291244,1650,1042.759765625
1639470506.642831,1700,1256.258056640625
1639470587.553947,1750,1392.8370361328125
1639470669.127076,1800,1217.84228515625
1639470748.1906164,1850,1404.8421630859375
1639470829.5373988,1900,1380.954345703125
1639470911.2181673,1950,1164.994384765625
1639470991.7745728,2000,971.3079223632812
1639471074.5922549,2050,1398.9219970703125
1639471156.1998196,2100,1233.8851318359375
1639471240.3742974,2150,1303.051513671875
1639471320.077885,2200,1114.828125
1639471402.133208,2250,1371.42041015625
1639471483.448386,2300,1412.164794921875
1639471566.3129234,2350,1277.61865234375
1639471648.645296,2400,1323.9150390625
1639471729.177466,2450,1125.14501953125
1639471812.224917,2500,1435.9027099609375
