Episode,SurvivalMonths,Reward
0,43.5,6.1899
2,47.25,-1684.9786
4,48.0,-991.0283
6,50.75,-718.0285
8,46.75,494.8267
10,48.75,53.4628
12,48.25,237.2017
14,51.0,715.1141
16,51.0,239.0898
18,53.0,348.9527
20,48.0,1025.548
22,49.0,835.9586
24,51.75,733.347
26,53.5,988.4781
28,55.5,1671.7466
30,49.0,1192.9364
32,52.75,1438.8998
34,50.25,305.2452
36,46.25,857.9117
38,51.0,1081.7041
40,43.0,1027.1336
42,48.5,691.0313
44,41.5,563.125
46,53.0,1266.1103
48,42.0,1078.5597
50,47.75,1216.9988
52,49.25,813.261
54,50.75,1163.0975
56,52.25,975.4917
58,39.25,800.9912
60,51.5,861.0227
62,37.75,902.0709
64,49.5,997.2361
66,49.0,997.4878
68,52.25,1047.1919
70,49.75,822.9078
72,47.25,1010.9898
74,47.75,786.0267
76,47.5,1142.6756
78,46.25,462.3987
80,52.75,1634.2532
82,38.5,663.0281
84,46.5,34.6256
86,53.0,1142.3435
88,51.75,1695.4206
90,48.0,1187.9816
92,48.5,1242.9074
94,45.0,1211.0991
96,53.0,1162.9139
98,45.25,1380.4094
100,41.0,1095.9792
102,52.25,1001.3511
104,48.25,1247.002
106,46.5,1093.8847
108,45.0,1103.1065
110,47.75,1013.9307
112,53.25,1214.7424
114,52.25,1175.558
116,43.75,520.8772
118,48.5,1373.6526
120,51.25,1553.9894
122,45.0,1274.7068
124,50.0,1308.6617
126,48.5,1089.5336
128,48.25,1170.7665
130,49.5,1065.1817
132,51.25,1372.0947
134,51.25,1150.069
136,50.25,1140.6174
138,47.5,1256.0589
140,51.25,1317.9773
142,48.75,1323.9337
144,46.25,962.6658
146,51.0,1303.6074
148,51.75,1373.4898
150,46.0,1290.1362
152,56.0,1661.7257
154,55.25,1459.3422
156,44.0,1086.6965
158,48.0,874.609
160,45.25,1332.7775
162,50.25,1429.1135
164,52.0,1581.1175
166,49.5,1547.9629
168,54.0,1650.3151
