Episode,SurvivalMonths,Reward
0,44.0,-2056.816
2,45.25,-1745.8847
4,43.75,-1655.5104
6,45.75,434.717
8,47.0,108.4085
10,47.5,237.3792
12,49.0,477.1079
14,48.5,639.7217
16,53.0,931.559
18,47.25,1131.2215
20,47.5,1150.335
22,47.0,254.0293
24,44.5,984.1899
26,49.0,728.6157
28,51.75,1202.3305
30,50.75,1407.2776
32,52.75,1408.0062
34,51.75,538.7141
36,48.5,1295.8657
38,50.75,1456.644
40,50.75,1323.9253
42,45.75,1072.9032
44,47.25,1065.1246
46,53.25,1358.1859
48,53.5,1402.1944
50,52.0,1262.4049
52,47.25,1209.9792
54,43.25,1316.2088
56,47.5,1185.7541
58,44.5,1081.0153
60,50.5,1463.865
62,52.5,1666.5971
64,45.0,1201.3047
66,54.25,1657.5547
68,52.5,1624.192
70,51.0,1334.549
72,47.0,1233.6024
74,47.75,1150.6414
76,53.75,1539.2807
78,51.75,1751.0017
80,51.5,1516.7713
82,48.5,1662.2006
84,52.25,1539.8929
86,53.25,1531.3824
88,51.25,1420.9733
90,50.75,1292.5715
92,46.75,1065.8077
94,52.25,1180.2968
96,37.5,1078.517
98,51.25,826.3312
100,49.75,1403.573
102,38.5,839.6936
104,52.5,1115.7494
106,51.5,1282.63
108,49.0,1235.7161
110,57.5,1753.9653
112,46.0,1381.1731
114,50.75,1236.1449
116,47.5,1169.3805
118,48.75,1223.7421
120,46.75,1348.8567
122,50.25,1093.7027
124,53.5,1268.5021
126,54.0,1303.2757
128,44.0,709.9721
130,48.5,686.4017
132,47.75,889.3685
134,49.0,1159.0246
136,52.75,1523.9321
138,54.25,1483.2437
140,52.0,1256.661
142,43.0,918.745
144,53.0,1604.4319
146,53.25,1712.5297
148,50.25,1586.1309
150,45.25,1364.0606
152,46.5,1388.9958
154,49.75,1178.8785
156,52.5,1481.5231
158,49.75,1256.1198
160,52.5,1520.7643
162,49.25,1183.533
164,50.25,1113.6444
166,55.0,1647.1944
168,56.0,1683.0131
170,55.75,1232.1261
172,49.25,1286.0727
174,51.25,1419.7551
176,55.75,1895.865
178,49.0,1463.6712
180,35.5,900.8045
182,51.75,1289.129
184,49.0,963.032
186,49.5,1222.7023
188,47.5,1346.3332
190,56.5,1454.1416
192,49.75,1341.8042
194,50.0,1145.9621
196,54.0,1458.8482
198,45.0,1267.7355
200,55.0,1534.6767
202,41.25,858.9204
204,50.25,1010.2962
206,52.25,1312.7963
208,54.75,1218.8986
210,47.0,1373.1983
212,51.5,1510.1911
214,51.25,1489.9671
216,51.5,1224.5028
218,47.25,1082.3054
220,49.0,1226.7936
222,52.0,1485.0653
224,52.0,1240.7856
226,52.5,1610.5383
228,48.0,955.9408
230,55.0,1711.2158
232,48.75,1255.5574
234,49.25,1442.0714
236,49.25,1488.5316
238,37.0,942.5266
240,54.25,1581.4609
242,50.25,1141.4546
244,50.25,959.3866
246,43.0,824.8573
248,52.5,1227.9567
250,40.5,1116.1333
252,51.75,1524.9195
254,52.5,1246.7875
256,54.25,1726.752
258,55.75,1678.9429
260,49.75,1269.3688
262,54.75,1817.7959
264,46.25,1200.7982
266,46.0,1175.2271
268,56.5,1826.5354
270,47.75,1487.4764
272,49.0,1036.2478
274,48.25,1318.3225
