,Step,Value,SValue
302,15100,1268.4788818359375,1279.376051738011
303,15150,1258.386474609375,1276.2276151687156
304,15200,1283.4664306640625,1277.3134374930178
305,15250,1307.5152587890625,1281.8437106874244
306,15300,1255.3153076171875,1277.864450226889
307,15350,1295.298583984375,1280.479570290512
308,15400,1294.9715576171875,1282.6533683895134
309,15450,1243.094482421875,1276.7195354943676
310,15500,1268.3388671875,1275.4624352483374
311,15550,1224.5137939453125,1267.8201390528839
312,15600,1287.4254150390625,1270.7609304508105
313,15650,1288.6400146484375,1273.4427930804545
314,15700,1280.259033203125,1274.4652290988552
315,15750,1286.4879150390625,1276.2686319898862
316,15800,1267.0355224609375,1274.883665560544
317,15850,1312.2786865234375,1280.4929187049781
318,15900,1258.03515625,1277.1242543367314
319,15950,1303.03515625,1281.0108896237216
320,16000,1258.6773681640625,1277.6608614047727
321,16050,1326.9669189453125,1285.0567700358538
322,16100,1284.42138671875,1284.9614625382883
323,16150,1257.788818359375,1280.8855659114513
324,16200,1287.791259765625,1281.9214199895773
325,16250,1297.422119140625,1284.2465248622345
326,16300,1279.13232421875,1283.479394765712
327,16350,1353.2508544921875,1293.9451137246833
328,16400,1257.0823974609375,1288.4157062851214
329,16450,1316.515625,1292.6306940923532
330,16500,1293.42333984375,1292.7495909550626
331,16550,1361.4564208984375,1303.0556154465687
332,16600,1304.2166748046875,1303.2297743502863
333,16650,1299.42724609375,1302.6593951118057
334,16700,1304.2276611328125,1302.8946350149567
335,16750,1307.58740234375,1303.5985501142757
336,16800,1317.12548828125,1305.6275908393218
337,16850,1262.938720703125,1299.2242603188922
338,16900,1283.5567626953125,1296.8741356753553
339,16950,1337.2728271484375,1302.9339393963176
340,17000,1297.5194091796875,1302.121759863823
341,17050,1283.2161865234375,1299.2859238627652
342,17100,1278.523193359375,1296.1715142872567
343,17150,1234.07666015625,1286.8572861676057
344,17200,1313.0042724609375,1290.7793341116055
345,17250,1270.239990234375,1287.698432530021
346,17300,1308.1834716796875,1290.771188402471
347,17350,1318.18017578125,1294.8825365092878
348,17400,1221.720458984375,1283.9082248805507
349,17450,1279.3450927734375,1283.2237550644836
350,17500,1278.662353515625,1282.539544832155
351,17550,1290.595458984375,1283.747931954988
352,17600,1276.224853515625,1282.6194701890834
353,17650,1332.7384033203125,1290.1373101587678
354,17700,1317.7232666015625,1294.275203625187
355,17750,1314.7913818359375,1297.3526303567996
356,17800,1307.8673095703125,1298.9298322388265
357,17850,1328.0596923828125,1303.2993112604245
358,17900,1278.406005859375,1299.565315450267
359,17950,1333.2095947265625,1304.6119573417113
360,18000,1288.658203125,1302.2188942092048
361,18050,1302.552978515625,1302.2690068551678
362,18100,1268.42919921875,1297.1930357097053
363,18150,1252.7322998046875,1290.5239253239524
364,18200,1288.1341552734375,1290.1654598163752
365,18250,1239.24951171875,1282.5280676017314
366,18300,1338.3260498046875,1290.8977649321748
367,18350,1288.2237548828125,1290.4966634247703
368,18400,1289.5523681640625,1290.355019135664
369,18450,1268.4300537109375,1287.066274321955
370,18500,1352.1724853515625,1296.8322059763962
371,18550,1269.026123046875,1292.661293536968
372,18600,1239.5909423828125,1284.7007408638447
373,18650,1276.5347900390625,1283.475848240127
374,18700,1253.6697998046875,1279.0049409748112
375,18750,1313.2423095703125,1284.1405462641364
376,18800,1319.710205078125,1289.4759950862347
377,18850,1312.7601318359375,1292.9686155986901
378,18900,1303.400146484375,1294.5333452315429
379,18950,1289.2117919921875,1293.7351122456394
380,19000,1272.6661376953125,1290.5747660630902
381,19050,1333.1776123046875,1296.96519299933
382,19100,1262.4818115234375,1291.7926857779462
383,19150,1274.4515380859375,1289.191513624145
384,19200,1283.2138671875,1288.294866658648
385,19250,1282.8487548828125,1287.4779498922728
386,19300,1264.1029052734375,1283.9716931994476
387,19350,1228.33349609375,1275.625963633593
388,19400,1288.8841552734375,1277.6146923795698
389,19450,1282.506591796875,1278.3484772921654
390,19500,1297.17724609375,1281.172792612403
391,19550,1297.976318359375,1283.693321474449
392,19600,1299.6463623046875,1286.086277598985
393,19650,1289.2763671875,1286.5647910372622
394,19700,1263.2808837890625,1283.0722049500323
395,19750,1272.665283203125,1281.5111666879961
396,19800,1288.518310546875,1282.562238266828
397,19850,1253.6690673828125,1278.2282626342258
398,19900,1229.8154296875,1270.9663376922167
399,19950,1338.254638671875,1281.0595828391656
400,20000,1279.3450927734375,1280.8024093293063
401,20050,1273.4627685546875,1279.7014632131136
402,20100,1279.029052734375,1279.6006016413028
403,20150,1273.642578125,1278.7068981138573
404,20200,1317.747314453125,1284.5629605647475
405,20250,1286.260498046875,1284.8175911870667
406,20300,1282.31982421875,1284.442926141819
407,20350,1282.8480224609375,1284.2036905896869
408,20400,1278.269287109375,1283.3135300676402
409,20450,1272.323974609375,1281.6650967489004
410,20500,1298.6107177734375,1284.2069399025809
411,20550,1249.8883056640625,1279.059144766803
412,20600,1318.0509033203125,1284.9079085498292
413,20650,1263.9818115234375,1281.7689939958705
414,20700,1316.41748046875,1286.9662669668026
415,20750,1279.0030517578125,1285.771784685454
416,20800,1262.914306640625,1282.3431629787294
417,20850,1284.2923583984375,1282.6355422916859
418,20900,1332.922119140625,1290.1785288190267
419,20950,1278.0411376953125,1288.3579201504695
420,21000,1244.7659912109375,1281.8191308095397
421,21050,1266.2120361328125,1279.4780666080305
422,21100,1341.5902099609375,1288.7948881109667
423,21150,1289.5286865234375,1288.9049578728373
424,21200,1323.4251708984375,1294.0829898266772
425,21250,1278.79248046875,1291.7894134229882
426,21300,1283.67236328125,1290.5718559017273
427,21350,1322.0313720703125,1295.290783327015
428,21400,1272.6644287109375,1291.8968301346035
429,21450,1296.5810546875,1292.599463817538
430,21500,1318.0645751953125,1296.419230524204
431,21550,1316.7596435546875,1299.4702924787766
432,21600,1258.22119140625,1293.2829273178977
433,21650,1248.03857421875,1286.4962743530257
434,21700,1238.4259033203125,1279.2857186981187
435,21750,1313.5115966796875,1284.419600395354
436,21800,1292.25390625,1285.594746273551
437,21850,1287.767578125,1285.9206710512683
438,21900,1303.6551513671875,1288.5808430986563
439,21950,1300.7384033203125,1290.4044771319045
440,22000,1268.91064453125,1287.1804022418064
441,22050,1272.2987060546875,1284.9481478137386
442,22100,1293.6673583984375,1286.2560294014434
443,22150,1302.594970703125,1288.7068705966958
444,22200,1349.4248046875,1297.8145607103165
445,22250,1262.115966796875,1292.4597716233002
446,22300,1247.9002685546875,1285.7758461630083
447,22350,1334.609619140625,1293.1009121096508
448,22400,1393.61572265625,1308.1781336916406
449,22450,1249.482666015625,1299.3738135402384
450,22500,1282.7576904296875,1296.8813950736558
451,22550,1258.173583984375,1291.0752234102638
452,22600,1278.2056884765625,1289.1447931702087
453,22650,1250.281005859375,1283.3152250735836
454,22700,1308.6656494140625,1287.1177887246554
455,22750,1307.58740234375,1290.1882307675196
456,22800,1328.257568359375,1295.898631406298
457,22850,1289.187255859375,1294.8919250742595
458,22900,1209.955810546875,1282.151507895152
459,22950,1245.1318359375,1276.5985571015042
460,23000,1279.8258056640625,1277.0826443858878
461,23050,1250.4095458984375,1273.0816796127701
462,23100,1271.5010986328125,1272.8445924657765
463,23150,1352.99658203125,1284.8673909005975
464,23200,1343.288330078125,1293.6305317772267
465,23250,1273.1221923828125,1290.5542808680646
466,23300,1283.2154541015625,1289.4534568530892
467,23350,1292.826416015625,1289.9594007274695
468,23400,1268.911376953125,1286.802197161318
469,23450,1274.452392578125,1284.9497264738388
470,23500,1302.4674072265625,1287.5773785867473
471,23550,1323.3095703125,1292.9372073456102
472,23600,1282.050537109375,1291.304206810175
473,23650,1326.977783203125,1296.6552432691176
474,23700,1299.27978515625,1297.0489245521874
475,23750,1266.8089599609375,1292.5129298634997
476,23800,1312.322265625,1295.4843302277247
477,23850,1304.6981201171875,1296.8663987111443
478,23900,1268.935791015625,1292.6768075568164
479,23950,1273.7147216796875,1289.832494675247
480,24000,1248.97607421875,1283.7040316067726
481,24050,1273.4896240234375,1282.1718704692723
482,24100,1273.94580078125,1280.937960016069
483,24150,1303.3765869140625,1284.303754050768
484,24200,1252.730712890625,1279.5677978767465
485,24250,1298.2021484375,1282.3629504608596
486,24300,1259.89208984375,1278.9923213682932
487,24350,1268.087890625,1277.3566567567993
488,24400,1309.4884033203125,1282.1764187413262
489,24450,1298.5977783203125,1284.639622678174
490,24500,1277.487548828125,1283.5668116006668
491,24550,1287.083984375,1284.0943875168168
492,24600,1302.595703125,1286.8695848580442
493,24650,1303.14990234375,1289.3116324809
494,24700,1286.9700927734375,1288.9604015247805
495,24750,1322.299072265625,1293.9612021359071
496,24800,1327.71826171875,1299.0247610733336
497,24850,1302.9371337890625,1299.611616980693
498,24900,1359.4384765625,1308.585645917964
499,24950,1271.84326171875,1303.0742882880818
500,25000,1262.7994384765625,1297.033060816354
501,25050,1259.6905517578125,1291.4316844575728
502,25100,1296.6966552734375,1292.2214300799524
503,25150,1310.1885986328125,1294.9165053628813
504,25200,1312.53515625,1297.559302995949
505,25250,1311.5450439453125,1299.6571641383537
506,25300,1292.0029296875,1298.5090289707255
507,25350,1313.9095458984375,1300.8191065098824
508,25400,1294.7152099609375,1299.9035220275407
509,25450,1242.1822509765625,1291.245331369894
510,25500,1308.354736328125,1293.8117421136287
511,25550,1261.7745361328125,1289.0061612165064
512,25600,1303.3765869140625,1291.1617250711397
513,25650,1293.1961669921875,1291.4668913592968
514,25700,1288.7059326171875,1291.0527475479803
515,25750,1267.290283203125,1287.4883778962521
516,25800,1343.27001953125,1295.8556241415017
517,25850,1306.42236328125,1297.440635012464
518,25900,1331.757080078125,1302.5881017723132
519,25950,1280.10595703125,1299.2157800611535
520,26000,1283.0032958984375,1296.7839074367462
521,26050,1287.449951171875,1295.3838139970155
522,26100,1303.6632080078125,1296.625723098635
523,26150,1322.87158203125,1300.5626019385272
524,26200,1327.547119140625,1304.610279518842
525,26250,1353.24072265625,1311.904845989453
526,26300,1297.5186767578125,1309.7469206047067
527,26350,1311.8226318359375,1310.0582772893913
528,26400,1274.28564453125,1304.6923823756701
529,26450,1262.9403076171875,1298.429571161898
530,26500,1308.3135986328125,1299.9121752825351
531,26550,1368.7088623046875,1310.2316783358579
532,26600,1294.996826171875,1307.9464505112603
533,26650,1229.888671875,1296.2377837158215
534,26700,1288.7044677734375,1295.1077863244639
535,26750,1292.7535400390625,1294.7546493816537
536,26800,1229.97900390625,1285.0383025603433
537,26850,1307.630859375,1288.4271860825418
538,26900,1311.938232421875,1291.953843033442
539,26950,1264.1043701171875,1287.776422096004
540,27000,1280.972900390625,1286.7558938401971
541,27050,1268.455322265625,1284.0108081040114
542,27100,1269.416748046875,1281.821699095441
543,27150,1248.1533203125,1276.771442278
544,27200,1263.761474609375,1274.8199471277062
545,27250,1276.8760986328125,1275.1283698534721
546,27300,1246.8743896484375,1270.890272822717
547,27350,1322.00537109375,1278.557537563372
548,27400,1299.900634765625,1281.75900214371
549,27450,1323.223876953125,1287.9787333651223
550,27500,1287.695556640625,1287.9362568564477
551,27550,1252.2738037109375,1282.5868888846212
552,27600,1323.6761474609375,1288.7502776710687
553,27650,1304.12646484375,1291.056705746971
554,27700,1288.2490234375,1290.6355534005504
555,27750,1313.7374267578125,1294.1008344041397
556,27800,1259.070068359375,1288.8462194974252
557,27850,1332.8499755859375,1295.446782910702
558,27900,1289.4383544921875,1294.5455186479248
559,27950,1288.8719482421875,1293.694483087064
560,28000,1327.2186279296875,1298.7231048134577
561,28050,1278.8883056640625,1295.7478849410486
562,28100,1307.0140380859375,1297.4378079127819
563,28150,1275.956298828125,1294.2155815500832
564,28200,1318.479736328125,1297.8552047667895
565,28250,1220.1124267578125,1286.193788065443
566,28300,1286.830078125,1286.2892315743766
567,28350,1338.4654541015625,1294.1156649534544
568,28400,1302.490966796875,1295.3719602299675
569,28450,1337.2001953125,1301.6461954923473
570,28500,1314.95556640625,1303.6426011294327
571,28550,1258.9813232421875,1296.9434094463459
572,28600,1260.007568359375,1291.4030332833004
573,28650,1287.5654296875,1290.8273927439304
574,28700,1289.187255859375,1290.581372211247
575,28750,1289.4383544921875,1290.4099195533881
576,28800,1268.2423095703125,1287.0847780559268
577,28850,1297.3173828125,1288.6196687694128
578,28900,1247.671142578125,1282.4773898407198
579,28950,1283.4443359375,1282.622431755237
580,29000,1302.3262939453125,1285.5780110837484
581,29050,1291.77783203125,1286.5079842258735
582,29100,1271.84326171875,1284.3082758498049
583,29150,1298.3848876953125,1286.419767626631
584,29200,1267.5335693359375,1283.5868378830269
585,29250,1297.15283203125,1285.6217370052605
586,29300,1293.2825927734375,1286.770865370487
587,29350,1277.3590087890625,1285.3590868832732
588,29400,1258.5870361328125,1281.343279270704
589,29450,1287.451416015625,1282.2594997824422
590,29500,1301.3873291015625,1285.12867418031
591,29550,1327.661865234375,1291.50865283842
