,Step,Value,SValue
0,0,506.709228515625,506.709228515625
1,50,1241.53564453125,616.9331909179688
2,100,1186.155029296875,702.3164666748048
3,150,1081.8701171875,759.2495142517091
4,200,1115.6990966796877,812.7169516159059
5,250,1193.2506103515625,869.7970004262545
6,300,1318.7740478515625,937.1435575400508
7,350,1127.9893798828125,965.7704308914651
8,400,988.3333129882812,969.1548632059876
9,450,1263.006591796875,1013.2326224946206
10,500,1073.4530029296877,1022.2656795598807
11,550,1241.0826416015625,1055.088223866133
12,600,1297.30126953125,1091.4201807159004
13,650,1276.271728515625,1119.1479128858591
14,700,1272.74462890625,1142.1874202889178
15,750,1338.3355712890625,1171.6096429389395
16,800,1187.1048583984375,1173.9339252578643
17,850,1052.78125,1155.7610239691846
18,900,1233.4979248046875,1167.42155909451
19,950,1195.8499755859375,1171.6858215682241
20,1000,1256.6612548828125,1184.4321365654123
21,1050,1319.9517822265625,1204.7600834145849
22,1100,1297.29833984375,1218.6408218789597
23,1150,1365.252197265625,1240.6325281869595
24,1200,1307.24853515625,1250.624929232353
25,1250,1073.308837890625,1224.0275155310937
26,1300,1511.495849609375,1267.1477656428358
27,1350,1343.454345703125,1278.5937526518792
28,1400,1355.74365234375,1290.16623760566
29,1450,1219.7298583984375,1279.6007807245767
30,1500,1308.9627685546875,1284.0050788990934
31,1550,1166.9417724609375,1266.4455829333701
32,1600,1252.760498046875,1264.3928202003958
33,1650,1042.759765625,1231.1478620140865
34,1700,1256.258056640625,1234.9143912080674
35,1750,1392.8370361328125,1258.6027879467792
36,1800,1217.84228515625,1252.4887125281998
37,1850,1404.8421630859375,1275.3417301118604
38,1900,1380.954345703125,1291.18362245055
39,1950,1164.994384765625,1272.2552367978112
40,2000,971.3079223632812,1227.1131396326318
41,2050,1398.9219970703125,1252.8844682482838
42,2100,1233.8851318359375,1250.034567786432
43,2150,1303.051513671875,1257.9871096692486
44,2200,1114.828125,1236.5132619688613
45,2250,1371.42041015625,1256.7493341969696
46,2300,1412.164794921875,1280.0616533057052
47,2350,1277.61865234375,1279.695203161412
48,2400,1323.9150390625,1286.3281785465754
49,2450,1125.14501953125,1262.1507046942766
50,2500,1435.9027099609375,1288.2135054842756
51,2550,1295.7425537109375,1289.3428627182748
52,2600,1380.801025390625,1303.0615871191274
53,2650,1438.7420654296875,1323.4136588657113
54,2700,1264.056640625,1314.5101061296048
55,2750,1276.7373046875,1308.844185913289
56,2800,1256.3790283203125,1300.9744122743425
57,2850,1288.286865234375,1299.0712802183475
58,2900,1315.6370849609375,1301.5561509297358
59,2950,1218.977783203125,1289.1693957707441
60,3000,1415.96875,1308.1892989051325
61,3050,1379.6317138671875,1318.9056611494407
62,3100,1184.515380859375,1298.7471191059308
63,3150,1320.4107666015625,1301.9966662302754
64,3200,1196.842041015625,1286.223472448078
65,3250,1388.9083251953125,1301.6262003601632
66,3300,1248.41455078125,1293.6444529233263
67,3350,1234.7337646484375,1284.8078496820929
68,3400,1406.900146484375,1303.1216942024353
69,3450,1333.8194580078125,1307.7263587732418
70,3500,1185.873291015625,1289.4483986095993
71,3550,1469.2830810546875,1316.4236009763626
72,3600,1189.870361328125,1297.440615029127
73,3650,1464.0281982421875,1322.428752511086
74,3700,1405.770263671875,1334.9299791852043
75,3750,1223.245849609375,1318.1773597488298
76,3800,1321.1512451171875,1318.6234425540833
77,3850,1452.220703125,1338.6630316397209
78,3900,1245.098876953125,1324.6284084367314
79,3950,1445.4906005859375,1342.7577372591122
80,4000,1369.1263427734375,1346.7130280862611
81,4050,1437.4952392578125,1360.3303597619938
82,4100,1344.66064453125,1357.9799024773822
83,4150,1394.11767578125,1363.4005684729625
84,4200,1433.249267578125,1373.8778733387367
85,4250,1463.1658935546875,1387.2710763711293
86,4300,1400.7288818359375,1389.2897471908504
87,4350,1444.554931640625,1397.5795248583165
88,4400,1465.217529296875,1407.7252255241003
89,4450,1205.6461181640625,1377.4133594200948
90,4500,1302.13623046875,1366.1217900773931
91,4550,1385.96044921875,1369.0975889485967
92,4600,1449.840087890625,1381.208963789901
93,4650,1248.3424072265625,1361.2789803054002
94,4700,1098.9305419921877,1321.926714558418
95,4750,1283.76953125,1316.2031370621553
96,4800,1290.0946044921875,1312.28685717666
97,4850,1381.259765625,1322.632793443911
98,4900,1447.3787841796875,1341.3446920542774
99,4950,1126.7952880859375,1309.1622814590264
100,5000,1498.2294921875,1337.5223630682974
101,5050,1459.018798828125,1355.7468284322715
102,5100,1378.8411865234375,1359.2109821459464
103,5150,1372.9317626953125,1361.2690992283515
104,5200,1330.7637939453125,1356.6933034358956
105,5250,1266.847412109375,1343.2164197369175
106,5300,1449.1064453125,1359.0999235732547
107,5350,1194.6412353515625,1334.431120340001
108,5400,1388.4425048828125,1342.5328280214226
109,5450,1347.2156982421875,1343.2352585545373
110,5500,1432.5079345703125,1356.6261599569036
111,5550,1524.59521484375,1381.8215181899304
112,5600,1352.5599365234375,1377.4322809399564
113,5650,1425.42431640625,1384.6310862599005
114,5700,1446.238037109375,1393.8721288873217
115,5750,1376.2193603515625,1391.2242136069576
116,5800,1352.99462890625,1385.4897759018515
117,5850,1265.422119140625,1367.4796273876677
118,5900,1188.6229248046875,1340.6511220002205
119,5950,1314.4488525390625,1336.7207815810468
120,6000,1424.9620361328125,1349.9569697638117
121,6050,1316.576416015625,1344.9498867015836
122,6100,1304.337158203125,1338.8579774268148
123,6150,1290.20263671875,1331.5596763206051
124,6200,1372.1226806640625,1337.6441269721238
125,6250,1374.4647216796875,1343.1672161782583
126,6300,1369.1484375,1347.0643993765195
127,6350,1467.5936279296875,1365.1437836594948
128,6400,1350.473876953125,1362.9432976535395
129,6450,1331.30517578125,1358.197579372696
130,6500,1422.6192626953125,1367.8608318710885
131,6550,1428.623046875,1376.975164121675
132,6600,1444.5947265625,1387.1180984877988
133,6650,1232.9913330078125,1363.9990836658008
134,6700,1399.93212890625,1369.3890404518681
135,6750,1439.8028564453125,1379.9511128508848
136,6800,1276.3121337890625,1364.4052659916113
137,6850,1088.6265869140623,1323.0384641299788
138,6900,1170.96044921875,1300.2267618932947
139,6950,1345.7076416015625,1307.0488938495348
140,7000,1298.3948974609375,1305.7507943912453
141,7050,1305.093994140625,1305.6522743536523
142,7100,1344.0010986328125,1311.4045979955263
143,7150,1332.838134765625,1314.6196285110411
144,7200,1349.026611328125,1319.7806759336038
145,7250,1301.3525390625,1317.0164554029382
146,7300,1243.548583984375,1305.9962746901538
147,7350,1222.5672607421875,1293.4819225979588
148,7400,1473.050048828125,1320.4171415324838
149,7450,1366.3260498046875,1327.3034777733142
150,7500,1320.7249755859375,1326.3167024452075
151,7550,1419.01123046875,1340.220881648739
152,7600,1125.5416259765623,1308.0189932979124
153,7650,1242.829345703125,1298.240546158694
154,7700,1277.163330078125,1295.0789637466087
155,7750,1246.196533203125,1287.746599165086
156,7800,1348.981689453125,1296.931862708292
157,7850,1306.812255859375,1298.4139216809544
158,7900,1412.1207275390625,1315.4699425596705
159,7950,1437.6304931640625,1333.7940251503292
160,8000,1427.5576171875,1347.8585639559049
161,8050,1419.6522216796875,1358.6276126144724
162,8100,1354.1044921875,1357.9491445504264
163,8150,1361.40625,1358.4677103678623
164,8200,1312.13623046875,1351.5179883829953
165,8250,1157.0726318359375,1322.3511849009367
166,8300,1422.1375732421875,1337.3191431521243
167,8350,1250.81982421875,1324.3442453121181
168,8400,1355.0469970703125,1328.9496580758473
169,8450,1260.5810546875,1318.6943675675952
170,8500,1279.7462158203125,1312.8521448055028
171,8550,1433.5703125,1330.9598699596772
172,8600,1408.4263916015625,1342.57984820596
173,8650,1236.06640625,1326.602831912566
174,8700,1236.4530029296875,1313.0803575651344
175,8750,1443.738525390625,1332.679082738958
176,8800,1363.0574951171875,1337.2358445956925
177,8850,1366.9552001953125,1341.6937479356354
178,8900,1274.9630126953125,1331.684137649587
179,8950,1404.9661865234375,1342.6764449806647
180,9000,1254.5506591796875,1329.457577110518
181,9050,1335.91552734375,1330.4262696455028
182,9100,1438.8604736328125,1346.6914002435992
183,9150,1275.822021484375,1336.0609934297156
184,9200,1376.9541015625,1342.1949596496333
185,9250,1491.3289794921875,1364.5650626260165
186,9300,1354.693603515625,1363.0843437594576
187,9350,1317.302490234375,1356.2170657306954
188,9400,1390.5987548828125,1361.374319103513
189,9450,1435.1956787109375,1372.447523044627
190,9500,1381.1549072265625,1373.7536306719173
191,9550,1350.0594482421875,1370.199503307458
192,9600,1387.245361328125,1372.756382010558
193,9650,1398.7919921875,1376.661723537099
194,9700,1213.651123046875,1352.2101334635654
195,9750,1265.114013671875,1339.1457154948118
196,9800,1151.7109375,1311.0304987955901
197,9850,1214.52685546875,1296.5549522965641
198,9900,1300.031494140625,1297.0764335731733
199,9950,1453.5020751953125,1320.5402798164941
200,10000,1225.017822265625,1306.2119111838638
201,10050,1241.4381103515625,1296.4958410590186
202,10100,1286.5322265625,1295.0012988845408
203,10150,1333.6248779296875,1300.7948357413127
204,10200,1365.2227783203125,1310.4590271281627
